Name	Count
10_TCA cycle	162
17_Gluconeogenesis	84
01_Fermentation	1834
02_Homoacetogenesis	130
16_Embden Meyerhof-Parnos (EMP)	151
21_Cellular response to stress	7482
06_Amino acid utilization biosynthesis metabolism	2421
12_Transporters	1354
19_Saccharide and derivated synthesis	1446
20_Hydrolysis of polymers	1371
11_Nitrogen cycle	118
05_Fatty acid oxidation	321
09_Carbohydrate Active enzyme - CAZy	227
08_Hydrocarbon degradation	93
15_Methylotrophy	101
07_Nucleic acid metabolism	605
14_Methanogenesis	157
18_Sulfur compounds metabolism	170
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	17
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	36
13_Hydrogen metabolism	16
