index	L1	L2	L3	KO	Function	EC	Count
155	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	12
941	Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	12
1755	Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K01959	pycA; pyruvate carboxylase subunit A	6.4.1.1	12
26	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
1712	Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms [PATH:ko00710]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
12823	Environmental Information Processing	Signal transduction	HIF-1 signaling pathway [PATH:ko04066]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
28774	Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection [PATH:ko05130]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
29022	Human Diseases	Infectious disease: bacterial	Salmonella infection [PATH:ko05132]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
30543	Human Diseases	Neurodegenerative disease	Alzheimer disease [PATH:ko05010]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
33125	Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
42296	Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking [BR:ko04131]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
48787	Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	2
41	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis [PATH:ko00010]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	4
161	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00162	PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit	1.2.4.1	4
