Name	Count
Carbohydrate metabolism	1633
Energy metabolism	836
Amino acid metabolism	2011
Endocrine system	1910
Cancer: overview	517
Protein families: genetic information processing	665
Protein families: signaling and cellular processes	2420
Signal transduction	2820
Infectious disease: bacterial	324
Neurodegenerative disease	554
Cardiovascular disease	260
Cellular community - prokaryotes	417
Lipid metabolism	316
Protein families: metabolism	2645
Membrane transport	501
Transport and catabolism	168
Cell growth and death	447
Environmental adaptation	356
Unclassified: metabolism	369
Metabolism of other amino acids	212
Glycan biosynthesis and metabolism	190
Xenobiotics biodegradation and metabolism	643
Metabolism of cofactors and vitamins	267
Metabolism of terpenoids and polyketides	148
Biosynthesis of other secondary metabolites	268
Cell motility	54
Nucleotide metabolism	665
Aging	255
Replication and repair	138
Sensory system	198
Digestive system	424
Cancer: specific types	387
Nervous system	700
Development and regeneration	127
Substance dependence	151
Infectious disease: viral	574
Folding, sorting and degradation	67
Endocrine and metabolic disease	250
Transcription	113
Immune system	663
Drug resistance: antimicrobial	45
Translation	28
Circulatory system	292
Infectious disease: parasitic	132
Cellular community - eukaryotes	220
Drug resistance: antineoplastic	178
Viral protein families	4
Excretory system	72
Immune disease	7
Poorly characterized	8
Unclassified: signaling and cellular processes	2
Unclassified: genetic information processing	2
