Name	Count
Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	34
Gluconeogenesis	37
Bifidobacterium shunt	45
Heterolactic fermentation	63
Homolactic fermentation	38
Glycolysis	57
EMP	48
Glycolysis III (EMP)	49
Gluconeogenesis in archea	43
Regulation of stress-activated protein kinase signaling cascade	3
Valine, leucine and isoleucine biosynthesis	37
ABC transporters, prokaryotic type	425
From formate	73
Methane oxidation to cO2	42
Formaldehyde oxidation (tetrahydrofolate pathway)	25
Formaldehyde oxidation (glutathione-dependent)	21
Valine, leucine and isoleucine degradation	171
Amino acid biosynthesis precursor pyruvate and oxaloacetate	896
Cellular response to osmotic stress	1629
Regulation of response to osmotic stress	1502
Response to osmotic stress	2553
Acetylene degradation	58
Lysine fermentation to acetate and butyrate	42
Mixed acid fermentation	98
Pyruvate Fermentation	1204
Acetate formation from acetyl-coA I	11
Polysaccharide biosynthesis and assembly of cell surface structure	360
Mannose	273
Glycine, serine and threonine metabolism	150
Alanine, aspartate and glutamate metabolism (contain asparagin as well)	136
Ammonia assimilation	25
Phosphotransferase system (pts)	300
Fatty acid beta-oxidation I	114
Fatty acid beta-oxidation II (core pathway)	86
Nitrogenated compounds Reduction	99
Fatty acid activation	55
Cysteine and methionine metabolism	134
Methionine biosynthesis	61
Glycoside hydrolase	83
Lysine biosynthesis	120
Aromatic carboxylic acid degradation	35
Arginine and proline metabolism	201
Phenylalanine metabolism	79
Tryptophan metabolism	132
Other aromatics degradation	19
Carbohydrate esterase	24
Fatty acid alpha-oxidation	18
Fatty acid omega-oxidation	14
Phenylalanine, tyrosine and tryptophan biosynthesis	456
Hydrocarbon degradation	17
Xylose	69
Cellulose	6
Disaccaride phosphorylase	599
Starch	270
Galactose	229
Glutamate degradation V (via hydroxyglutarate)	103
Pyruvate fermentation to butanol	155
Cellular response to stress	909
Regulation of translational initiation in response to osmotic stress	652
Acetoin biosynthesis	86
Deamination of cystein and methionine	2
Lysine degradation Iv	4
Lysine degradation v	4
Lysine degradation vI	3
TCA cycle	80
Polycyclic aromatic hydrocarbon degradation	33
Response to nitrosative stress	78
Response to oxidative stress	68
Fatty acid beta-oxidation IV (unsaturated)	38
Purine metabolism	596
Pyrimidine metabolism	252
Cellular response to cation stress	141
Degradation of purine bases	22
Reductive acetyl coenzyme A pathway	69
Sulfur compounds cycle	264
Incomplete TCA fork	41
Chemoautotrophic oxidation of sulfur compounds	51
Cellular response to oxidative stress	65
Arabinose	1
Degradation of pyrimidine bases	8
Hydrogen oxidation aerobic	6
Hydrogen production	27
Transamination	2
Polysaccharide lyase	5
Glycosyltransferase	93
Succinate fermentation to butyrate	13
D-glutamine and D-glutamate metabolism	14
Pentose	29
EMP  in archea	42
From acetate	34
Regulation of translation in response to oxidative stress	61
Reductive TCA cycle	43
Lysine degradation VIII	7
Methionine degradation	21
RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	16
Acetyl-coA fermentation to butyrate II (clostridium)	42
Histidine biosynthesis, pRpp => histidine	56
From CO2	53
Formaldehyde oxidation (h4mpt pathway)	9
Chitin	6
From methanol	16
From trimethylamine	14
From dimethylamine	14
From methylamine	14
Aminoacid dehydratase	1
Lysine degradation X	3
D-arginine and D-ornithine metabolism	10
BTEX and related aromatics degradation	11
Nitoaromatics degradation	3
Oxydation deamination	12
Trehalose metabolism in response to cold stress	4
Nitrification (aerobic ammonia oxydation, bacterial and archea)	1
Hydrogen production VII (chlorophyta, cyanobacteria)	14
Histidine degradation	5
EMP modified pathway	19
Lysine degradation II	2
Fatty acid beta-oxidation III (unsaturated)	5
Nitrogen Fixation	6
Serine pathway for formaldehyde fixation	10
Lysine degradation IX	1
Acetate formation from acetyl-coA II	1
Chlorinated aromatics degradation	2
Heterocyclic aromatics degradation	1
Polycyclic aromatics degradation	9
Lysine degradation VII	1
Methanol oxidation to formaldehyde	1
Major Facilitator superfamily (MFS)	1
Hexose	1
Pectin	1
