Name	Count
EMP	49
Glycolysis III (EMP)	50
EMP  in archea	42
Gluconeogenesis in archea	44
Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	34
Gluconeogenesis	40
Bifidobacterium shunt	45
Heterolactic fermentation	59
Homolactic fermentation	36
Glycolysis	55
Regulation of stress-activated protein kinase signaling cascade	3
Valine, leucine and isoleucine biosynthesis	33
ABC transporters, prokaryotic type	425
Cellular response to osmotic stress	1620
Regulation of response to osmotic stress	1501
Response to osmotic stress	2454
Acetylene degradation	57
Lysine fermentation to acetate and butyrate	41
Mixed acid fermentation	100
Pyruvate Fermentation	1083
Acetate formation from acetyl-coA I	11
Phosphotransferase system (pts)	924
Polysaccharide biosynthesis and assembly of cell surface structure	333
Mannose	433
Valine, leucine and isoleucine degradation	145
Glycine, serine and threonine metabolism	146
Alanine, aspartate and glutamate metabolism (contain asparagin as well)	135
Ammonia assimilation	25
Fatty acid beta-oxidation I	112
Fatty acid beta-oxidation II (core pathway)	84
Nitrogenated compounds Reduction	57
Fatty acid activation	54
Disaccaride phosphorylase	1101
Starch	440
Galactose	397
Glycoside hydrolase	97
Lysine biosynthesis	119
Aromatic carboxylic acid degradation	29
Oxydation deamination	12
Arginine and proline metabolism	169
Amino acid biosynthesis precursor pyruvate and oxaloacetate	800
Phenylalanine metabolism	71
Tryptophan metabolism	124
Other aromatics degradation	12
Carbohydrate esterase	28
Fatty acid alpha-oxidation	15
Fatty acid omega-oxidation	14
Phenylalanine, tyrosine and tryptophan biosynthesis	345
Hydrocarbon degradation	17
Xylose	70
Glutamate degradation V (via hydroxyglutarate)	98
Pyruvate fermentation to butanol	144
Cellular response to stress	863
Regulation of translational initiation in response to osmotic stress	648
Acetoin biosynthesis	76
Deamination of cystein and methionine	2
Lysine degradation Iv	4
Lysine degradation v	4
Lysine degradation vI	3
TCA cycle	47
Polycyclic aromatic hydrocarbon degradation	17
Methane oxidation to cO2	12
Response to nitrosative stress	91
Response to oxidative stress	57
Fatty acid beta-oxidation IV (unsaturated)	38
Cellulose	4
Purine metabolism	340
Pyrimidine metabolism	249
Cellular response to cation stress	137
Cysteine and methionine metabolism	132
Degradation of pyrimidine bases	5
Reductive acetyl coenzyme A pathway	59
Arabinose	2
Transamination	2
Sulfur compounds cycle	136
Cellular response to oxidative stress	37
Chemoautotrophic oxidation of sulfur compounds	17
Glycosyltransferase	89
Succinate fermentation to butyrate	11
D-glutamine and D-glutamate metabolism	14
Pentose	33
From acetate	26
Regulation of translation in response to oxidative stress	61
Acetate formation from acetyl-coA II	1
EMP modified pathway	3
Methionine biosynthesis	61
Lysine degradation VIII	7
Methionine degradation	17
Acetyl-coA fermentation to butyrate II (clostridium)	20
Formaldehyde oxidation (glutathione-dependent)	8
Histidine biosynthesis, pRpp => histidine	56
Formaldehyde oxidation (tetrahydrofolate pathway)	12
Chitin	6
Incomplete TCA fork	39
Reductive TCA cycle	31
Polysaccharide lyase	4
Serine pathway for formaldehyde fixation	8
RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	17
Aminoacid dehydratase	1
Lysine degradation X	2
From methanol	8
From trimethylamine	6
From dimethylamine	6
From formate	15
From methylamine	6
From CO2	14
Histidine degradation	3
BTEX and related aromatics degradation	10
Hydrogen production VII (chlorophyta, cyanobacteria)	3
Lysine degradation II	2
Fatty acid beta-oxidation III (unsaturated)	4
Trehalose metabolism in response to cold stress	1
Lysine degradation IX	1
Chlorinated aromatics degradation	1
Heterocyclic aromatics degradation	1
Hexose	2
Nitrification (aerobic ammonia oxydation, bacterial and archea)	1
Formaldehyde oxidation (h4mpt pathway)	4
Lysine degradation VII	1
Degradation of purine bases	2
D-arginine and D-ornithine metabolism	10
Polycyclic aromatics degradation	6
Nitrogen Fixation	2
Hydrogen oxidation aerobic	2
Hydrogen production	2
Nitoaromatics degradation	1
Major Facilitator superfamily (MFS)	1
Pectin	1
