Name	Count
Citrate cycle (TCA cycle) [PATH:ko00020]	87
Pyruvate metabolism [PATH:ko00620]	132
Carbon fixation pathways in prokaryotes [PATH:ko00720]	99
Quorum sensing [PATH:ko02024]	129
Transporters [BR:ko02000]	632
ABC transporters [PATH:ko02010]	257
Lipopolysaccharide biosynthesis proteins [BR:ko01005]	33
Glycolysis / Gluconeogenesis [PATH:ko00010]	69
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	35
Propanoate metabolism [PATH:ko00640]	44
Glycine, serine and threonine metabolism [PATH:ko00260]	110
Valine, leucine and isoleucine degradation [PATH:ko00280]	56
Lysine degradation [PATH:ko00310]	34
Tryptophan metabolism [PATH:ko00380]	65
Exosome [BR:ko04147]	37
Phosphotransferase system (PTS) [PATH:ko02060]	197
Fatty acid biosynthesis [PATH:ko00061]	9
Fatty acid degradation [PATH:ko00071]	60
Peroxisome [PATH:ko04146]	16
Ferroptosis [PATH:ko04216]	6
Adipocytokine signaling pathway [PATH:ko04920]	6
PPAR signaling pathway [PATH:ko03320]	16
Thermogenesis [PATH:ko04714]	20
Lipid biosynthesis proteins [BR:ko01004]	19
Nitrogen metabolism [PATH:ko00910]	18
Enzymes with EC numbers	69
Fructose and mannose metabolism [PATH:ko00051]	166
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	111
O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	45
Butanoate metabolism [PATH:ko00650]	78
beta-Alanine metabolism [PATH:ko00410]	24
Arginine and proline metabolism [PATH:ko00330]	49
Phenylalanine metabolism [PATH:ko00360]	35
Aminobenzoate degradation [PATH:ko00627]	14
Styrene degradation [PATH:ko00643]	11
Ascorbate and aldarate metabolism [PATH:ko00053]	23
Glycerolipid metabolism [PATH:ko00561]	18
Histidine metabolism [PATH:ko00340]	23
Pantothenate and CoA biosynthesis [PATH:ko00770]	17
Insect hormone biosynthesis [PATH:ko00981]	9
Limonene and pinene degradation [PATH:ko00903]	9
