Name	Count
PEPtide and nickel transporters	29
Pyruvate fermentation to acetate and lactate I	19
Pyruvate fermentation to acetate and lactate II	19
Pyruvate fermentation to acetate I	18
Pyruvate fermentation to acetate II	19
Pyruvate fermentation to acetate IV	18
Pyruvate fermentation to acetate VII	15
Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	228
Mineral and organic ion transporters	39
Enzyme I and hpr	928
Lipopolysaccharide biosynthesis	135
Mucin type O-glycan biosynthesis	45
N-glycan biosynthesis	54
Peptidoglycan biosynthesis	77
Monosaccharide transporters	205
 metallic cation, iron-siderophore and vitamin b12 transporters	15
Assimilatory nitrate reduction	13
Pyruvate fermentation to propionate II (acrylate pathway)	23
Superpathway of clostridium acetobutylicum acidogenic fermentation	201
Superpathway of clostridium acetobutylicum solventogenic fermentation	172
Lactose	363
Sucrose	370
Maltose	368
Cysteine and methionine	177
PEP	283
Histidine	158
Pyruvate fermentation to butanoate	142
Superpathway of 2,3-butanediol biosynthesis	23
Pyruvate fermentation to acetate and alanine	13
Pyruvate fermentation to acetate V	21
Pyruvate fermentation to acetate VI	21
Pyruvate fermentation to acetate VIII	10
Pyruvate fermentation to ethanol III	14
Oxaloacetate to lysine	143
Cellobiose	11
Pyruvate fermentation to lactate	30
Pyruvate fermentation to ethanol I	47
Pyruvate fermentation to ethanol II	48
ABC-2 type and other transporters	21
Sulfate reduction (assimilatory)	49
Superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)	19
Sulfate reduction (dissimilatory)	16
Sulfite oxidation	18
Sulfur disproportionation	15
Thiosulfate disproportionation	28
Pyruvate fermentation to acetate III	2
Pyruvate fermentation to acetone	58
Sulfolactate degradation	17
(s)-acetoin biosynthesis	8
Phosphate and amino acid transporters	104
Oxaloacetate to aspartate and asparagine	16
Glutamate	7
Oligosaccharide and polyol transporters	12
Acetoin biosynthesis III	3
(s,s)-butanediol biosynthesis	3
Meso-butanediol biosynthesis I	3
Superpathway of (R,R)-butanediol biosynthesis	19
Denitrification	63
(R)-acetoin biosynthesis II	10
Murein	23
Pyruvate to leucine	16
Hydroxylamine reduction	14
Sulfoacetaldehyde degradation	7
(R)-acetoin biosynthesis I	6
Meso-butanediol biosynthesis II	6
Sulfite oxidation I (sulfite oxidoreductase)	1
Hydroxylamine to nitrite	1
Sugar transporters	1
