Name	Count
EMP	49
Glycolysis III (EMP)	50
EMP  in archea	42
Gluconeogenesis in archea	41
Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	34
Gluconeogenesis	37
Bifidobacterium shunt	46
Heterolactic fermentation	63
Homolactic fermentation	37
Glycolysis	56
Regulation of stress-activated protein kinase signaling cascade	3
Valine, leucine and isoleucine biosynthesis	37
ABC transporters, prokaryotic type	425
From formate	75
Methane oxidation to cO2	43
Formaldehyde oxidation (tetrahydrofolate pathway)	26
Formaldehyde oxidation (glutathione-dependent)	23
Valine, leucine and isoleucine degradation	173
Amino acid biosynthesis precursor pyruvate and oxaloacetate	916
Cellular response to osmotic stress	1626
Regulation of response to osmotic stress	1501
Response to osmotic stress	2530
Acetylene degradation	58
Lysine fermentation to acetate and butyrate	43
Mixed acid fermentation	100
Pyruvate Fermentation	1208
Acetate formation from acetyl-coA I	11
Polysaccharide biosynthesis and assembly of cell surface structure	364
Mannose	254
Glycine, serine and threonine metabolism	154
Alanine, aspartate and glutamate metabolism (contain asparagin as well)	132
Ammonia assimilation	21
Phosphotransferase system (pts)	262
Fatty acid beta-oxidation I	115
Fatty acid beta-oxidation II (core pathway)	88
Nitrogenated compounds Reduction	93
Fatty acid activation	55
Glycoside hydrolase	124
Lysine biosynthesis	121
Aromatic carboxylic acid degradation	34
Arginine and proline metabolism	203
Starch	257
Xylose	80
Phenylalanine metabolism	80
Tryptophan metabolism	140
Other aromatics degradation	19
Carbohydrate esterase	28
Chitin	9
Fatty acid alpha-oxidation	16
Fatty acid omega-oxidation	14
Phenylalanine, tyrosine and tryptophan biosynthesis	482
Hydrocarbon degradation	17
Cellulose	6
Disaccaride phosphorylase	544
Galactose	214
Glutamate degradation V (via hydroxyglutarate)	103
Pyruvate fermentation to butanol	155
Cellular response to stress	846
Regulation of translational initiation in response to osmotic stress	628
Acetoin biosynthesis	86
Deamination of cystein and methionine	2
Lysine degradation Iv	4
Lysine degradation v	4
Lysine degradation vI	3
TCA cycle	79
Polycyclic aromatic hydrocarbon degradation	30
Response to nitrosative stress	89
Response to oxidative stress	69
Fatty acid beta-oxidation IV (unsaturated)	39
Purine metabolism	585
Pyrimidine metabolism	262
Cellular response to cation stress	127
Degradation of purine bases	22
Degradation of pyrimidine bases	8
Reductive acetyl coenzyme A pathway	68
Sulfur compounds cycle	200
Incomplete TCA fork	41
Arabinose	3
Cysteine and methionine metabolism	128
Transamination	2
Cellular response to oxidative stress	47
Chemoautotrophic oxidation of sulfur compounds	35
Polysaccharide lyase	6
Glycosyltransferase	92
Succinate fermentation to butyrate	14
D-glutamine and D-glutamate metabolism	13
Pentose	31
From acetate	30
From methanol	15
From trimethylamine	13
From dimethylamine	13
From methylamine	13
From CO2	54
Methionine biosynthesis	62
Hydrogen production	23
Lysine degradation VIII	7
Methionine degradation	22
RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	19
Acetyl-coA fermentation to butyrate II (clostridium)	40
Histidine biosynthesis, pRpp => histidine	56
Histidine degradation	5
Formaldehyde oxidation (h4mpt pathway)	11
Hydrogen oxidation aerobic	6
Reductive TCA cycle	42
Serine pathway for formaldehyde fixation	10
Aminoacid dehydratase	1
Lysine degradation X	3
D-arginine and D-ornithine metabolism	10
BTEX and related aromatics degradation	12
Nitoaromatics degradation	4
Trehalose metabolism in response to cold stress	4
Nitrification (aerobic ammonia oxydation, bacterial and archea)	1
Hydrogen production VII (chlorophyta, cyanobacteria)	14
Lysine degradation II	2
Fatty acid beta-oxidation III (unsaturated)	5
Nitrogen Fixation	4
EMP modified pathway	19
Lysine degradation IX	1
Acetate formation from acetyl-coA II	1
Chlorinated aromatics degradation	2
Heterocyclic aromatics degradation	1
Pectin	3
Polycyclic aromatics degradation	9
Regulation of translation in response to oxidative stress	37
Oxydation deamination	10
Hexose	2
Lysine degradation VII	1
Methanol oxidation to formaldehyde	3
Major Facilitator superfamily (MFS)	1
