Name	Count
Glycolysis / Gluconeogenesis [PATH:ko00010]	177
Methane metabolism [PATH:ko00680]	213
Glycine, serine and threonine metabolism [PATH:ko00260]	193
Glucagon signaling pathway [PATH:ko04922]	47
Central carbon metabolism in cancer [PATH:ko05230]	52
Membrane trafficking [BR:ko04131]	73
Exosome [BR:ko04147]	106
Citrate cycle (TCA cycle) [PATH:ko00020]	145
Pyruvate metabolism [PATH:ko00620]	212
Carbon fixation pathways in prokaryotes [PATH:ko00720]	170
Carbon fixation in photosynthetic organisms [PATH:ko00710]	21
HIF-1 signaling pathway [PATH:ko04066]	56
Pathogenic Escherichia coli infection [PATH:ko05130]	28
Salmonella infection [PATH:ko05132]	56
Alzheimer disease [PATH:ko05010]	114
Diabetic cardiomyopathy [PATH:ko05415]	73
Quorum sensing [PATH:ko02024]	199
Transporters [BR:ko02000]	711
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	104
Fatty acid degradation [PATH:ko00071]	179
Valine, leucine and isoleucine degradation [PATH:ko00280]	172
PPAR signaling pathway [PATH:ko03320]	27
Two-component system [PATH:ko02020]	1184
Protein kinases [BR:ko01001]	2167
Two-component system [BR:ko02022]	1444
Bacterial motility proteins [BR:ko02035]	59
ABC transporters [PATH:ko02010]	275
Lipopolysaccharide biosynthesis proteins [BR:ko01005]	58
Propanoate metabolism [PATH:ko00640]	165
Lysine degradation [PATH:ko00310]	99
Tryptophan metabolism [PATH:ko00380]	149
Nitrogen metabolism [PATH:ko00910]	105
Alanine, aspartate and glutamate metabolism [PATH:ko00250]	131
Peptidases and inhibitors [BR:ko01002]	61
Phosphotransferase system (PTS) [PATH:ko02060]	219
Fatty acid biosynthesis [PATH:ko00061]	12
Peroxisome [PATH:ko04146]	46
Ferroptosis [PATH:ko04216]	8
Adipocytokine signaling pathway [PATH:ko04920]	11
Thermogenesis [PATH:ko04714]	180
Lipid biosynthesis proteins [BR:ko01004]	30
Enzymes with EC numbers	368
Butanoate metabolism [PATH:ko00650]	177
beta-Alanine metabolism [PATH:ko00410]	88
Fructose and mannose metabolism [PATH:ko00051]	202
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	149
O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	50
Lysine biosynthesis [PATH:ko00300]	116
