KO Id	Name	Level	Count
	lvl1: 06_Amino acid utilization biosynthesis metabolism	1	372
	lvl2: Alanine, aspartate and glutamate metabolism (contain asparagin as well)	2	23
	lvl3: nan	3	907
	lvl4: nan	4	1298
K00003	K00003: hom; homoserine dehydrogenase	Function	6
	lvl2: Phenylalanine metabolism	2	15
	lvl2: D-arginine and D-ornithine metabolism	2	1
	lvl2: Valine, leucine and isoleucine biosynthesis	2	15
	lvl2: Amino acid biosynthesis precursor pyruvate and oxaloacetate	2	127
	lvl3: Oxaloacetate to lysine	3	27
	lvl3: Cysteine and methionine	3	30
	lvl1: 01_Fermentation	1	196
	lvl2: Acetyl-coA fermentation to butyrate II (clostridium)	2	3
K00004	K00004: BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	Function	7
	lvl2: Acetoin biosynthesis	2	19
	lvl3: Acetoin biosynthesis III	3	2
	lvl3: (s,s)-butanediol biosynthesis	3	2
	lvl3: Meso-butanediol biosynthesis I	3	2
	lvl3: Superpathway of (R,R)-butanediol biosynthesis	3	4
	lvl3: Superpathway of 2,3-butanediol biosynthesis	3	3
	lvl1: 20_Hydrolysis of polymers	1	58
	lvl2: Starch	2	20
K00012	K00012: UGDH, ugd; UDPglucose 6-dehydrogenase	Function	2
	lvl2: Xylose	2	9
	lvl2: Lysine biosynthesis	2	14
K00013	K00013: hisD; histidinol dehydrogenase	Function	2
	lvl3: Histidine	3	39
	lvl2: Tryptophan metabolism	2	11
K00014	K00014: aroE; shikimate dehydrogenase	Function	2
	lvl3: PEP	3	18
	lvl2: Glycine, serine and threonine metabolism	2	19
K00018	K00018: hprA; glycerate dehydrogenase	Function	1
	lvl2: Histidine degradation	2	3
K00020	K00020: HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	Function	1
	lvl2: Succinate fermentation to butyrate	2	2
K00023	K00023: phbB; acetoacetyl-CoA reductase	Function	2
	lvl1: 08_Hydrocarbon degradation	1	22
	lvl2: Aromatic carboxylic acid degradation	2	10
	lvl2: Mixed acid fermentation	2	13
K00031	K00031: IDH1, IDH2, icd; isocitrate dehydrogenase	Function	3
	lvl1: 10_TCA cycle	1	26
	lvl2: TCA cycle	2	10
	lvl2: Reductive TCA cycle	2	3
	lvl2: Heterolactic fermentation	2	11
K00036	K00036: G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	Function	3
	lvl1: 15_Methylotrophy	1	17
	lvl2: RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	2	4
	lvl1: 21_Cellular response to stress	1	190
	lvl2: Cellular response to stress	2	30
	lvl2: Histidine biosynthesis, pRpp => histidine	2	10
K00052	K00052: leuB, IMDH; 3-isopropylmalate dehydrogenase	Function	1
K00053	K00053: ilvC; ketol-acid reductoisomerase	Function	1
K00058	K00058: serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	Function	1
	lvl2: Mannose	2	17
K00066	K00066: algD; GDP-mannose 6-dehydrogenase	Function	1
	lvl1: 19_Saccharide and derivated synthesis	1	114
	lvl2: Polysaccharide biosynthesis and assembly of cell surface structure	2	105
	lvl3: Peptidoglycan biosynthesis	3	27
K00075	K00075: murB; UDP-N-acetylmuramate dehydrogenase	Function	2
	lvl3: Murein	3	5
K00078	K00078: DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)	Function	1
	lvl1: 07_Nucleic acid metabolism	1	109
	lvl2: Purine metabolism	2	62
K00088	K00088: IMPDH, guaB; IMP dehydrogenase	Function	1
	lvl2: Acetylene degradation	2	5
K00121	K00121: frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	Function	11
	lvl2: Glutamate degradation V (via hydroxyglutarate)	2	9
	lvl2: Pyruvate Fermentation	2	107
	lvl3: Pyruvate fermentation to butanoate	3	7
	lvl3: Pyruvate fermentation to ethanol I	3	4
	lvl3: Pyruvate fermentation to ethanol II	3	3
	lvl3: Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	3	20
	lvl3: Superpathway of clostridium acetobutylicum acidogenic fermentation	3	18
	lvl3: Superpathway of clostridium acetobutylicum solventogenic fermentation	3	15
	lvl2: Formaldehyde oxidation (glutathione-dependent)	2	2
	lvl2: Response to osmotic stress	2	65
	lvl2: Cysteine and methionine metabolism	2	25
K00133	K00133: asd; aspartate-semialdehyde dehydrogenase	Function	6
	lvl2: Methionine biosynthesis	2	5
	lvl2: Bifidobacterium shunt	2	7
K00134	K00134: GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	Function	8
	lvl2: Homolactic fermentation	2	6
	lvl1: 02_Homoacetogenesis	1	27
	lvl2: Glycolysis	2	9
	lvl1: 16_Embden Meyerhof-Parnos (EMP)	1	28
	lvl2: EMP	2	10
	lvl2: Glycolysis III (EMP)	2	10
	lvl1: 17_Gluconeogenesis	1	13
	lvl2: Gluconeogenesis in archea	2	8
	lvl2: Regulation of stress-activated protein kinase signaling cascade	2	1
	lvl2: Lysine degradation VIII	2	1
K00135	K00135: gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	Function	3
	lvl2: Methionine degradation	2	7
