L1	L2	L3	KO	Function	EC	Count
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00003	hom; homoserine dehydrogenase	1.1.1.3	1
Metabolism	Amino acid metabolism	Cysteine and methionine metabolism [PATH:ko00270]	K00003	hom; homoserine dehydrogenase	1.1.1.3	1
Metabolism	Amino acid metabolism	Lysine biosynthesis [PATH:ko00300]	K00003	hom; homoserine dehydrogenase	1.1.1.3	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	1.1.1.4 1.1.1.- 1.1.1.303	1
Metabolism	Carbohydrate metabolism	Propanoate metabolism [PATH:ko00640]	K00005	gldA; glycerol dehydrogenase	1.1.1.6	1
Metabolism	Lipid metabolism	Glycerolipid metabolism [PATH:ko00561]	K00005	gldA; glycerol dehydrogenase	1.1.1.6	1
Metabolism	Carbohydrate metabolism	Inositol phosphate metabolism [PATH:ko00562]	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	1.1.1.18 1.1.1.369	1
Metabolism	Biosynthesis of other secondary metabolites	Streptomycin biosynthesis [PATH:ko00521]	K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	1.1.1.18 1.1.1.369	1
Metabolism	Carbohydrate metabolism	Pentose and glucuronate interconversions [PATH:ko00040]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Carbohydrate metabolism	Ascorbate and aldarate metabolism [PATH:ko00053]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Glycan biosynthesis and metabolism	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	1.1.1.22	1
Metabolism	Amino acid metabolism	Histidine metabolism [PATH:ko00340]	K00013	hisD; histidinol dehydrogenase	1.1.1.23	1
Metabolism	Amino acid metabolism	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	K00014	aroE; shikimate dehydrogenase	1.1.1.25	1
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00018	hprA; glycerate dehydrogenase	1.1.1.29	1
Metabolism	Energy metabolism	Methane metabolism [PATH:ko00680]	K00018	hprA; glycerate dehydrogenase	1.1.1.29	1
Metabolism	Amino acid metabolism	Glycine, serine and threonine metabolism [PATH:ko00260]	K00018	hprA; glycerate dehydrogenase	1.1.1.29	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase	1.1.1.30	1
Metabolism	Lipid metabolism	Synthesis and degradation of ketone bodies [PATH:ko00072]	K00019	E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase	1.1.1.30	1
Metabolism	Amino acid metabolism	Valine, leucine and isoleucine degradation [PATH:ko00280]	K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1.1.1.31	1
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	1
Metabolism	Carbohydrate metabolism	Butanoate metabolism [PATH:ko00650]	K00023	phbB; acetoacetyl-CoA reductase	1.1.1.36	1
Metabolism	Carbohydrate metabolism	Pyruvate metabolism [PATH:ko00620]	K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1.38	1
Environmental Information Processing	Signal transduction	Two-component system [PATH:ko02020]	K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	1.1.1.38	1
Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle) [PATH:ko00020]	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
Metabolism	Energy metabolism	Carbon fixation pathways in prokaryotes [PATH:ko00720]	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
Cellular Processes	Transport and catabolism	Peroxisome [PATH:ko04146]	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00031	IDH1, IDH2, icd; isocitrate dehydrogenase	1.1.1.42	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase	1.1.1.43	1
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase	1.1.1.43	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00034	gdh; glucose 1-dehydrogenase	1.1.1.47	1
Metabolism	Carbohydrate metabolism	Pentose phosphate pathway [PATH:ko00030]	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
Metabolism	Metabolism of other amino acids	Glutathione metabolism [PATH:ko00480]	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
Human Diseases	Cancer: overview	Central carbon metabolism in cancer [PATH:ko05230]	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy [PATH:ko05415]	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
Brite Hierarchies	Protein families: signaling and cellular processes	Exosome [BR:ko04147]	K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	1.1.1.49 1.1.1.363	1
Metabolism	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase	1.1.1.60	1
Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism [PATH:ko00051]	K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase	1.1.1.67	1
Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	K00046	idnO; gluconate 5-dehydrogenase	1.1.1.69	1
