KO Id	Name	Level	Count
	lvl1: Coenzyme transport and metabolism	1	140
	lvl2: Glutamate-1-semialdehyde aminotransferase	2	1
	lvl3: nan	3	2330
COG0001	COG0001: HemL:Heme biosynthesis	Function	1
	lvl1: Amino acid transport and metabolism	1	193
	lvl2: N-acetyl-gamma-glutamylphosphate reductase	2	1
COG0002	COG0002: ArgC:Arginine biosynthesis	Function	1
	lvl1: Inorganic ion transport and metabolism	1	141
	lvl2: Ammonia channel protein AmtB	2	1
COG0004	COG0004: AmtB:	Function	1
	lvl1: Nucleotide transport and metabolism	1	84
	lvl2: Purine nucleoside phosphorylase	2	1
COG0005	COG0005: XapA:Purine salvage	Function	1
	lvl2: Xaa-Pro aminopeptidase	2	1
COG0006	COG0006: PepP:	Function	1
	lvl2: Uroporphyrinogen-III methylase (siroheme synthase)	2	1
COG0007	COG0007: CysG:Cobalamine/B12 biosynthesis	Function	1
	lvl1: Translation, ribosomal structure and biogenesis	1	187
	lvl2: Glutamyl- or glutaminyl-tRNA synthetase	2	1
COG0008	COG0008: GlnS:Heme biosynthesis	Function	1
	lvl2: tRNA A37 threonylcarbamoyladenosine synthetase subunit TsaC/SUA5/YrdC	2	1
COG0009	COG0009: TsaC:tRNA modification	Function	1
	lvl2: Arginase/agmatinase family enzyme	2	1
COG0010	COG0010: SpeB:Urea cycle	Function	1
	lvl2: Ribosome-binding ATPase YchF, GTP1/OBG family	2	1
COG0012	COG0012: GTP1:	Function	1
	lvl2: Alanyl-tRNA synthetase	2	1
COG0013	COG0013: AlaS:Aminoacyl-tRNA synthetases	Function	1
	lvl2: Gamma-glutamyl phosphate reductase	2	1
COG0014	COG0014: ProA:Proline biosynthesis	Function	1
	lvl2: Adenylosuccinate lyase	2	1
COG0015	COG0015: PurB:Purine biosynthesis	Function	1
	lvl2: Phenylalanyl-tRNA synthetase alpha subunit	2	1
COG0016	COG0016: PheS:Aminoacyl-tRNA synthetases	Function	1
	lvl2: Aspartyl/asparaginyl-tRNA synthetase	2	1
COG0017	COG0017: AsnS:Aminoacyl-tRNA synthetases	Function	1
	lvl2: Arginyl-tRNA synthetase	2	1
COG0018	COG0018: ArgS:Aminoacyl-tRNA synthetases	Function	1
	lvl2: Diaminopimelate decarboxylase	2	1
COG0019	COG0019: LysA:Lysine biosynthesis	Function	1
	lvl1: Lipid transport and metabolism	1	70
	lvl2: Undecaprenyl pyrophosphate synthase	2	1
COG0020	COG0020: UppS:	Function	1
	lvl1: Carbohydrate transport and metabolism	1	153
	lvl2: Transketolase	2	1
COG0021	COG0021: TktA:Pentose phosphate pathway	Function	1
	lvl1: Energy production and conversion	1	139
	lvl2: Pyruvate/2-oxoglutarate/acetoin dehydrogenase complex, dehydrogenase (E1) component, beta subunit	2	1
COG0022	COG0022: AcoB:Pyruvate oxidation	Function	1
	lvl2: Methionine aminopeptidase	2	1
COG0024	COG0024: Map:	Function	1
	lvl2: NhaP-type Na+/H+ or K+/H+ antiporter	2	1
COG0025	COG0025: NhaP:	Function	1
	lvl2: Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)	2	1
COG0026	COG0026: PurK:Purine biosynthesis	Function	1
	lvl2: Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme	2	2
COG0028	COG0028: IlvB:Isoleucine, leucine, valine biosynthesis	Function	2
	lvl2: Aspartate oxidase	2	1
COG0029	COG0029: NadB:NAD biosynthesis	Function	1
	lvl2: 16S rRNA A1518 and A1519 N6-dimethyltransferase RsmA/KsgA/DIM1 (may also have DNA glycosylase/AP lyase activity)	2	1
COG0030	COG0030: RsmA:16S rRNA modification	Function	1
	lvl2: Cysteine synthase	2	1
COG0031	COG0031: CysK:Cysteine biosynthesis	Function	1
	lvl2: Phosphoglucomutase/phosphomannomutase	2	1
COG0033	COG0033: Pgm:	Function	1
	lvl2: Glutamine phosphoribosylpyrophosphate amidotransferase	2	1
COG0034	COG0034: PurF:Purine biosynthesis	Function	1
	lvl2: Uracil phosphoribosyltransferase	2	1
COG0035	COG0035: Upp:Pyrimidine salvage	Function	1
	lvl2: Pentose-5-phosphate-3-epimerase	2	1
COG0036	COG0036: Rpe:Pentose phosphate pathway	Function	1
	lvl2: tRNA(Ile)-lysidine synthase TilS/MesJ	2	1
COG0037	COG0037: TilS:tRNA modification	Function	1
	lvl2: H+/Cl- antiporter ClcA	2	1
COG0038	COG0038: ClcA:	Function	1
	lvl2: Malate/lactate dehydrogenase	2	1
COG0039	COG0039: Mdh:TCA cycle	Function	1
	lvl2: ATP phosphoribosyltransferase	2	1
COG0040	COG0040: HisG:Histidine biosynthesis	Function	1
	lvl2: Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase	2	1
COG0041	COG0041: PurE:Purine biosynthesis	Function	1
	lvl2: tRNA-dihydrouridine synthase	2	1
COG0042	COG0042: DusA:tRNA modification	Function	1
	lvl2: 3-polyprenyl-4-hydroxybenzoate decarboxylase	2	1
COG0043	COG0043: UbiD:Ubiquinone biosynthesis	Function	1
	lvl2: Dihydroorotase or related cyclic amidohydrolase	2	1
COG0044	COG0044: AllB:Pyrimidine biosynthesis	Function	1
	lvl2: Succinyl-CoA synthetase, beta subunit	2	1
COG0045	COG0045: SucC:TCA cycle	Function	1
