Name	Count
20_Hydrolysis of polymers	68
06_Amino acid utilization biosynthesis metabolism	256
01_Fermentation	98
10_TCA cycle	24
15_Methylotrophy	11
21_Cellular response to stress	114
19_Saccharide and derivated synthesis	85
07_Nucleic acid metabolism	96
14_Methanogenesis	6
02_Homoacetogenesis	23
16_Embden Meyerhof-Parnos (EMP)	25
17_Gluconeogenesis	12
05_Fatty acid oxidation	17
11_Nitrogen cycle	9
09_Carbohydrate Active enzyme - CAZy	31
18_Sulfur compounds metabolism	4
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	5
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
08_Hydrocarbon degradation	5
12_Transporters	104
13_Hydrogen metabolism	1
