Name	Count
Carbohydrate metabolism	418
Lipid metabolism	101
Amino acid metabolism	348
Metabolism of cofactors and vitamins	196
Xenobiotics biodegradation and metabolism	145
Biosynthesis of other secondary metabolites	75
Glycan biosynthesis and metabolism	75
Energy metabolism	194
Signal transduction	154
Metabolism of other amino acids	80
Transport and catabolism	20
Cancer: overview	23
Cardiovascular disease	42
Protein families: signaling and cellular processes	808
Unclassified: metabolism	258
Protein families: metabolism	310
Metabolism of terpenoids and polyketides	44
Nucleotide metabolism	104
Infectious disease: bacterial	40
Neurodegenerative disease	144
Protein families: genetic information processing	659
Endocrine system	16
Environmental adaptation	33
Endocrine and metabolic disease	24
Nervous system	20
Substance dependence	7
Drug resistance: antineoplastic	6
Cancer: specific types	7
Circulatory system	3
Poorly characterized	139
Folding, sorting and degradation	48
Cell motility	49
Translation	79
Digestive system	3
Cellular community - prokaryotes	121
Cell growth and death	38
Drug resistance: antimicrobial	39
Aging	14
Immune system	15
Infectious disease: viral	17
Replication and repair	80
Infectious disease: parasitic	11
Excretory system	1
Development and regeneration	1
Unclassified: signaling and cellular processes	58
Membrane transport	242
Unclassified: genetic information processing	48
Transcription	4
Immune disease	1
Signaling molecules and interaction	2
