ID	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
K00001	0.0	0.0	0.0	1.0	0.0
K00003	0.0	1.0	0.0	1.0	0.0
K00004	0.0	1.0	0.0	1.0	0.0
K00012	1.0	1.0	1.0	1.0	1.0
K00013	1.0	1.0	0.0	1.0	1.0
K00014	1.0	1.0	0.0	1.0	1.0
K00016	1.0	0.0	1.0	0.0	1.0
K00018	0.0	1.0	0.0	0.0	0.0
K00020	1.0	1.0	1.0	1.0	1.0
K00023	0.0	1.0	0.0	1.0	0.0
K00024	1.0	0.0	0.0	1.0	1.0
K00031	0.0	1.0	0.0	1.0	0.0
K00033	1.0	0.0	1.0	1.0	1.0
K00035	0.0	0.0	0.0	1.0	0.0
K00036	0.0	1.0	0.0	1.0	0.0
K00039	0.0	0.0	0.0	1.0	0.0
K00040	0.0	0.0	0.0	1.0	0.0
K00043	0.0	0.0	0.0	1.0	0.0
K00052	0.0	1.0	1.0	1.0	0.0
K00053	0.0	1.0	1.0	1.0	0.0
K00055	0.0	0.0	0.0	1.0	0.0
K00058	1.0	1.0	1.0	1.0	1.0
K00060	1.0	0.0	0.0	1.0	1.0
K00065	0.0	0.0	0.0	1.0	0.0
K00066	0.0	1.0	0.0	0.0	0.0
K00075	1.0	1.0	0.0	1.0	1.0
K00078	0.0	1.0	0.0	0.0	0.0
K00088	1.0	1.0	0.0	1.0	1.0
K00108	0.0	0.0	0.0	1.0	0.0
K00121	0.0	1.0	0.0	1.0	0.0
K00123	0.0	0.0	0.0	1.0	0.0
K00124	0.0	0.0	0.0	0.0	1.0
K00126	0.0	0.0	0.0	1.0	0.0
K00127	0.0	0.0	0.0	1.0	0.0
K00128	0.0	0.0	0.0	1.0	0.0
K00130	0.0	0.0	0.0	1.0	0.0
K00133	1.0	1.0	1.0	1.0	1.0
K00134	1.0	1.0	0.0	1.0	1.0
K00135	1.0	1.0	1.0	1.0	1.0
