ID	FragGeneScan_GIC31	FragGeneScan_DJ	FragGeneScan_RW1	FragGeneScan_Rleg	FragGeneScan_RW2
K00001	0.0	0.0	0.0	1.0	0.0
K00003	0.0	1.0	0.0	1.0	0.0
K00004	0.0	1.0	0.0	1.0	0.0
K00005	1.0	1.0	0.0	0.0	1.0
K00008	0.0	0.0	0.0	1.0	1.0
K00009	1.0	0.0	0.0	0.0	1.0
K00010	0.0	1.0	0.0	1.0	0.0
K00012	1.0	1.0	1.0	1.0	1.0
K00013	1.0	1.0	0.0	1.0	1.0
K00014	1.0	1.0	0.0	1.0	1.0
K00015	0.0	0.0	0.0	1.0	1.0
K00016	1.0	0.0	1.0	0.0	1.0
K00018	0.0	1.0	0.0	0.0	0.0
K00019	0.0	1.0	0.0	1.0	0.0
K00020	1.0	1.0	1.0	1.0	1.0
K00023	0.0	1.0	0.0	1.0	0.0
K00024	1.0	0.0	0.0	1.0	1.0
K00027	1.0	1.0	0.0	1.0	1.0
K00030	1.0	0.0	0.0	0.0	1.0
K00031	0.0	1.0	0.0	1.0	0.0
K00032	0.0	1.0	0.0	0.0	0.0
K00033	1.0	0.0	1.0	1.0	1.0
K00034	1.0	1.0	0.0	1.0	1.0
K00035	0.0	0.0	0.0	1.0	0.0
K00036	0.0	1.0	0.0	1.0	0.0
K00038	1.0	0.0	0.0	1.0	1.0
K00039	0.0	0.0	0.0	1.0	0.0
K00040	0.0	0.0	0.0	1.0	0.0
K00042	0.0	1.0	1.0	1.0	0.0
K00043	0.0	0.0	0.0	1.0	0.0
K00045	0.0	1.0	0.0	1.0	0.0
K00046	0.0	1.0	1.0	1.0	0.0
K00052	0.0	1.0	1.0	1.0	0.0
K00053	0.0	1.0	1.0	1.0	0.0
K00055	0.0	0.0	0.0	1.0	0.0
K00057	1.0	1.0	0.0	1.0	1.0
K00058	1.0	1.0	1.0	1.0	1.0
K00059	1.0	1.0	0.0	1.0	1.0
K00060	1.0	0.0	0.0	1.0	1.0
