ID	DJ	GIC31	RW1	RW2	Rleg
phrog_1	1	1	1	1	1
phrog_100	1	1	0	1	1
phrog_10089	0	0	0	0	1
phrog_101	1	0	0	0	0
phrog_1012	1	0	0	0	1
phrog_1013	0	0	0	0	1
phrog_10255	1	1	1	1	0
phrog_10276	1	1	0	1	1
phrog_103	1	0	0	0	0
phrog_10300	0	0	0	0	1
phrog_10313	0	0	0	0	1
phrog_10371	1	0	0	0	0
phrog_1040	1	1	0	1	1
phrog_1047	1	0	0	0	0
phrog_107	1	1	0	1	1
phrog_1075	1	1	0	1	0
phrog_1076	1	0	0	0	0
phrog_1077	0	1	0	0	0
phrog_10912	1	1	1	1	1
phrog_11	1	0	0	0	0
phrog_11023	0	1	0	0	0
phrog_1112	1	1	0	1	1
phrog_11145	1	1	1	1	1
phrog_11189	0	1	0	1	1
phrog_1139	1	0	0	0	0
phrog_114	0	0	0	0	1
phrog_1157	0	1	0	0	1
phrog_11787	1	1	1	1	1
phrog_11841	0	0	0	0	1
phrog_1185	1	1	0	1	1
phrog_1198	1	1	0	1	1
phrog_1207	1	1	0	1	1
phrog_1211	1	1	0	1	1
phrog_1213	1	0	0	0	0
phrog_12156	1	0	0	0	0
phrog_1218	0	1	0	1	0
phrog_1224	1	0	0	0	0
phrog_12316	1	1	1	1	1
phrog_12432	0	1	0	1	0
phrog_1249	1	1	0	1	1
phrog_125	1	1	0	1	1
phrog_1259	0	0	0	0	1
phrog_126	1	0	0	0	0
phrog_12671	0	0	0	0	1
phrog_1268	1	1	0	1	1
phrog_1271	0	0	1	0	0
phrog_1282	0	1	0	1	1
phrog_12925	1	0	0	0	0
phrog_12965	1	0	0	0	0
phrog_130	1	0	0	0	0
phrog_13076	1	0	0	0	0
phrog_13126	0	0	0	0	1
phrog_1319	1	1	1	1	1
phrog_13423	0	0	0	0	1
phrog_135	1	0	0	0	1
phrog_13505	0	0	0	0	1
phrog_13512	0	1	0	1	0
phrog_1358	1	1	0	1	1
phrog_1368	1	0	0	0	1
