ID	DJ	GIC31	RW1	RW2	Rleg
COG0001	1	1	0	1	1
COG0002	1	1	0	1	1
COG0003	0	1	0	1	0
COG0004	1	1	0	1	1
COG0005	1	1	1	1	1
COG0006	1	1	0	1	1
COG0007	1	0	0	0	1
COG0008	1	1	1	1	1
COG0009	1	1	0	1	1
COG0010	0	1	0	1	1
COG0012	1	1	0	1	1
COG0013	1	1	0	1	1
COG0014	1	0	0	0	1
COG0015	1	1	0	1	1
COG0016	1	1	0	1	1
COG0017	0	1	0	1	1
COG0018	1	1	0	1	1
COG0019	1	1	0	1	1
COG0020	1	1	0	1	1
COG0021	1	1	0	1	1
COG0022	1	1	0	1	1
COG0023	1	0	0	0	0
COG0024	1	1	0	1	1
COG0025	1	0	0	0	1
COG0026	1	1	1	1	1
COG0027	1	0	0	0	0
COG0028	1	0	1	0	1
COG0029	1	1	0	1	1
COG0030	1	1	0	1	1
COG0031	1	1	1	1	1
COG0033	0	0	0	0	1
COG0034	1	1	0	1	1
COG0035	1	1	0	1	1
COG0036	1	1	0	1	1
COG0037	1	1	0	1	1
COG0038	0	0	0	0	1
COG0039	0	1	1	1	1
COG0040	1	1	0	1	1
COG0041	1	1	1	1	1
COG0042	1	1	0	1	1
COG0043	1	0	0	0	1
COG0044	1	1	0	1	1
COG0045	1	1	0	1	1
COG0046	0	1	0	1	1
COG0047	1	1	0	1	1
COG0048	1	1	0	1	1
COG0049	1	1	0	1	1
COG0050	1	1	0	1	1
COG0051	1	1	0	1	1
COG0052	1	1	0	1	1
COG0053	1	1	0	1	1
COG0054	1	1	1	1	1
COG0055	1	1	0	1	1
COG0056	1	1	0	1	1
COG0057	1	1	0	1	1
COG0058	1	1	0	1	1
COG0059	1	0	1	0	1
COG0060	1	1	0	1	1
COG0061	1	1	0	1	1
COG0062	0	0	0	0	1
COG0063	1	1	0	1	0
COG0064	1	1	0	1	1
COG0065	1	0	0	0	1
COG0066	1	0	0	0	1
COG0068	1	0	0	0	0
COG0069	1	1	0	1	1
COG0070	1	1	0	1	1
COG0071	1	1	0	1	1
COG0072	1	1	0	1	1
COG0073	0	0	0	0	1
COG0074	1	1	0	1	1
COG0075	0	1	0	1	1
COG0076	0	0	0	0	1
COG0077	1	0	0	0	1
COG0078	1	1	0	1	1
COG0079	1	1	0	1	1
COG0080	1	1	1	1	1
COG0081	1	1	1	1	1
COG0082	1	1	0	1	1
COG0084	1	1	0	1	1
COG0085	1	1	0	1	1
COG0086	1	1	0	1	1
COG0087	1	1	0	1	1
COG0088	1	1	0	1	1
COG0089	1	1	0	1	1
COG0090	1	1	0	1	1
COG0091	1	1	0	1	1
COG0092	1	1	0	1	1
COG0093	1	1	0	1	1
COG0094	1	1	0	1	1
COG0095	0	1	0	1	0
COG0096	1	1	0	1	1
COG0097	1	1	0	1	1
COG0098	1	1	0	1	1
COG0099	1	1	0	1	1
COG0100	1	1	0	1	1
COG0101	1	1	0	1	1
COG0102	1	1	0	1	1
COG0103	1	1	0	1	1
COG0104	1	1	0	1	1
COG0105	1	1	0	1	1
COG0106	1	1	0	1	1
COG0107	1	1	0	1	1
COG0108	1	0	0	0	1
COG0109	1	1	0	1	1
COG0110	1	1	0	1	1
COG0111	1	1	1	1	1
COG0112	1	1	0	1	1
COG0113	1	1	0	1	1
COG0114	1	1	0	1	1
COG0115	1	1	1	1	1
COG0116	1	1	0	1	0
COG0118	1	1	0	1	1
COG0119	1	0	0	0	1
COG0120	1	0	0	0	1
COG0121	1	0	0	0	1
COG0122	0	1	0	1	1
COG0123	1	1	0	1	1
COG0124	1	1	1	1	1
COG0125	1	1	1	1	1
COG0126	1	1	0	1	1
COG0127	1	1	0	1	1
COG0128	1	1	0	1	1
COG0129	1	0	1	0	1
COG0130	1	1	0	1	1
COG0131	1	1	0	1	1
COG0132	1	0	0	0	0
COG0133	1	1	0	1	1
COG0134	1	1	0	1	1
COG0135	1	1	0	1	1
COG0136	1	1	1	1	1
COG0137	1	1	0	1	1
COG0138	1	1	0	1	1
COG0139	1	1	0	1	1
COG0140	1	1	0	1	1
COG0141	1	1	0	1	1
COG0142	1	1	0	1	1
COG0143	1	1	0	1	1
COG0144	1	1	0	1	1
COG0145	1	0	0	0	1
COG0146	1	0	0	0	1
COG0147	1	1	0	1	1
COG0148	1	1	1	1	1
COG0149	1	1	0	1	1
COG0150	1	1	0	1	1
COG0151	1	1	0	1	1
COG0152	1	1	0	1	1
COG0153	0	0	0	1	0
COG0154	1	1	0	1	1
COG0155	1	0	0	0	1
COG0156	1	1	0	1	1
COG0157	1	1	0	1	1
COG0158	1	0	0	0	0
COG0159	1	1	0	1	1
COG0160	1	0	0	0	1
COG0161	1	0	0	0	1
COG0162	1	1	0	1	1
COG0163	1	0	0	0	1
COG0164	1	1	0	1	1
COG0165	1	1	0	1	1
COG0166	1	1	0	1	1
COG0167	1	1	0	1	1
COG0168	1	1	0	1	0
COG0169	1	1	0	1	1
COG0170	0	1	0	1	0
COG0171	1	1	0	1	1
COG0172	1	1	0	1	1
COG0173	1	1	0	1	1
COG0174	1	1	0	1	1
COG0175	1	1	0	1	1
COG0176	1	1	0	1	1
COG0177	1	1	0	1	1
COG0178	1	1	0	1	1
COG0179	1	1	1	1	1
COG0180	1	1	1	1	1
COG0181	1	1	0	1	1
COG0182	1	1	0	1	0
COG0183	1	1	0	1	1
COG0184	1	1	0	1	1
COG0185	1	1	0	1	1
COG0186	1	1	0	1	1
COG0187	1	1	0	1	1
COG0188	1	1	0	1	1
COG0189	1	1	0	1	1
COG0190	1	1	0	1	1
COG0191	1	1	0	1	1
COG0192	1	1	0	1	1
COG0193	1	1	1	1	1
COG0194	1	1	0	1	1
COG0195	1	1	0	1	1
COG0196	1	1	0	1	1
COG0197	1	1	0	1	1
COG0198	1	1	0	1	1
COG0199	1	1	0	1	1
COG0200	1	1	0	1	1
COG0201	1	1	0	1	1
COG0202	1	1	0	1	1
COG0203	1	1	0	1	1
COG0204	1	1	0	1	1
COG0205	0	1	0	1	1
COG0206	1	1	0	1	1
COG0207	1	1	0	1	1
COG0208	1	1	0	1	1
COG0209	1	1	0	1	1
COG0210	1	1	0	1	1
COG0211	1	1	0	1	1
COG0212	1	1	0	1	1
COG0213	0	1	1	1	1
COG0214	0	1	0	1	0
COG0215	1	1	0	1	1
COG0216	1	1	0	1	1
COG0217	1	1	0	1	1
COG0218	1	1	0	1	1
COG0219	1	1	0	1	1
COG0220	1	1	0	1	1
COG0221	1	0	0	0	1
COG0222	1	1	1	1	1
COG0223	1	1	0	1	1
COG0224	1	1	0	1	1
COG0226	1	1	0	1	1
COG0227	1	1	0	1	1
COG0228	1	1	0	1	1
COG0229	1	1	0	1	1
COG0230	1	1	0	1	0
COG0231	1	1	0	1	1
COG0232	1	0	0	0	1
COG0233	1	1	0	1	1
COG0234	1	1	0	1	1
COG0235	1	1	0	1	1
COG0237	1	1	0	1	1
COG0238	1	1	0	1	1
COG0239	1	1	0	1	1
COG0240	1	1	0	1	1
COG0241	1	0	0	0	0
COG0242	1	1	0	1	1
COG0244	1	1	1	1	1
COG0245	1	1	0	1	1
COG0246	1	1	0	1	1
COG0248	1	1	0	1	1
COG0249	1	1	0	1	1
COG0250	1	1	1	1	1
COG0251	1	0	1	0	1
COG0252	1	1	0	1	0
COG0253	1	0	0	0	1
COG0254	1	1	0	1	1
COG0255	1	1	0	1	1
COG0256	1	1	0	1	1
COG0257	1	1	0	1	1
COG0258	0	1	0	1	0
COG0259	1	0	0	0	1
COG0260	1	1	0	1	1
COG0261	1	1	0	1	1
COG0262	1	1	0	1	1
COG0263	1	0	0	0	1
COG0264	1	1	0	1	1
COG0265	1	1	0	1	1
COG0266	1	1	0	1	1
COG0267	1	1	0	1	1
COG0268	1	1	0	1	1
COG0270	1	0	0	0	1
COG0271	1	0	0	0	1
COG0272	1	1	0	1	1
COG0274	0	1	0	1	1
COG0275	1	1	0	1	1
COG0276	1	1	0	1	1
COG0277	1	1	1	1	1
COG0278	1	1	0	1	1
COG0279	1	0	0	0	0
COG0280	1	1	0	1	1
COG0281	1	1	0	1	1
COG0282	1	1	1	1	1
COG0283	1	1	0	1	1
COG0284	1	1	0	1	1
COG0285	1	1	0	1	1
COG0286	1	0	0	1	1
COG0287	0	0	0	0	1
COG0288	1	1	0	1	1
COG0289	1	1	0	1	1
COG0290	1	1	0	1	1
COG0291	1	1	0	1	1
COG0292	1	1	0	1	1
COG0293	1	0	0	0	1
COG0294	1	1	0	1	1
COG0295	0	1	1	1	1
COG0296	1	0	0	0	1
COG0297	1	1	0	1	1
COG0298	1	0	0	0	0
COG0299	1	1	0	1	1
COG0301	1	0	0	0	0
COG0302	1	0	0	0	1
COG0303	1	0	0	1	1
COG0304	1	1	0	1	1
COG0305	1	1	0	1	1
COG0306	1	0	0	0	1
COG0307	1	1	1	1	1
COG0308	1	0	0	0	1
COG0309	1	0	0	0	0
COG0311	0	1	0	1	0
COG0312	1	0	0	0	1
COG0313	1	1	0	1	1
COG0314	1	0	0	1	1
COG0315	1	1	0	1	1
COG0317	1	1	0	1	1
COG0319	1	1	0	1	1
COG0320	1	1	0	1	1
COG0321	1	0	0	0	1
COG0322	1	1	0	1	1
COG0323	1	1	0	1	1
COG0324	1	1	0	1	1
COG0325	1	1	0	1	1
COG0326	1	1	0	1	1
COG0327	1	0	0	0	0
COG0328	1	1	0	1	1
COG0329	1	1	0	1	1
COG0330	1	0	0	0	1
COG0331	1	1	0	1	1
COG0332	0	1	0	1	1
COG0333	1	1	0	0	1
COG0334	1	1	0	1	0
COG0335	1	1	0	1	1
COG0336	1	1	0	1	1
COG0337	1	1	0	1	1
COG0339	1	0	0	0	1
COG0340	0	1	1	1	1
COG0341	1	1	0	1	0
COG0342	1	1	0	1	1
COG0343	1	1	0	1	1
COG0344	1	1	0	1	1
COG0345	1	1	0	1	1
COG0346	1	1	0	1	1
COG0347	1	0	0	0	1
COG0348	1	0	0	0	1
COG0349	1	0	0	0	1
COG0351	1	1	0	1	1
COG0352	1	1	0	1	1
COG0353	1	1	1	1	1
COG0354	1	0	0	0	1
