Sample_ID	DRAM	Metacerberus
570	164.0	4040.0
571	96.0	3848.0
572	88.0	3864.0
573	96.0	3864.0
574	292.0	120.0
575	104.0	3848.0
576	100.0	3848.0
577	148.0	4068.0
578	96.0	3848.0
579	96.0	3848.0
580	76.0	3860.0
581	68.0	3848.0
582	360.0	4272.0
583	652.0	4376.0
584	388.0	4212.0
585	108.0	3868.0
586	100.0	3864.0
587	96.0	3864.0
588	92.0	3848.0
589	264.0	108.0
590	264.0	60.0
591	248.0	112.0
592	116.0	3848.0
593	88.0	3860.0
594	68.0	3860.0
595	376.0	4084.0
596	72.0	3860.0
597	132.0	64.0
598	116.0	3868.0
599	100.0	3868.0
600	96.0	3848.0
601	76.0	48.0
602	252.0	56.0
603	252.0	64.0
604	200.0	4100.0
605	92.0	3848.0
606	88.0	3864.0
607	112.0	4100.0
608	88.0	3848.0
609	280.0	76.0
610	252.0	4128.0
611	180.0	80.0
612	192.0	4096.0
613	164.0	4072.0
614	168.0	4072.0
615	148.0	4016.0
616	168.0	80.0
617	140.0	68.0
618	124.0	36.0
619	116.0	3868.0
620	108.0	3848.0
621	104.0	3868.0
622	96.0	3848.0
623	68.0	3860.0
624	216.0	52.0
625	224.0	96.0
626	228.0	4092.0
627	36.0	3848.0
628	136.0	4056.0
629	120.0	3848.0
630	104.0	3868.0
631	104.0	3868.0
632	96.0	3864.0
633	76.0	3860.0
634	116.0	3868.0
635	56.0	3848.0
636	216.0	4060.0
637	68.0	3848.0
638	72.0	3860.0
639	72.0	3860.0
640	220.0	92.0
641	200.0	4076.0
642	124.0	64.0
643	148.0	4068.0
644	108.0	3868.0
645	100.0	3868.0
646	108.0	3848.0
647	92.0	3864.0
648	76.0	3860.0
649	68.0	3860.0
650	208.0	92.0
651	112.0	3848.0
652	104.0	3868.0
653	88.0	3864.0
654	92.0	3864.0
655	104.0	3848.0
656	84.0	3864.0
657	116.0	3848.0
658	300.0	4128.0
659	92.0	3864.0
660	92.0	3864.0
661	152.0	3976.0
662	144.0	3988.0
663	136.0	64.0
664	136.0	4032.0
665	116.0	3868.0
666	108.0	3868.0
667	108.0	3868.0
668	100.0	3864.0
669	88.0	3848.0
670	72.0	3848.0
671	292.0	116.0
672	328.0	4184.0
673	192.0	52.0
674	80.0	3860.0
675	80.0	3848.0
676	804.0	296.0
677	620.0	4216.0
678	192.0	4036.0
679	100.0	3864.0
680	368.0	4200.0
681	608.0	236.0
682	420.0	160.0
683	584.0	220.0
684	168.0	76.0
685	72.0	3848.0
686	92.0	3864.0
687	92.0	3864.0
688	100.0	3848.0
689	88.0	52.0
690	924.0	4508.0
691	272.0	4188.0
692	156.0	4036.0
693	172.0	4076.0
694	188.0	4104.0
695	184.0	84.0
696	220.0	4088.0
697	108.0	3868.0
698	80.0	3860.0
699	76.0	3848.0
700	172.0	4028.0
701	196.0	48.0
702	76.0	3860.0
703	76.0	3848.0
704	408.0	84.0
705	68.0	3860.0
706	64.0	3860.0
707	144.0	4032.0
708	364.0	156.0
709	236.0	108.0
710	76.0	3860.0
711	88.0	3864.0
712	180.0	84.0
713	100.0	3848.0
714	76.0	3848.0
715	180.0	4092.0
716	112.0	3848.0
717	72.0	3848.0
718	68.0	3860.0
719	68.0	3848.0
720	188.0	48.0
721	228.0	4148.0
722	80.0	3860.0
723	180.0	4164.0
724	124.0	4084.0
725	84.0	3848.0
726	188.0	4132.0
727	232.0	4096.0
728	244.0	64.0
729	352.0	80.0
730	160.0	4040.0
731	136.0	40.0
732	196.0	96.0
733	76.0	3860.0
734	76.0	3848.0
735	424.0	168.0
736	348.0	80.0
737	80.0	3864.0
738	72.0	3848.0
739	84.0	3860.0
740	240.0	60.0
741	216.0	4100.0
742	92.0	3848.0
743	216.0	4144.0
744	164.0	3980.0
745	144.0	4020.0
746	476.0	4296.0
747	100.0	3848.0
748	244.0	64.0
749	76.0	3848.0
750	500.0	4188.0
751	92.0	3864.0
752	156.0	72.0
753	208.0	48.0
754	112.0	3848.0
755	112.0	3868.0
756	88.0	3868.0
757	80.0	3860.0
758	76.0	3848.0
759	148.0	72.0
760	1004.0	4592.0
761	796.0	156.0
762	240.0	4116.0
763	224.0	100.0
764	96.0	3848.0
765	96.0	3864.0
766	180.0	4032.0
767	180.0	4076.0
768	240.0	4112.0
769	88.0	3864.0
770	92.0	3848.0
771	88.0	3864.0
772	92.0	3864.0
773	84.0	3848.0
774	72.0	3864.0
775	72.0	3848.0
776	176.0	4120.0
777	96.0	3864.0
778	92.0	3864.0
779	100.0	3864.0
780	92.0	3864.0
781	96.0	3864.0
782	104.0	3848.0
783	232.0	4096.0
784	224.0	4112.0
785	148.0	68.0
786	268.0	64.0
787	256.0	60.0
788	260.0	4164.0
789	248.0	104.0
790	176.0	64.0
791	216.0	92.0
792	176.0	4116.0
793	184.0	4044.0
794	108.0	3864.0
795	180.0	4072.0
796	176.0	4072.0
797	72.0	3860.0
798	104.0	3848.0
799	88.0	3864.0
800	72.0	3848.0
801	100.0	3864.0
802	68.0	3860.0
803	76.0	3864.0
804	172.0	80.0
805	76.0	3848.0
806	84.0	3860.0
807	240.0	60.0
808	148.0	40.0
809	96.0	3848.0
810	88.0	3848.0
811	72.0	3860.0
812	96.0	3848.0
813	116.0	3868.0
814	124.0	3868.0
815	228.0	4092.0
816	140.0	40.0
817	396.0	76.0
818	100.0	3848.0
819	100.0	3864.0
820	236.0	4116.0
821	156.0	3984.0
822	104.0	3848.0
823	112.0	3848.0
824	120.0	3868.0
825	96.0	3864.0
826	84.0	3864.0
827	312.0	4104.0
828	112.0	3868.0
829	88.0	3864.0
830	92.0	3864.0
831	312.0	132.0
832	272.0	4116.0
833	216.0	4096.0
834	64.0	3848.0
835	96.0	3864.0
836	76.0	3848.0
837	280.0	4192.0
838	104.0	3864.0
839	112.0	3864.0
840	76.0	3860.0
841	304.0	72.0
842	268.0	72.0
843	124.0	3848.0
844	256.0	4196.0
845	780.0	308.0
846	120.0	40.0
847	288.0	4188.0
848	176.0	56.0
849	176.0	76.0
850	160.0	4036.0
851	100.0	3864.0
852	68.0	3860.0
853	68.0	3848.0
854	100.0	3848.0
855	96.0	3864.0
856	80.0	3864.0
857	280.0	120.0
858	96.0	3864.0
859	72.0	3860.0
860	108.0	3848.0
861	84.0	3864.0
862	88.0	3864.0
863	176.0	4032.0
864	168.0	4040.0
865	180.0	4092.0
866	164.0	4068.0
867	164.0	76.0
868	164.0	72.0
869	272.0	112.0
870	376.0	4152.0
871	336.0	136.0
872	208.0	92.0
873	104.0	3848.0
874	296.0	4096.0
875	288.0	64.0
876	72.0	3860.0
877	68.0	3848.0
878	116.0	3848.0
879	80.0	3864.0
880	100.0	3848.0
881	124.0	3868.0
882	96.0	3864.0
883	80.0	3860.0
884	68.0	3860.0
885	228.0	4052.0
886	288.0	4220.0
887	276.0	4148.0
888	148.0	64.0
889	148.0	4028.0
890	76.0	3860.0
891	76.0	3860.0
892	180.0	76.0
893	128.0	3992.0
894	132.0	4040.0
895	116.0	60.0
896	132.0	64.0
897	116.0	60.0
898	128.0	3868.0
899	276.0	4184.0
900	248.0	60.0
901	88.0	3864.0
902	168.0	76.0
903	240.0	64.0
904	268.0	4108.0
905	256.0	4100.0
906	72.0	3848.0
907	232.0	4172.0
908	224.0	4100.0
909	212.0	4064.0
910	324.0	76.0
911	84.0	3848.0
912	72.0	3860.0
913	120.0	36.0
914	176.0	48.0
915	172.0	76.0
916	96.0	3864.0
917	92.0	3864.0
918	76.0	3860.0
919	136.0	60.0
920	72.0	3860.0
921	84.0	3848.0
922	76.0	3860.0
923	76.0	3860.0
924	88.0	3860.0
925	76.0	3860.0
926	296.0	0.0
927	72.0	3860.0
928	80.0	3848.0
929	72.0	3860.0
930	352.0	144.0
931	84.0	3848.0
932	228.0	4092.0
933	196.0	4100.0
934	188.0	4044.0
935	80.0	3848.0
936	88.0	3860.0
937	68.0	3848.0
938	88.0	3864.0
939	356.0	136.0
940	92.0	3864.0
941	100.0	3864.0
942	84.0	3848.0
943	100.0	3864.0
944	96.0	3848.0
945	272.0	4112.0
946	212.0	4044.0
947	196.0	4144.0
948	280.0	4100.0
949	204.0	52.0
950	196.0	84.0
951	188.0	80.0
952	376.0	164.0
953	136.0	40.0
954	96.0	3864.0
955	548.0	116.0
956	732.0	4444.0
957	84.0	3848.0
958	224.0	4096.0
959	188.0	4164.0
960	336.0	4188.0
961	228.0	4048.0
962	220.0	4188.0
963	120.0	3868.0
964	104.0	3848.0
965	100.0	3868.0
966	88.0	3864.0
967	108.0	3864.0
968	96.0	3864.0
969	76.0	3860.0
970	100.0	3848.0
971	68.0	3848.0
972	72.0	3860.0
973	116.0	3868.0
974	112.0	3868.0
975	224.0	96.0
976	372.0	136.0
977	352.0	4268.0
978	260.0	4208.0
979	264.0	108.0
980	84.0	3848.0
981	232.0	52.0
982	244.0	4188.0
983	96.0	3848.0
984	68.0	3848.0
985	72.0	3860.0
986	364.0	140.0
987	112.0	3868.0
988	120.0	3848.0
989	96.0	3848.0
990	96.0	3864.0
991	164.0	4068.0
992	148.0	3972.0
993	120.0	3868.0
994	132.0	3868.0
995	100.0	3868.0
996	96.0	3848.0
