Sample_ID	DRAM	Metacerberus
570	18.164328	0.25966
571	18.095668	0.25922
572	18.10374	0.25956
573	18.121236	0.260716
574	18.155884	0.217328
575	18.08548	0.260964
576	18.098556	0.260324
577	18.111788	0.260116
578	18.069796	0.262764
579	18.118096	0.258112
580	18.097088	0.261832
581	18.0733	0.260996
582	18.177264	0.260128
583	18.162732	0.260148
584	18.168708	0.260852
585	18.09804	0.25636
586	18.128352	0.256196
587	18.115292	0.25534
588	18.08834	0.259772
589	18.177532	0.2169
590	18.143952	0.217712
591	18.155124	0.2215
592	18.126776	0.256564
593	18.134716	0.258948
594	18.065748	0.255068
595	18.182488	0.261812
596	18.094476	0.254256
597	18.134508	0.218396
598	18.122844	0.25598
599	18.105684	0.259768
600	18.105712	0.25422
601	18.131116	0.216428
602	18.150068	0.221012
603	18.153908	0.219144
604	18.120692	0.262272
605	18.101372	0.255848
606	18.089372	0.256904
607	18.115388	0.261656
608	18.08866	0.25286
609	18.1843	0.218928
610	18.1341	0.262056
611	18.140224	0.21774
612	18.128408	0.261516
613	18.136568	0.259652
614	18.121084	0.255964
615	18.141204	0.261296
616	18.137116	0.218892
617	18.134696	0.219952
618	18.13774	0.221024
619	18.134164	0.2525
620	18.133268	0.254504
621	18.101456	0.256968
622	18.11064	0.254072
623	18.07756	0.260876
624	18.16498	0.217976
625	18.177172	0.219244
626	18.146288	0.258096
627	17.968544	0.255792
628	18.128904	0.265264
629	18.13274	0.253288
630	18.098476	0.254352
631	18.150192	0.25972
632	18.113608	0.258816
633	18.105344	0.252956
634	18.137496	0.257336
635	18.079624	0.253144
636	18.161584	0.262128
637	18.024412	0.2573
638	18.078656	0.260416
639	18.058796	0.252952
640	18.123328	0.220604
641	18.194404	0.258684
642	18.106008	0.217216
643	18.155888	0.260476
644	18.117524	0.255532
645	18.106416	0.256212
646	18.10234	0.25258
647	18.099496	0.258532
648	18.068468	0.25998
649	18.050284	0.256668
650	18.158952	0.2197
651	18.112288	0.256776
652	18.13412	0.25798
653	18.116316	0.252512
654	18.110084	0.262424
655	18.133124	0.261208
656	18.093812	0.255268
657	18.114144	0.256784
658	18.14592	0.268556
659	18.128392	0.2533
660	18.118176	0.255932
661	18.147252	0.259316
662	18.14958	0.257828
663	18.149708	0.217956
664	18.105992	0.25732
665	18.12914	0.25288
666	18.093552	0.25234
667	18.1361	0.255984
668	18.098852	0.252376
669	18.1282	0.254272
670	18.058044	0.255028
671	18.165668	0.2193
672	18.16176	0.26144
673	18.142752	0.218924
674	18.090096	0.254492
675	18.093708	0.256368
676	18.192848	0.216092
677	18.210728	0.257372
678	18.135508	0.261808
679	18.093556	0.253804
680	18.184668	0.262548
681	18.199652	0.21896
682	18.212856	0.218856
683	18.177788	0.218324
684	18.14612	0.216824
685	18.11376	0.256892
686	18.102804	0.257708
687	18.103236	0.258116
688	18.114812	0.260852
689	18.075632	0.21724
690	18.170472	0.259072
691	18.153404	0.261636
692	18.135216	0.25832
693	18.164788	0.263512
694	18.158776	0.255276
695	18.149888	0.215032
696	18.157612	0.259988
697	18.091212	0.2609
698	18.070628	0.25808
699	18.059236	0.25508
700	18.157516	0.259856
701	18.180136	0.219424
702	18.101044	0.253304
703	18.08918	0.259944
704	18.173552	0.220816
705	18.032488	0.257208
706	18.008596	0.256244
707	18.135264	0.265444
708	18.181644	0.2186
709	18.14704	0.2178
710	18.11082	0.2578
711	18.048104	0.252384
712	18.154156	0.214704
713	18.089752	0.257496
714	18.035548	0.2539
715	18.143632	0.258516
716	18.10858	0.2582
717	18.067424	0.253776
718	18.036576	0.257984
719	18.053088	0.261504
720	18.149596	0.2195
721	18.12548	0.258072
722	18.06592	0.259688
723	18.142052	0.26118
724	18.129052	0.261068
725	18.096032	0.253184
726	18.139752	0.256088
727	18.154476	0.261572
728	18.141532	0.217204
729	18.164428	0.221188
730	18.128056	0.258144
731	18.127396	0.21776
732	18.138528	0.215028
733	18.097656	0.259684
734	18.053748	0.257236
735	18.189804	0.221112
736	18.1359	0.217488
737	18.042784	0.25248
738	18.07138	0.26182
739	18.109672	0.2588
740	18.13352	0.221324
741	18.201876	0.261928
742	18.097896	0.257616
743	18.148144	0.261636
744	18.166484	0.261072
745	18.13502	0.258076
746	18.132432	0.262432
747	18.061944	0.257532
748	18.136624	0.217624
749	18.093952	0.26036
750	18.167776	0.259404
751	18.111588	0.261052
752	18.144	0.219056
753	18.141108	0.217772
754	18.117844	0.256464
755	18.1154	0.269128
756	18.042444	0.25494
757	18.09006	0.255844
758	18.10212	0.25506
759	18.141468	0.217792
760	18.262244	0.264728
761	18.188176	0.215276
762	18.183108	0.256504
763	18.159364	0.215012
764	18.094492	0.258936
765	18.104524	0.261672
766	18.16562	0.260256
767	18.133096	0.256768
768	18.150724	0.260556
769	18.1233	0.2599
770	18.061712	0.256104
771	18.100812	0.259444
772	18.103696	0.25814
773	18.0945	0.252832
774	18.070016	0.262024
775	18.095912	0.259324
776	18.151876	0.258796
777	18.129024	0.2571
778	18.110652	0.25932
779	18.124024	0.255152
780	18.101764	0.25628
781	18.1177	0.255344
782	18.084896	0.257288
783	18.130664	0.2587
784	18.15458	0.259916
785	18.118444	0.215192
786	18.16386	0.217168
787	18.161104	0.217144
788	18.150036	0.262024
789	18.15806	0.219992
790	18.169984	0.219168
791	18.160264	0.217252
792	18.15608	0.259716
793	18.149848	0.259428
794	18.113288	0.25782
795	18.142932	0.260084
796	18.138044	0.259068
797	18.065916	0.2535
798	18.087664	0.258504
799	18.104048	0.253096
800	18.092008	0.260084
801	18.106844	0.255076
802	18.06666	0.254264
803	18.044488	0.259596
804	18.127384	0.217808
805	18.076456	0.2564
806	18.105448	0.264684
807	18.145364	0.214376
808	18.119688	0.21662
809	18.103372	0.256496
810	18.075824	0.25648
811	18.0789	0.26366
812	18.117624	0.257792
813	18.129064	0.251128
814	18.143248	0.257076
815	18.174596	0.262344
816	18.133504	0.216332
817	18.177708	0.217968
818	18.099012	0.261332
819	18.102368	0.259632
820	18.145516	0.257264
821	18.136588	0.258288
822	18.085104	0.260508
823	18.088744	0.259248
824	18.115184	0.260952
825	18.126024	0.258424
826	18.106872	0.253148
827	18.1969	0.25974
828	18.118144	0.256812
829	18.079052	0.258504
830	18.09852	0.259436
831	18.159192	0.218064
832	18.16008	0.262288
833	18.167516	0.259432
834	18.005236	0.255972
835	18.101832	0.26044
836	18.1056	0.25704
837	18.161004	0.258128
