Sample_ID	DRAM	InterProScan	Metacerberus	PROKKA
1	5208.0	2256.0	16684.0	11052.0
2	5764.0	11636.0	17460.0	13244.0
3	10480.0	2340.0	26620.0	21996.0
4	4092.0	984.0	15420.0	8600.0
5	7820.0	9968.0	23840.0	16368.0
6	12276.0	2868.0	28796.0	25584.0
7	11628.0	15472.0	28372.0	23992.0
8	4992.0	9848.0	16756.0	10424.0
9	14132.0	3132.0	29048.0	29404.0
10	8276.0	15880.0	21640.0	17708.0
11	4548.0	3792.0	15092.0	9400.0
12	9692.0	15676.0	24900.0	20560.0
13	20128.0	5992.0	33768.0	42196.0
14	4160.0	7624.0	16748.0	9084.0
15	10108.0	14788.0	30748.0	21268.0
16	24944.0	6208.0	36396.0	51932.0
17	11344.0	14884.0	29096.0	23980.0
18	2576.0	3500.0	13160.0	5380.0
19	10584.0	10580.0	28556.0	21676.0
20	10224.0	14104.0	28516.0	21696.0
21	8344.0	11480.0	23432.0	17548.0
22	2184.0	4108.0	11960.0	4512.0
23	6100.0	11008.0	21116.0	12768.0
24	8708.0	15880.0	24196.0	20092.0
25	16568.0	4232.0	30828.0	34308.0
26	6288.0	15552.0	20632.0	12844.0
27	5292.0	4280.0	18192.0	10920.0
28	5692.0	3548.0	20192.0	12116.0
29	8588.0	11024.0	23344.0	17124.0
30	5508.0	11532.0	19952.0	11888.0
31	4832.0	3184.0	16584.0	10144.0
32	8696.0	15408.0	25152.0	17828.0
33	8816.0	14228.0	20844.0	18260.0
34	21272.0	8076.0	34376.0	46436.0
35	7760.0	8900.0	24004.0	16272.0
36	4720.0	3528.0	15612.0	9988.0
37	8764.0	8068.0	23384.0	18776.0
38	7948.0	9568.0	22120.0	16572.0
39	13756.0	19072.0	29264.0	29220.0
40	7736.0	10728.0	23264.0	15920.0
41	5488.0	9588.0	20340.0	11388.0
42	7556.0	16668.0	24404.0	16860.0
43	6316.0	7492.0	17632.0	13300.0
44	5840.0	6220.0	16980.0	12448.0
45	5012.0	2228.0	17956.0	10484.0
46	8048.0	17892.0	24588.0	18756.0
47	5992.0	10152.0	21320.0	12408.0
48	7120.0	1796.0	21784.0	14944.0
49	6032.0	5580.0	20432.0	12832.0
50	10152.0	15408.0	28272.0	21356.0
51	4420.0	9004.0	16668.0	9112.0
52	3068.0	2960.0	14552.0	6428.0
53	13796.0	4492.0	33536.0	27204.0
54	20544.0	27432.0	32368.0	43396.0
55	17188.0	4096.0	30468.0	36028.0
56	11532.0	4968.0	29244.0	23724.0
57	3912.0	4568.0	15376.0	8064.0
58	4936.0	10140.0	18144.0	10368.0
59	4224.0	4388.0	16348.0	8768.0
60	12344.0	20944.0	28704.0	25592.0
61	7320.0	17872.0	22116.0	15792.0
62	2332.0	4184.0	12908.0	4864.0
63	5360.0	13040.0	20280.0	11080.0
64	11476.0	8412.0	30388.0	23864.0
65	12284.0	2812.0	27760.0	25736.0
66	5268.0	1400.0	17416.0	11012.0
67	3452.0	4320.0	13356.0	7448.0
68	4728.0	1836.0	14752.0	10020.0
69	10956.0	7596.0	29792.0	23928.0
70	15188.0	14700.0	30384.0	32280.0
71	4620.0	12232.0	18772.0	9724.0
72	7168.0	1860.0	23088.0	15012.0
73	15724.0	7032.0	30512.0	32764.0
74	6556.0	9488.0	22668.0	13684.0
75	9104.0	14820.0	25300.0	19180.0
76	8816.0	8596.0	29124.0	18092.0
77	5508.0	4292.0	16848.0	11560.0
78	12388.0	20300.0	31468.0	25396.0
79	19156.0	4512.0	32972.0	40024.0
80	7356.0	2464.0	18620.0	15580.0
81	6632.0	7808.0	18532.0	14236.0
82	3340.0	1200.0	14908.0	6836.0
83	3928.0	9164.0	15288.0	10724.0
84	12764.0	2644.0	29760.0	25232.0
85	7392.0	11080.0	18936.0	15900.0
86	9392.0	7192.0	24352.0	19028.0
87	10828.0	14020.0	25060.0	22816.0
88	5836.0	1472.0	20928.0	11788.0
89	10188.0	18076.0	24616.0	21448.0
90	17148.0	20216.0	30172.0	36368.0
91	5556.0	5684.0	18628.0	11556.0
92	9356.0	9720.0	21992.0	19596.0
93	4312.0	10616.0	17132.0	10168.0
94	16060.0	3972.0	29688.0	30752.0
95	4392.0	4280.0	16040.0	9300.0
96	17672.0	7108.0	35776.0	35744.0
97	5196.0	8080.0	17680.0	11172.0
98	5876.0	6224.0	18340.0	12604.0
99	3164.0	5120.0	14024.0	6656.0
100	5544.0	6276.0	18536.0	11848.0
101	9184.0	8776.0	21932.0	19272.0
102	18892.0	70716.0	41976.0	46216.0
103	13512.0	25876.0	30044.0	27728.0
104	25016.0	10600.0	49772.0	51512.0
105	17324.0	45188.0	39060.0	39836.0
106	6448.0	11692.0	21284.0	13484.0
107	6172.0	6920.0	19204.0	12844.0
108	19332.0	4252.0	35736.0	40564.0
109	3792.0	11868.0	17220.0	9296.0
110	20800.0	42588.0	39768.0	44868.0
111	31984.0	9024.0	52108.0	66644.0
112	34712.0	19904.0	44184.0	71168.0
113	18412.0	4088.0	30648.0	38100.0
114	5392.0	4268.0	16452.0	11384.0
115	10680.0	36388.0	31716.0	26700.0
116	10268.0	8060.0	29764.0	20636.0
117	20304.0	15164.0	39940.0	42624.0
118	7376.0	3872.0	23460.0	15524.0
119	7220.0	18460.0	24552.0	16736.0
120	14836.0	20640.0	33944.0	31048.0
121	14604.0	26668.0	31316.0	30748.0
122	16792.0	24056.0	35032.0	35252.0
123	27648.0	23416.0	46384.0	58644.0
124	7340.0	12752.0	24196.0	16740.0
125	8028.0	17884.0	27992.0	16592.0
