NC_054982 Staphylococcus phage Sebago, complete genome.
NC_043469 Enterobacteria phage F20, partial genome.
NC_054652 Klebsiella phage YX3973, complete genome.
NC_020840 Tetraselmis viridis virus S20 genomic sequence.
NC_051608 Mycobacterium phage Ekdilam, complete genome.
NC_055736 Vibrio phage 1.245.O._10N.261.54.C7, partial genome.
NC_011811 Erwinia phage phiEa21-4, complete genome.
NC_023745 Mycobacterium virus LHTSCC, complete genome.
NC_019928 Helicobacter phage KHP30 DNA, complete genome.
NC_041940 Arthrobacter phage Glenn, complete genome.
NC_010237 Enterobacteria phage Min27, complete genome.
NC_071076 Streptococcus phage P7952, complete genome.
NC_073204 Salmonella phage LPSE1, complete genome.
NC_028897 Mycobacterium phage Chadwick, complete genome.
NC_028665 Gordonia phage GTE6, complete genome.
NC_051733 Mycobacterium phage Phineas, complete genome.
NC_048109 Pseudomonas phage Dobby, complete genome.
NC_049349 Lactococcus lactis phage P475, complete genome.
NC_020838 Synechococcus phage S-RIP2 genomic sequence.
NC_048697 Pseudomonas phage Littlefix, complete genome.
NC_025462 Acinetobacter phage vB_AbaM_Acibel004, complete genome.
NC_012558 Halorubrum pleomorphic virus 1, complete genome.
NC_070760 Arthrobacter phage Wollypog, complete genome.
NC_048179 Salmonella phage ZCSE2, complete genome.
NC_054645 Salmonella phage LPST10, complete genome.
NC_073474 Gordonia phage VanLee, complete genome.
NC_019403 Enterobacteria phage vB_EcoP_ACG-C91, complete genome.
NC_049434 Lactococcus phage MP1, complete genome.
NC_029066 Pseudomonas phage PS-1 DNA, complete sequence.
NC_007497 Burkholderia phage Bcep176, complete genome.
NC_041947 Arthrobacter phage Laroye, complete genome.
NC_070852 Rhizobium phage RHph_I1_6, complete genome.
NC_050154 Escherichia phage D6, complete genome.
NC_055889 CrAssphage cr53_1, complete genome.
NC_028881 Enterobacteria phage vB_EcoM_VR5, complete genome.
NC_008617 Staphylococcus phage phiNM3, complete genome.
NC_005841 Enterobacteria phage ST104 DNA, complete genome.
NC_048668 Serratia phage 2050HW, complete genome.
NC_029007 Ralstonia phage RSJ5 DNA, complete genome.
NC_049364 Lactococcus phage 936 group phage Phi91127, complete genome.
NC_028837 Paenibacillus phage Xenia, complete genome.
NC_049399 Lactococcus phage 30804, complete genome.
NC_008152 Escherichia phage K1-5, complete genome.
NC_026599 Pseudomonas phage vB_PaeP_C2-10_Ab22, complete genome.
NC_024383 Listeria phage LP-083-2, complete genome.
NC_055011 Lactococcus phage CHPC1020, complete genome.
NC_070722 Streptococcus phage SW8, complete genome.
NC_073443 Microbacterium phage DickRichards, complete genome.
NC_054996 Lactococcus phage 62402, complete genome.
NC_051672 Mycobacterium phage Kersh, complete genome.
NC_015270 Enterococcus phage EFRM31, complete genome.
NC_071148 Klebsiella phage KP591P3, complete genome.
NC_055767 Gordonia phage KidneyBean, complete genome.
NC_010147 Staphylococcus phage phiMR11 DNA, complete genome.
NC_048100 Arthrobacter phage Kepler, complete genome.
NC_031072 Gordonia phage CaptainKirk2, complete genome.
NC_006294 Vibrio phage KSF-1phi, complete genome.
NC_048182 Edwardsiella phage pEt-SU, complete genome.
NC_047926 Lactobacillus phage Semele, complete genome.
NC_053504 Mycobacterium phage Lumos, complete genome.
NC_023729 Mycobacterium phage Charlie, complete genome.
NC_041954 Propionibacterium phage Keiki, complete genome.
NC_021062 Pseudomonas phage Phi-S1, complete genome.
NC_005879 Vibrio phage VP2, complete genome.
NC_028805 Brevibacillus phage Jenst, complete genome.
NC_041871 Escherichia phage Murica, complete genome.
NC_070665 Streptococcus phage CHPC1067, complete genome.
NC_031224 Arthrobacter phage Mudcat, complete genome.
NC_028660 Escherichia phage phi191, complete genome.
NC_020844 Salicola phage CGphi29 genomic sequence.
NC_027981 Vibrio phage VP58.5, complete genome.
NC_011289 Mycobacterium phage Ramsey, complete genome.
NC_042125 Enterococcus phage LY0322, complete genome.
NC_042045 Gordonia phage Lennon, complete genome.
NC_021343 Burkholderia phage ST79, complete genome.
NC_025824 Escherichia phage fd strain 478, complete genome.
NC_016571 Pseudomonas phage OBP, complete genome.
NC_023601 Pseudomonas phage phiPsa374, complete genome.
NC_002796 Lactococcus phage BK5-T, complete genome.
NC_048145 Salmonella phage 3-29, complete genome.
NC_071075 Streptococcus phage P7951, complete genome.
NC_001426 Enterobacteria phage GA, complete genome.
NC_048640 Bacillus phage vB_BtS_BMBtp14, complete genome.
NC_071059 Streptococcus phage P0095, complete genome.
NC_049458 Salmonella phage SS9, complete genome.
NC_028662 Mycobacterium phage Phlei, complete genome.
NC_005884 Pseudomonas phage PaP2, complete genome.
NC_047945 Staphylococcus phage phiSA_BS1, complete genome.
NC_028823 Mycobacterium phage Bipolar, complete genome.
NC_019450 Pseudomonas phage JG004, complete genome.
NC_047995 Erwinia phage vB_EamM_Alexandra, complete genome.
NC_028796 Mycobacterium phage Phayonce, complete genome.
NC_019456 Lactobacillus phage JCL1032, complete genome.
NC_070764 Gordonia phage Phendrix, complete genome.
NC_041956 Propionibacterium phage PHL117M01, complete genome.
NC_014229 Streptomyces phage phiSASD1, complete genome.
NC_019411 Caulobacter phage CcrSwift, complete genome.
NC_028664 Klebsiella phage vB_Kp2, complete genome.
NC_051603 Mycobacterium phage Ximenita, complete genome.
NC_047910 Faecalibacterium phage FP_Epona, complete genome.
