Name	Count
01_Fermentation	114
20_Hydrolysis of polymers	59
06_Amino acid utilization biosynthesis metabolism	236
10_TCA cycle	24
15_Methylotrophy	8
21_Cellular response to stress	114
19_Saccharide and derivated synthesis	71
07_Nucleic acid metabolism	94
02_Homoacetogenesis	22
16_Embden Meyerhof-Parnos (EMP)	25
17_Gluconeogenesis	12
05_Fatty acid oxidation	17
11_Nitrogen cycle	6
14_Methanogenesis	5
09_Carbohydrate Active enzyme - CAZy	32
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	5
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
18_Sulfur compounds metabolism	3
08_Hydrocarbon degradation	5
12_Transporters	93
13_Hydrogen metabolism	1
