Name	Count
01_Fermentation	221
21_Cellular response to stress	224
06_Amino acid utilization biosynthesis metabolism	428
20_Hydrolysis of polymers	94
08_Hydrocarbon degradation	29
10_TCA cycle	25
15_Methylotrophy	22
19_Saccharide and derivated synthesis	129
07_Nucleic acid metabolism	126
14_Methanogenesis	8
05_Fatty acid oxidation	36
02_Homoacetogenesis	35
16_Embden Meyerhof-Parnos (EMP)	27
17_Gluconeogenesis	9
11_Nitrogen cycle	13
13_Hydrogen metabolism	2
18_Sulfur compounds metabolism	23
09_Carbohydrate Active enzyme - CAZy	58
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	4
12_Transporters	204
