Name	Count
01_Fermentation	219
21_Cellular response to stress	224
06_Amino acid utilization biosynthesis metabolism	423
20_Hydrolysis of polymers	88
08_Hydrocarbon degradation	23
10_TCA cycle	24
15_Methylotrophy	22
19_Saccharide and derivated synthesis	115
07_Nucleic acid metabolism	124
14_Methanogenesis	8
05_Fatty acid oxidation	30
02_Homoacetogenesis	34
16_Embden Meyerhof-Parnos (EMP)	27
17_Gluconeogenesis	9
11_Nitrogen cycle	12
13_Hydrogen metabolism	2
18_Sulfur compounds metabolism	21
09_Carbohydrate Active enzyme - CAZy	54
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
12_Transporters	206
