Name	Count
01_Fermentation	218
21_Cellular response to stress	221
06_Amino acid utilization biosynthesis metabolism	426
20_Hydrolysis of polymers	92
08_Hydrocarbon degradation	28
10_TCA cycle	26
15_Methylotrophy	24
07_Nucleic acid metabolism	122
19_Saccharide and derivated synthesis	133
14_Methanogenesis	9
05_Fatty acid oxidation	30
02_Homoacetogenesis	34
16_Embden Meyerhof-Parnos (EMP)	30
17_Gluconeogenesis	10
11_Nitrogen cycle	12
13_Hydrogen metabolism	5
18_Sulfur compounds metabolism	25
09_Carbohydrate Active enzyme - CAZy	54
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
12_Transporters	209
