Name	Count
Glycolysis / Gluconeogenesis [PATH:ko00010]	37
Pyruvate metabolism [PATH:ko00620]	46
Fatty acid degradation [PATH:ko00071]	14
Tyrosine metabolism [PATH:ko00350]	19
Retinol metabolism [PATH:ko00830]	5
Chloroalkane and chloroalkene degradation [PATH:ko00625]	13
Naphthalene degradation [PATH:ko00626]	4
Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	5
Drug metabolism - cytochrome P450 [PATH:ko00982]	6
Glycine, serine and threonine metabolism [PATH:ko00260]	44
Cysteine and methionine metabolism [PATH:ko00270]	35
Lysine biosynthesis [PATH:ko00300]	12
Butanoate metabolism [PATH:ko00650]	25
Pentose and glucuronate interconversions [PATH:ko00040]	27
Fructose and mannose metabolism [PATH:ko00051]	29
Inositol phosphate metabolism [PATH:ko00562]	13
Streptomycin biosynthesis [PATH:ko00521]	9
Ascorbate and aldarate metabolism [PATH:ko00053]	19
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	38
O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	22
Histidine metabolism [PATH:ko00340]	19
Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	22
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	43
Synthesis and degradation of ketone bodies [PATH:ko00072]	2
Valine, leucine and isoleucine degradation [PATH:ko00280]	30
Citrate cycle (TCA cycle) [PATH:ko00020]	22
Carbon fixation in photosynthetic organisms [PATH:ko00710]	15
Carbon fixation pathways in prokaryotes [PATH:ko00720]	25
Methane metabolism [PATH:ko00680]	37
Two-component system [PATH:ko02020]	130
Glutathione metabolism [PATH:ko00480]	21
Peroxisome [PATH:ko04146]	10
Central carbon metabolism in cancer [PATH:ko05230]	7
Pentose phosphate pathway [PATH:ko00030]	33
Galactose metabolism [PATH:ko00052]	18
Diabetic cardiomyopathy [PATH:ko05415]	25
Exosome [BR:ko04147]	41
Steroid hormone biosynthesis [PATH:ko00140]	2
Enzymes with EC numbers	204
C5-Branched dibasic acid metabolism [PATH:ko00660]	7
Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	10
Pantothenate and CoA biosynthesis [PATH:ko00770]	18
Phenylalanine metabolism [PATH:ko00360]	26
Toluene degradation [PATH:ko00623]	5
Xylene degradation [PATH:ko00622]	9
Glycerophospholipid metabolism [PATH:ko00564]	26
Fatty acid biosynthesis [PATH:ko00061]	14
Biotin metabolism [PATH:ko00780]	10
Prodigiosin biosynthesis [PATH:ko00333]	3
Lipid biosynthesis proteins [BR:ko01004]	20
Polyketide sugar unit biosynthesis [PATH:ko00523]	4
Purine metabolism [PATH:ko00230]	66
Benzoate degradation [PATH:ko00362]	34
Peptidoglycan biosynthesis [PATH:ko00550]	20
Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	33
Drug metabolism - other enzymes [PATH:ko00983]	12
Vitamin B6 metabolism [PATH:ko00750]	7
Terpenoid backbone biosynthesis [PATH:ko00900]	11
Glycerolipid metabolism [PATH:ko00561]	19
Lysine degradation [PATH:ko00310]	16
Arginine and proline metabolism [PATH:ko00330]	39
Tryptophan metabolism [PATH:ko00380]	19
beta-Alanine metabolism [PATH:ko00410]	17
Insect hormone biosynthesis [PATH:ko00981]	1
Limonene and pinene degradation [PATH:ko00903]	5
Monobactam biosynthesis [PATH:ko00261]	9
HIF-1 signaling pathway [PATH:ko04066]	6
Pathogenic Escherichia coli infection [PATH:ko05130]	2
Salmonella infection [PATH:ko05132]	4
Alzheimer disease [PATH:ko05010]	22
Membrane trafficking [BR:ko04131]	10
Alanine, aspartate and glutamate metabolism [PATH:ko00250]	27
Nicotinate and nicotinamide metabolism [PATH:ko00760]	31
Propanoate metabolism [PATH:ko00640]	36
Arginine biosynthesis [PATH:ko00220]	24
