ID	FragGeneScan_gsB_3841	FragGeneScan_GIC31_complete	FragGeneScan_gsE_BIHB1217	FragGeneScan_RW2_complete	FragGeneScan_gsC_SM41	FragGeneScan_S17	FragGeneScan_JQGI01_HUD	FragGeneScan_SH31	FragGeneScan_gsD_SM51	FragGeneScan_gsA_SM152B
K00001	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00003	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00004	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
K00012	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00013	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00014	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00016	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00020	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00023	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00024	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00031	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00033	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00035	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00036	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00039	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00040	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00043	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00052	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00053	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00055	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00058	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00060	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00065	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00073	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00075	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00087	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
