ID	FragGeneScan_gsB_3841	FragGeneScan_GIC31_complete	FragGeneScan_gsE_BIHB1217	FragGeneScan_RW2_complete	FragGeneScan_gsC_SM41	FragGeneScan_S17	FragGeneScan_JQGI01_HUD	FragGeneScan_SH31	FragGeneScan_gsD_SM51	FragGeneScan_gsA_SM152B
K00001	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
K00003	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00004	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0
K00005	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00008	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0
K00009	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0
K00010	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00012	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00013	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00014	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00015	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00016	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00019	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00020	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00023	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00024	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00027	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00029	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00030	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00031	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00033	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00034	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00035	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00036	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00038	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
K00039	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00040	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00042	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00043	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00045	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00046	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00052	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00053	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00055	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00057	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00058	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00059	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00060	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00064	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00065	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00067	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00073	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00074	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00075	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00077	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00087	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00088	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00090	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00091	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
K00096	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
K00097	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00098	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00099	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00101	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00102	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00104	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K00108	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00111	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00112	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00113	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00116	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00117	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00118	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00121	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00123	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00124	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
K00126	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00127	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00128	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00130	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00131	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00132	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00133	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00134	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00135	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00137	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00138	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00140	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00141	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
K00145	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
K00146	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
K00147	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00148	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00151	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00154	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
K00161	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00162	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
K00164	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00166	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00167	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00179	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00208	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00215	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00217	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00219	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00220	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00227	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
K00228	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00231	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00234	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
K00235	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00236	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00239	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00240	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00241	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00242	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00243	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00244	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
K00248	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00249	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00252	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00253	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
K00254	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
K00259	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00260	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
K00263	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00264	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0
K00265	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
