ID	count
K00001	1
K00003	1
K00004	1
K00012	1
K00013	1
K00014	1
K00020	1
K00023	1
K00024	1
K00031	1
K00033	1
K00035	1
K00036	1
K00039	1
K00040	1
K00043	1
K00052	1
K00053	1
K00055	1
K00058	1
K00060	1
K00065	1
K00075	1
K00088	1
K00108	1
K00121	1
K00123	1
K00126	1
K00127	1
K00128	1
K00130	1
K00133	1
K00134	1
K00135	1
K00137	1
K00138	1
K00140	1
K00145	1
K00146	1
K00147	1
K00148	1
K00161	1
K00162	1
K00163	1
K00164	1
K00166	1
K00167	1
K00215	1
K00220	1
K00239	1
K00242	1
K00248	1
K00252	1
K00253	1
K00259	1
K00260	1
K00265	1
K00266	1
K00274	1
K00276	1
K00278	1
K00281	1
K00285	1
K00286	1
K00301	1
K00302	1
K00303	1
K00304	1
K00305	1
K00320	1
K00330	1
K00331	1
K00332	1
K00333	1
K00355	1
K00362	1
K00372	1
K00381	1
K00382	1
K00383	1
K00384	1
K00390	1
K00428	1
K00432	1
K00446	1
K00448	1
K00449	1
K00451	1
K00457	1
K00481	1
K00500	1
K00525	1
K00526	1
K00529	1
K00547	1
K00548	1
K00558	1
K00560	1
K00567	1
K00568	1
K00588	1
K00600	1
K00602	1
K00605	1
K00609	1
K00611	1
K00615	1
K00616	1
K00619	1
K00620	1
K00626	1
K00632	1
K00639	1
K00640	1
K00643	1
K00651	1
K00657	1
K00658	1
K00677	1
K00681	1
K00688	1
K00694	1
K00697	1
K00700	1
K00703	1
K00705	1
K00721	1
K00748	1
K00750	1
K00758	1
K00759	1
K00760	1
K00761	1
K00762	1
K00764	1
K00765	1
K00766	1
K00769	1
K00789	1
K00790	1
K00794	1
K00797	1
K00799	1
K00800	1
K00812	1
K00817	1
K00819	1
K00820	1
K00821	1
K00822	1
K00824	1
K00826	1
K00831	1
K00832	1
K00845	1
K00847	1
K00854	1
K00857	1
K00873	1
K00874	1
K00875	1
K00880	1
K00883	1
K00887	1
K00912	1
K00925	1
K00927	1
K00928	1
K00930	1
K00931	1
K00937	1
K00939	1
K00940	1
K00942	1
K00943	1
K00945	1
K00948	1
K00956	1
K00957	1
K00962	1
K00971	1
K00975	1
K00979	1
K01000	1
K01006	1
K01011	1
K01026	1
K01040	1
K01046	1
K01048	1
K01057	1
K01070	1
K01079	1
K01087	1
K01119	1
K01129	1
K01139	1
K01181	1
K01182	1
K01184	1
K01185	1
K01186	1
K01190	1
K01191	1
K01192	1
K01193	1
K01198	1
K01206	1
K01207	1
K01209	1
K01214	1
K01217	1
K01218	1
K01236	1
K01239	1
K01240	1
K01241	1
K01243	1
K01247	1
K01251	1
K01259	1
K01286	1
K01425	1
K01426	1
K01428	1
K01429	1
K01430	1
K01432	1
K01438	1
K01439	1
K01443	1
K01448	1
K01449	1
