Name	Count
20_Hydrolysis of polymers	56
06_Amino acid utilization biosynthesis metabolism	256
01_Fermentation	94
10_TCA cycle	24
15_Methylotrophy	8
21_Cellular response to stress	108
19_Saccharide and derivated synthesis	75
07_Nucleic acid metabolism	96
02_Homoacetogenesis	20
16_Embden Meyerhof-Parnos (EMP)	25
17_Gluconeogenesis	12
05_Fatty acid oxidation	17
11_Nitrogen cycle	7
14_Methanogenesis	8
09_Carbohydrate Active enzyme - CAZy	27
18_Sulfur compounds metabolism	4
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
08_Hydrocarbon degradation	7
12_Transporters	100
13_Hydrogen metabolism	1
