KO Id	Name	Count
K00005	gldA; glycerol dehydrogenase	2
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase	1
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	2
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase	4
K00013	hisD; histidinol dehydrogenase	1
K00014	aroE; shikimate dehydrogenase	1
K00015	gyaR, GOR1; glyoxylate reductase	1
K00016	LDH, ldh; L-lactate dehydrogenase	8
K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase	1
K00024	mdh; malate dehydrogenase	7
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating)	2
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	3
K00030	IDH3; isocitrate dehydrogenase (NAD+)	1
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase	2
K00034	gdh; glucose 1-dehydrogenase	1
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase	5
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase	1
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+)	1
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase	4
K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase	4
K00060	tdh; threonine 3-dehydrogenase	1
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase	3
K00075	murB; UDP-N-acetylmuramate dehydrogenase	3
K00077	panE, apbA; 2-dehydropantoate 2-reductase	1
K00087	ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit	1
K00088	IMPDH, guaB; IMP dehydrogenase	3
K00099	dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	1
K00104	glcD; glycolate oxidase	1
K00108	betA, CHDH; choline dehydrogenase	1
K00111	glpA, glpD; glycerol-3-phosphate dehydrogenase	1
K00112	glpB; glycerol-3-phosphate dehydrogenase subunit B	1
K00116	mqo; malate dehydrogenase (quinone)	2
K00124	fdoH, fdsB; formate dehydrogenase iron-sulfur subunit	2
K00130	betB, gbsA; betaine-aldehyde dehydrogenase	1
K00131	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+)	2
K00132	E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	2
K00133	asd; aspartate-semialdehyde dehydrogenase	4
K00134	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase	9
K00135	gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase	5
K00138	aldB; aldehyde dehydrogenase	2
K00145	argC; N-acetyl-gamma-glutamyl-phosphate reductase	1
K00148	fdhA; glutathione-independent formaldehyde dehydrogenase	2
K00164	OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component	1
K00166	BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit	2
K00167	BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit	2
K00179	iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit	1
K00208	fabI; enoyl-[acyl-carrier protein] reductase I	4
K00215	dapB; 4-hydroxy-tetrahydrodipicolinate reductase	2
K00231	PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase	1
K00234	SDHA, SDH1; succinate dehydrogenase (ubiquinone) flavoprotein subunit	11
K00239	sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit	5
K00240	sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit	4
K00241	sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit	4
K00243	K00243; uncharacterized protein	1
K00244	frdA; fumarate reductase flavoprotein subunit	6
K00248	ACADS, bcd; butyryl-CoA dehydrogenase	5
K00259	ald; alanine dehydrogenase	2
K00260	gudB, rocG; glutamate dehydrogenase	4
K00263	E1.4.1.9; leucine dehydrogenase	2
K00264	GLT1; glutamate synthase (NADH)	2
K00265	gltB; glutamate synthase (NADPH) large chain	3
K00266	gltD; glutamate synthase (NADPH) small chain	2
K00274	MAO, aofH; monoamine oxidase	14
K00278	nadB; L-aspartate oxidase	2
K00281	GLDC, gcvP; glycine dehydrogenase	2
K00282	gcvPA; glycine dehydrogenase subunit 1	2
K00283	gcvPB; glycine dehydrogenase subunit 2	2
K00285	dadA; D-amino-acid dehydrogenase	1
K00286	proC; pyrroline-5-carboxylate reductase	1
K00287	DHFR, folA; dihydrofolate reductase	3
K00301	E1.5.3.1; sarcosine oxidase	1
K00303	soxB; sarcosine oxidase, subunit beta	1
K00311	ETFDH; electron-transferring-flavoprotein dehydrogenase	1
K00318	PRODH, fadM, putB; proline dehydrogenase	1
K00320	mer; 5,10-methylenetetrahydromethanopterin reductase	1
K00330	nuoA; NADH-quinone oxidoreductase subunit A	1
K00334	nuoE; NADH-quinone oxidoreductase subunit E	1
K00342	nuoM; NADH-quinone oxidoreductase subunit M	1
K00344	qor, CRYZ; NADPH:quinone reductase	1
K00347	nqrB; Na+-transporting NADH:ubiquinone oxidoreductase subunit B	1
K00348	nqrC; Na+-transporting NADH:ubiquinone oxidoreductase subunit C	1
K00364	E1.7.1.7, guaC; GMP reductase	1
K00372	nasA; assimilatory nitrate reductase catalytic subunit	1
K00374	narI, narV; nitrate reductase gamma subunit	3
K00375	K00375; GntR family transcriptional regulator / MocR family aminotransferase	1
K00382	DLD, lpd, pdhD; dihydrolipoamide dehydrogenase	10
K00383	GSR, gor; glutathione reductase (NADPH)	3
K00384	trxB, TRR; thioredoxin reductase (NADPH)	1
K00389	yidH; putative membrane protein	1
K00425	cydA; cytochrome bd ubiquinol oxidase subunit I	2
K00426	cydB; cytochrome bd ubiquinol oxidase subunit II	2
K00432	gpx, btuE, bsaA; glutathione peroxidase	6
K00433	cpo; non-heme chloroperoxidase	1
