Name	Count
Starch	27
Xylose	8
Lysine biosynthesis	13
Amino acid biosynthesis precursor pyruvate and oxaloacetate	90
Tryptophan metabolism	7
Bifidobacterium shunt	4
Heterolactic fermentation	8
Homolactic fermentation	4
Pyruvate Fermentation	50
Cysteine and methionine metabolism	21
Histidine degradation	1
Mixed acid fermentation	9
Replenishment of TCA cycle intermediates (necessary because some intermediates serve as precursors for biosysnthesis)	3
Incomplete TCA fork	9
Serine pathway for formaldehyde fixation	3
Cellular response to stress	22
Glycine, serine and threonine metabolism	20
Polysaccharide biosynthesis and assembly of cell surface structure	54
Purine metabolism	51
From formate	2
Methane oxidation to cO2	3
Formaldehyde oxidation (tetrahydrofolate pathway)	3
Formaldehyde oxidation (glutathione-dependent)	1
Methionine biosynthesis	2
Glycolysis	5
EMP	10
Glycolysis III (EMP)	9
Gluconeogenesis in archea	8
Regulation of stress-activated protein kinase signaling cascade	1
Lysine degradation VIII	1
Methionine degradation	1
Arginine and proline metabolism	26
TCA cycle	9
Valine, leucine and isoleucine degradation	9
Fatty acid activation	5
Reductive TCA cycle	3
Fatty acid beta-oxidation I	6
Oxydation deamination	3
Alanine, aspartate and glutamate metabolism (contain asparagin as well)	21
Ammonia assimilation	7
Valine, leucine and isoleucine biosynthesis	2
Phenylalanine metabolism	8
Response to osmotic stress	33
From CO2	1
Nitrogenated compounds Reduction	2
Pyrimidine metabolism	43
Response to oxidative stress	8
Phenylalanine, tyrosine and tryptophan biosynthesis	14
Response to nitrosative stress	12
Acetoin biosynthesis	4
Acetylene degradation	2
Lysine fermentation to acetate and butyrate	3
Acetate formation from acetyl-coA I	1
Glycosyltransferase	7
Disaccaride phosphorylase	31
Histidine biosynthesis, pRpp => histidine	10
Sulfur compounds cycle	4
Galactose	16
RuMP pathway for formaldehyde fixation (first two steps are common to both RuMP pathway variants)	1
Gluconeogenesis	4
Hexose	2
Pentose	3
EMP  in archea	6
From acetate	3
nan	1
Polysaccharide lyase	2
Glycoside hydrolase	20
Chitin	1
Arabinose	2
Carbohydrate esterase	2
D-glutamine and D-glutamate metabolism	4
Other aromatics degradation	1
Degradation of purine bases	1
Aromatic carboxylic acid degradation	2
Glutamate degradation V (via hydroxyglutarate)	3
Polycyclic aromatic hydrocarbon degradation	1
Regulation of translation in response to oxidative stress	1
Fatty acid beta-oxidation II (core pathway)	3
Fatty acid beta-oxidation IV (unsaturated)	2
Succinate fermentation to butyrate	1
Mannose	14
Fatty acid beta-oxidation III (unsaturated)	1
Degradation of pyrimidine bases	1
Reductive acetyl coenzyme A pathway	17
ABC transporters, prokaryotic type	65
Pyruvate fermentation to butanol	4
Cellular response to osmotic stress	16
Regulation of response to osmotic stress	14
Major Facilitator superfamily (MFS)	13
Hydrogen production VII (chlorophyta, cyanobacteria)	1
Phosphotransferase system (pts)	25
Cellular response to oxidative stress	3
Transamination	1
Regulation of translational initiation in response to osmotic stress	2
BTEX and related aromatics degradation	1
Cellular response to cation stress	2
