Name	Count
Carbohydrate metabolism	250
Lipid metabolism	53
Glycan biosynthesis and metabolism	48
Amino acid metabolism	188
Signal transduction	84
Endocrine system	13
Cancer: overview	10
Protein families: signaling and cellular processes	461
Energy metabolism	97
Metabolism of other amino acids	35
Metabolism of cofactors and vitamins	114
Biosynthesis of other secondary metabolites	36
Protein families: metabolism	196
Metabolism of terpenoids and polyketides	31
Nucleotide metabolism	81
Xenobiotics biodegradation and metabolism	34
Infectious disease: bacterial	20
Neurodegenerative disease	20
Cardiovascular disease	10
Protein families: genetic information processing	525
Poorly characterized	94
Nervous system	10
Substance dependence	3
Drug resistance: antineoplastic	5
Unclassified: metabolism	139
Folding, sorting and degradation	39
Cell motility	50
Translation	80
Cellular community - prokaryotes	81
Digestive system	7
Cell growth and death	19
Endocrine and metabolic disease	6
Environmental adaptation	8
Infectious disease: viral	2
Membrane transport	125
Drug resistance: antimicrobial	22
Replication and repair	68
Aging	10
Excretory system	1
Infectious disease: parasitic	2
Cancer: specific types	2
Unclassified: signaling and cellular processes	49
Unclassified: genetic information processing	27
Immune system	8
Transcription	5
Immune disease	1
Transport and catabolism	5
Signaling molecules and interaction	1
