Name	Count
20_Hydrolysis of polymers	53
06_Amino acid utilization biosynthesis metabolism	234
01_Fermentation	94
10_TCA cycle	24
15_Methylotrophy	11
21_Cellular response to stress	119
19_Saccharide and derivated synthesis	78
07_Nucleic acid metabolism	97
14_Methanogenesis	4
02_Homoacetogenesis	22
16_Embden Meyerhof-Parnos (EMP)	22
17_Gluconeogenesis	11
05_Fatty acid oxidation	17
11_Nitrogen cycle	7
09_Carbohydrate Active enzyme - CAZy	32
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	4
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	1
18_Sulfur compounds metabolism	2
08_Hydrocarbon degradation	5
12_Transporters	93
13_Hydrogen metabolism	1
