Name	Count
nan	836
Nitrate to nitrite	2
ABC-2 type transporter [mD:m00254]	1
Uncharacterized ABC transporter [mD:m00258]	2
Iron(III) transporter [mD:m00190]	3
Iron complex transporter [mD:m00240]	2
Molybdate transporter [mD:m00189]	2
Multiple sugar transporter [mD:m00207]	3
Polar amino acid transporter [mD:m00236]	2
PEPtides/nickel transporter [mD:m00239]	3
Phosphate transporter [mD:m00222]	4
Putative spermidine/putrescine transporter [mD:m00193]	2
Putative ABC transporter [mD:m00211]	2
D-methionine transporter [mD:m00238]	3
Cystine transporter [mD:m00234]	2
Nitrate/nitrite porter (nnp) family [tc:2.A.1.8]	1
Teta-glucosides-specific II component [mD:m00271]	1
Cellobiose-specific II component [mD:m00275]	3
Fructose-specific II component [mD:m00273]	1
Galactitol-specific II component [mD:m00279]	1
Enzyme II_glucose-specific  component [mD:m00265]	1
Maltose and glucose-specific II component [mD:m00266]	1
 arbutin-, cellobiose-, and salicin-specific II component [mD:m00272]	1
Trehalose-specific II component [mD:m00270]	2
N-acetylmuramic acid-specific II component [mD:m00303]	1
Arbutin-like II component [mD:m00268]	1
Phosphocarrier protein hpr	1
Lactose-specific	1
N-acetylglucosamine-specific II component [mD:m00267]	1
Sucrose-specific II component [mD:m00269]	1
Putative thiamine transporter [mD:m00192]	1
Phenylproprionate permease (ppp) [tc:2.A.1.27]	1
Osmoprotectant transporter [mD:m00209]	3
Hybrid protein	1
Purine transporter (AzgA) family [tc:2.A.1.40]	1
Nickel resistance (nre) [tc:2.A.1.31]	1
Drug:h+ antiporter-1 (12 spanner) (DhA1) family [tc:2.A.1.2]	5
Drug:h+ antiporter-2 (14 spanner) (DhA2) family [tc:2.A.1.3]	1
Oxalate:formate antiporter (oFA) family [tc:2.A.1.11]	1
Anion:cation symporter (Acs) family [tc:2.A.1.14]	1
Drug:h+ antiporter-3 (12 spanner) (DhA3) [tc:2.A.1.21]	1
Enzyme I	1
Orphan ABC Atpase	1
Teichoic acid transporter [mD:m00251]	2
Lipoprotein-releasing transporter [mD:m00255]	2
Cell division transporter [mD:m00256]	2
Hemin transporter [mD:m00257]	1
Zinc transporter [mD:m00242]	3
Maltose/maltodextrin transporter [mD:m00194]	1
Multiple sugar transporter [mD:m00196]	4
Putative sugar transporter [mD:m00197]	1
Cellobiose transporter [mD:m00206]	3
Spermidine/putrescine transporter [mD:m00299]	4
Bacitracin transporter [mD:m00314]	2
