Name	Count
Propanoate metabolism [PATH:ko00640]	20
Glycerolipid metabolism [PATH:ko00561]	17
Pentose and glucuronate interconversions [PATH:ko00040]	3
Ascorbate and aldarate metabolism [PATH:ko00053]	2
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	31
O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	19
Histidine metabolism [PATH:ko00340]	11
Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	16
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	19
Glycolysis / Gluconeogenesis [PATH:ko00010]	25
Pyruvate metabolism [PATH:ko00620]	24
Cysteine and methionine metabolism [PATH:ko00270]	31
HIF-1 signaling pathway [PATH:ko04066]	5
Glucagon signaling pathway [PATH:ko04922]	4
Central carbon metabolism in cancer [PATH:ko05230]	3
Exosome [BR:ko04147]	30
Valine, leucine and isoleucine degradation [PATH:ko00280]	9
Citrate cycle (TCA cycle) [PATH:ko00020]	16
Carbon fixation in photosynthetic organisms [PATH:ko00710]	8
Carbon fixation pathways in prokaryotes [PATH:ko00720]	19
Methane metabolism [PATH:ko00680]	18
Two-component system [PATH:ko02020]	73
Pentose phosphate pathway [PATH:ko00030]	13
Glutathione metabolism [PATH:ko00480]	8
Steroid hormone biosynthesis [PATH:ko00140]	1
Glycerophospholipid metabolism [PATH:ko00564]	13
Glycine, serine and threonine metabolism [PATH:ko00260]	23
Fatty acid biosynthesis [PATH:ko00061]	11
Biotin metabolism [PATH:ko00780]	5
Prodigiosin biosynthesis [PATH:ko00333]	4
Lipid biosynthesis proteins [BR:ko01004]	14
Polyketide sugar unit biosynthesis [PATH:ko00523]	3
Streptomycin biosynthesis [PATH:ko00521]	6
Peptidoglycan biosynthesis [PATH:ko00550]	21
Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]	29
Pantothenate and CoA biosynthesis [PATH:ko00770]	11
Purine metabolism [PATH:ko00230]	45
Drug metabolism - other enzymes [PATH:ko00983]	7
Terpenoid backbone biosynthesis [PATH:ko00900]	11
Lysine biosynthesis [PATH:ko00300]	9
Monobactam biosynthesis [PATH:ko00261]	4
Pathogenic Escherichia coli infection [PATH:ko05130]	1
Salmonella infection [PATH:ko05132]	4
Alzheimer disease [PATH:ko05010]	2
Diabetic cardiomyopathy [PATH:ko05415]	4
Membrane trafficking [BR:ko04131]	10
Butanoate metabolism [PATH:ko00650]	11
Alanine, aspartate and glutamate metabolism [PATH:ko00250]	21
Lysine degradation [PATH:ko00310]	3
Tyrosine metabolism [PATH:ko00350]	4
Nicotinate and nicotinamide metabolism [PATH:ko00760]	15
