Name	Count
nan	630
Acetoin biosynthesis III	1
(s,s)-butanediol biosynthesis	1
Meso-butanediol biosynthesis I	1
Superpathway of (R,R)-butanediol biosynthesis	2
Superpathway of 2,3-butanediol biosynthesis	2
Histidine	25
PEP	10
Pyruvate fermentation to acetate and lactate I	3
Pyruvate fermentation to ethanol III	2
Cysteine and methionine	20
Pyruvate fermentation to lactate	3
Peptidoglycan biosynthesis	18
Murein	5
Oxaloacetate to lysine	20
Pyruvate fermentation to acetate I	2
Pyruvate fermentation to acetate IV	2
Pyruvate fermentation to propionate II (acrylate pathway)	2
Superpathway of clostridium acetobutylicum acidogenic and solventogenic fermentation	11
Superpathway of clostridium acetobutylicum acidogenic fermentation	9
Superpathway of clostridium acetobutylicum solventogenic fermentation	6
(R)-acetoin biosynthesis I	1
(s)-acetoin biosynthesis	1
Meso-butanediol biosynthesis II	1
Pyruvate fermentation to acetate III	1
Pyruvate fermentation to ethanol I	3
Pyruvate fermentation to acetate and lactate II	1
Pyruvate fermentation to acetate II	1
Pyruvate fermentation to acetate VII	1
Sucrose	8
Maltose	8
Pyruvate fermentation to butanoate	5
Lipopolysaccharide biosynthesis	17
Thiosulfate disproportionation	2
Pyruvate to leucine	2
Pyruvate fermentation to acetate V	2
Pyruvate fermentation to acetate VI	2
Glutamate	1
ABC-2 type and other transporters	14
Mineral and organic ion transporters	12
 metallic cation, iron-siderophore and vitamin b12 transporters	6
Oligosaccharide and polyol transporters	11
Phosphate and amino acid transporters	7
PEPtide and nickel transporters	5
Monosaccharide transporters	4
Enzyme I and hpr	22
Lactose	7
Drug transporters	8
Pyruvate fermentation to ethanol II	2
Cellobiose	2
Mucin type O-glycan biosynthesis	3
N-glycan biosynthesis	3
Organic acid transporters	3
Sugar transporters	1
Oxaloacetate to aspartate and asparagine	3
Pyruvate fermentation to acetone	1
Sulfolactate degradation	1
