Name	Count
01_Fermentation	197
21_Cellular response to stress	222
06_Amino acid utilization biosynthesis metabolism	417
20_Hydrolysis of polymers	90
08_Hydrocarbon degradation	26
10_TCA cycle	24
15_Methylotrophy	22
19_Saccharide and derivated synthesis	115
07_Nucleic acid metabolism	126
14_Methanogenesis	8
05_Fatty acid oxidation	36
02_Homoacetogenesis	32
16_Embden Meyerhof-Parnos (EMP)	27
17_Gluconeogenesis	9
11_Nitrogen cycle	13
13_Hydrogen metabolism	2
18_Sulfur compounds metabolism	23
09_Carbohydrate Active enzyme - CAZy	54
04_Utililization of sugar, conversion of pentose to EMP pathway intermediates	5
03_Superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	3
12_Transporters	206
