Name	Count
Glycolysis / Gluconeogenesis [PATH:ko00010]	34
Pyruvate metabolism [PATH:ko00620]	42
Fatty acid degradation [PATH:ko00071]	14
Tyrosine metabolism [PATH:ko00350]	18
Retinol metabolism [PATH:ko00830]	4
Chloroalkane and chloroalkene degradation [PATH:ko00625]	13
Naphthalene degradation [PATH:ko00626]	4
Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]	5
Drug metabolism - cytochrome P450 [PATH:ko00982]	6
Glycine, serine and threonine metabolism [PATH:ko00260]	43
Cysteine and methionine metabolism [PATH:ko00270]	34
Lysine biosynthesis [PATH:ko00300]	12
Pentose and glucuronate interconversions [PATH:ko00040]	27
Fructose and mannose metabolism [PATH:ko00051]	30
Inositol phosphate metabolism [PATH:ko00562]	13
Streptomycin biosynthesis [PATH:ko00521]	9
Ascorbate and aldarate metabolism [PATH:ko00053]	19
Amino sugar and nucleotide sugar metabolism [PATH:ko00520]	40
O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]	24
Histidine metabolism [PATH:ko00340]	20
Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]	22
Glyoxylate and dicarboxylate metabolism [PATH:ko00630]	40
Butanoate metabolism [PATH:ko00650]	25
Synthesis and degradation of ketone bodies [PATH:ko00072]	3
Valine, leucine and isoleucine degradation [PATH:ko00280]	29
Citrate cycle (TCA cycle) [PATH:ko00020]	23
Carbon fixation in photosynthetic organisms [PATH:ko00710]	14
Carbon fixation pathways in prokaryotes [PATH:ko00720]	23
Methane metabolism [PATH:ko00680]	33
Two-component system [PATH:ko02020]	127
Glutathione metabolism [PATH:ko00480]	23
Peroxisome [PATH:ko04146]	9
Central carbon metabolism in cancer [PATH:ko05230]	7
Pentose phosphate pathway [PATH:ko00030]	34
Galactose metabolism [PATH:ko00052]	18
Diabetic cardiomyopathy [PATH:ko05415]	25
Exosome [BR:ko04147]	43
Steroid hormone biosynthesis [PATH:ko00140]	2
Enzymes with EC numbers	208
C5-Branched dibasic acid metabolism [PATH:ko00660]	7
Valine, leucine and isoleucine biosynthesis [PATH:ko00290]	10
