Name	Count
Carbohydrate metabolism	420
Lipid metabolism	98
Amino acid metabolism	352
Metabolism of cofactors and vitamins	195
Xenobiotics biodegradation and metabolism	149
Biosynthesis of other secondary metabolites	71
Glycan biosynthesis and metabolism	82
Energy metabolism	189
Signal transduction	149
Metabolism of other amino acids	80
Transport and catabolism	19
Cancer: overview	22
Cardiovascular disease	40
Protein families: signaling and cellular processes	783
Unclassified: metabolism	266
Protein families: metabolism	307
Metabolism of terpenoids and polyketides	49
Nucleotide metabolism	108
Infectious disease: bacterial	28
Neurodegenerative disease	142
Protein families: genetic information processing	647
Endocrine system	17
Environmental adaptation	33
Endocrine and metabolic disease	24
Nervous system	20
Substance dependence	7
Drug resistance: antineoplastic	6
Cancer: specific types	7
Circulatory system	3
Poorly characterized	135
Folding, sorting and degradation	48
Cell motility	49
Translation	78
Digestive system	2
Cellular community - prokaryotes	108
Cell growth and death	36
Drug resistance: antimicrobial	37
Aging	13
Immune system	11
Infectious disease: viral	10
Replication and repair	81
Infectious disease: parasitic	5
Excretory system	1
Immune disease	2
Development and regeneration	1
Unclassified: signaling and cellular processes	63
Membrane transport	225
Unclassified: genetic information processing	47
Transcription	4
Signaling molecules and interaction	2
