Gene	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217	JQGI01_HUD	RW2_complete	SH31	GIC31_complete	S17
"K01996"	1	1	1	1	1	0	0	0	0	0
"K01997"	1	1	1	1	1	0	0	0	0	0
"K02002"	1	1	1	1	1	0	0	0	0	0
"K02017"	1	1	1	1	1	0	0	0	0	0
"K02041"	1	1	1	1	1	0	0	0	0	0
"K02042"	1	1	1	1	1	0	0	0	0	0
"K02044"	1	1	1	1	1	0	0	0	0	0
"K02046"	1	1	1	1	1	0	0	0	0	0
"K02047"	1	1	1	1	1	0	0	0	0	0
"K02065"	1	1	1	1	1	0	0	0	0	0
"K02066"	1	1	1	1	1	0	0	0	0	0
"K02067"	1	1	1	1	1	0	0	0	0	0
"K02194"	1	1	1	1	1	0	0	0	0	0
"K02195"	1	1	1	1	1	0	0	0	0	0
"K02196"	1	1	1	1	1	0	0	0	0	0
"K02471"	1	1	1	1	1	0	0	0	0	0
"K07091"	1	1	1	1	1	0	0	0	0	0
"K07122"	1	1	1	1	1	0	0	0	0	0
"K09694"	1	1	1	1	1	0	0	0	0	0
"K09695"	1	1	1	1	1	0	0	0	0	0
"K09969"	1	1	1	1	1	0	0	0	0	0
"K09970"	1	1	1	1	1	0	0	0	0	0
"K09971"	1	1	1	1	1	0	0	0	0	0
"K09972"	1	1	1	1	1	0	0	0	0	0
"K10010"	1	1	1	1	1	0	0	0	0	0
"K10018"	1	1	1	1	1	0	0	0	0	0
"K10019"	1	1	1	1	1	0	0	0	0	0
"K10020"	1	1	1	1	1	0	0	0	0	0
"K10021"	1	1	1	1	1	0	0	0	0	0
"K10022"	1	1	1	1	1	0	0	0	0	0
"K10023"	1	1	1	1	1	0	0	0	0	0
"K10039"	1	1	1	1	1	0	0	0	0	0
"K10111"	1	1	1	1	1	0	0	0	0	0
"K10188"	1	1	1	1	1	0	0	0	0	0
"K10189"	1	1	1	1	1	0	0	0	0	0
"K10190"	1	1	1	1	1	0	0	0	0	0
"K10191"	1	1	1	1	1	0	0	0	0	0
"K10192"	1	1	1	1	1	0	0	0	0	0
"K10193"	1	1	1	1	1	0	0	0	0	0
"K10227"	1	1	1	1	1	0	0	0	0	0
"K10228"	1	1	1	1	1	0	0	0	0	0
"K10229"	1	1	1	1	1	0	0	0	0	0
"K10232"	1	1	1	1	1	0	0	0	0	0
"K10233"	1	1	1	1	1	0	0	0	0	0
"K10234"	1	1	1	1	1	0	0	0	0	0
"K10235"	1	1	1	1	1	0	0	0	0	0
"K10236"	1	1	1	1	1	0	0	0	0	0
"K10237"	1	1	1	1	1	0	0	0	0	0
"K10537"	1	1	1	1	1	0	0	0	0	0
"K10538"	1	1	1	1	1	0	0	0	0	0
"K10539"	1	1	1	1	1	0	0	0	0	0
"K10543"	1	1	1	1	1	0	0	0	0	0
"K10544"	1	1	1	1	1	0	0	0	0	0
"K10545"	1	1	1	1	1	0	0	0	0	0
"K10546"	1	1	1	1	1	0	0	0	0	0
"K10547"	1	1	1	1	1	0	0	0	0	0
"K10548"	1	1	1	1	1	0	0	0	0	0
"K10552"	1	1	1	1	1	0	0	0	0	0
"K10553"	1	1	1	1	1	0	0	0	0	0
"K10554"	1	1	1	1	1	0	0	0	0	0
"K10559"	1	1	1	1	1	0	0	0	0	0
"K10560"	1	1	1	1	1	0	0	0	0	0
"K10561"	1	1	1	1	1	0	0	0	0	0
"K10562"	1	1	1	1	1	0	0	0	0	0
"K10820"	1	1	1	1	1	0	0	0	0	0
"K10829"	1	1	1	1	1	0	0	0	0	0
"K10831"	1	1	1	1	1	0	0	0	0	0
"K11073"	1	1	1	1	1	0	0	0	0	0
"K11074"	1	1	1	1	1	0	0	0	0	0
"K11075"	1	1	1	1	1	0	0	0	0	0
"K11076"	1	1	1	1	1	0	0	0	0	0
"K11959"	1	1	1	1	1	0	0	0	0	0
"K11960"	1	1	1	1	1	0	0	0	0	0
"K11961"	1	1	1	1	1	0	0	0	0	0
"K11962"	1	1	1	1	1	0	0	0	0	0
"K11963"	1	1	1	1	1	0	0	0	0	0
"K12368"	1	1	1	1	1	0	0	0	0	0
"K12369"	1	1	1	1	1	0	0	0	0	0
"K12370"	1	1	1	1	1	0	0	0	0	0
"K12371"	1	1	1	1	1	0	0	0	0	0
"K12372"	1	1	1	1	1	0	0	0	0	0
"K12536"	1	1	1	1	1	0	0	0	0	0
"K13892"	1	1	1	1	1	0	0	0	0	0
"K13893"	1	1	1	1	1	0	0	0	0	0
"K13894"	1	1	1	1	1	0	0	0	0	0
"K13895"	1	1	1	1	1	0	0	0	0	0
"K13896"	1	1	1	1	1	0	0	0	0	0
"K15551"	1	1	1	1	1	0	0	0	0	0
"K15552"	1	1	1	1	1	0	0	0	0	0
"K15553"	1	1	1	1	1	0	0	0	0	0
"K15554"	1	1	1	1	1	0	0	0	0	0
"K15555"	1	1	1	1	1	0	0	0	0	0
"K15576"	1	1	1	1	1	0	0	0	0	0
"K15577"	1	1	1	1	1	0	0	0	0	0
"K15578"	1	1	1	1	1	0	0	0	0	0
"K16783"	1	1	1	1	1	0	0	0	0	0
"K16957"	1	1	1	1	1	0	0	0	0	0
"K16958"	1	1	1	1	1	0	0	0	0	0
"K16959"	1	1	1	1	1	0	0	0	0	0
"K17202"	1	1	1	1	1	0	0	0	0	0
"K17203"	1	1	1	1	1	0	0	0	0	0
"K17204"	1	1	1	1	1	0	0	0	0	0
"K17213"	1	1	1	1	1	0	0	0	0	0
"K17214"	1	1	1	1	1	0	0	0	0	0
"K17215"	1	1	1	1	1	0	0	0	0	0
"K17237"	1	1	1	1	1	0	0	0	0	0
"K17238"	1	1	1	1	1	0	0	0	0	0
"K17239"	1	1	1	1	1	0	0	0	0	0
"K17240"	1	1	1	1	1	0	0	0	0	0
"K17241"	1	1	1	1	1	0	0	0	0	0
"K17242"	1	1	1	1	1	0	0	0	0	0
"K17243"	1	1	1	1	1	0	0	0	0	0
"K17315"	1	1	1	1	1	0	0	0	0	0
"K17316"	1	1	1	1	1	0	0	0	0	0
"K17317"	1	1	1	1	1	0	0	0	0	0
"K17321"	1	1	1	1	1	0	0	0	0	0
"K17322"	1	1	1	1	1	0	0	0	0	0
"K17323"	1	1	1	1	1	0	0	0	0	0
"K17324"	1	1	1	1	1	0	0	0	0	0
"K17325"	1	1	1	1	1	0	0	0	0	0
"K18893"	1	1	1	1	1	0	0	0	0	0
