Gene	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217	JQGI01_HUD	RW2_complete	SH31	GIC31_complete	S17
"K00001"	1	1	1	1	1	0	0	0	0	0
"K00003"	1	1	1	1	1	0	0	0	0	0
"K00023"	1	1	1	1	1	0	0	0	0	0
"K00031"	1	1	1	1	1	0	0	0	0	0
"K00055"	1	1	1	1	1	0	0	0	0	0
"K00064"	1	1	1	1	1	0	0	0	0	0
"K00074"	1	1	1	1	1	0	0	0	0	0
"K00121"	1	1	1	1	1	0	0	0	0	0
"K00123"	1	1	1	1	1	0	0	0	0	0
"K00126"	1	1	1	1	1	0	0	0	0	0
"K00127"	1	1	1	1	1	0	0	0	0	0
"K00128"	1	1	1	1	1	0	0	0	0	0
"K00137"	1	1	1	1	1	0	0	0	0	0
"K00161"	1	1	1	1	1	0	0	0	0	0
"K00162"	1	1	1	1	1	0	0	0	0	0
"K00217"	1	1	1	1	1	0	0	0	0	0
"K00235"	1	1	1	1	1	0	0	0	0	0
"K00236"	1	1	1	1	1	0	0	0	0	0
"K00242"	1	1	1	1	1	0	0	0	0	0
"K00252"	1	1	1	1	1	0	0	0	0	0
"K00275"	1	1	1	1	1	0	0	0	0	0
"K00297"	1	1	1	1	1	0	0	0	0	0
"K00362"	1	1	1	1	1	0	0	0	0	0
"K00381"	1	1	1	1	1	0	0	0	0	0
"K00390"	1	1	1	1	1	0	0	0	0	0
"K00446"	1	1	1	1	1	0	0	0	0	0
"K00448"	1	1	1	1	1	0	0	0	0	0
"K00449"	1	1	1	1	1	0	0	0	0	0
"K00451"	1	1	1	1	1	0	0	0	0	0
"K00481"	1	1	1	1	1	0	0	0	0	0
"K00616"	1	1	1	1	1	0	0	0	0	0
"K00626"	1	1	1	1	1	0	0	0	0	0
"K00824"	1	1	1	1	1	0	0	0	0	0
"K00845"	1	1	1	1	1	0	0	0	0	0
"K00851"	1	1	1	1	1	0	0	0	0	0
"K00863"	1	1	1	1	1	0	0	0	0	0
"K00874"	1	1	1	1	1	0	0	0	0	0
"K00879"	1	1	1	1	1	0	0	0	0	0
"K00895"	1	1	1	1	1	0	0	0	0	0
"K00956"	1	1	1	1	1	0	0	0	0	0
"K00957"	1	1	1	1	1	0	0	0	0	0
"K01006"	1	1	1	1	1	0	0	0	0	0
"K01031"	1	1	1	1	1	0	0	0	0	0
"K01032"	1	1	1	1	1	0	0	0	0	0
"K01053"	1	1	1	1	1	0	0	0	0	0
"K01057"	1	1	1	1	1	0	0	0	0	0
"K01061"	1	1	1	1	1	0	0	0	0	0
"K01070"	1	1	1	1	1	0	0	0	0	0
"K01082"	1	1	1	1	1	0	0	0	0	0
"K01428"	1	1	1	1	1	0	0	0	0	0
"K01429"	1	1	1	1	1	0	0	0	0	0
"K01430"	1	1	1	1	1	0	0	0	0	0
"K01439"	1	1	1	1	1	0	0	0	0	0
"K01457"	1	1	1	1	1	0	0	0	0	0
"K01466"	1	1	1	1	1	0	0	0	0	0
"K01607"	1	1	1	1	1	0	0	0	0	0
"K01621"	1	1	1	1	1	0	0	0	0	0
"K01623"	1	1	1	1	1	0	0	0	0	0
"K01624"	1	1	1	1	1	0	0	0	0	0
"K01625"	1	1	1	1	1	0	0	0	0	0
"K01647"	1	1	1	1	1	0	0	0	0	0
"K01684"	1	1	1	1	1	0	0	0	0	0
"K01690"	1	1	1	1	1	0	0	0	0	0
"K01715"	1	1	1	1	1	0	0	0	0	0
"K01721"	1	1	1	1	1	0	0	0	0	0
"K01778"	1	1	1	1	1	0	0	0	0	0
"K01782"	1	1	1	1	1	0	0	0	0	0
"K01801"	1	1	1	1	1	0	0	0	0	0
"K01820"	1	1	1	1	1	0	0	0	0	0
"K01834"	1	1	1	1	1	0	0	0	0	0
"K01847"	1	1	1	1	1	0	0	0	0	0
"K01857"	1	1	1	1	1	0	0	0	0	0
"K01899"	1	1	1	1	1	0	0	0	0	0
"K01965"	1	1	1	1	1	0	0	0	0	0
"K01966"	1	1	1	1	1	0	0	0	0	0
"K02302"	1	1	1	1	1	0	0	0	0	0
"K02303"	1	1	1	1	1	0	0	0	0	0
"K02554"	1	1	1	1	1	0	0	0	0	0
"K02586"	1	1	1	1	1	0	0	0	0	0
"K02591"	1	1	1	1	1	0	0	0	0	0
"K03079"	1	1	1	1	1	0	0	0	0	0
"K03336"	1	1	1	1	1	0	0	0	0	0
"K03338"	1	1	1	1	1	0	0	0	0	0
"K03382"	1	1	1	1	1	0	0	0	0	0
"K03383"	1	1	1	1	1	0	0	0	0	0
"K03396"	1	1	1	1	1	0	0	0	0	0
"K04098"	1	1	1	1	1	0	0	0	0	0
"K05301"	1	1	1	1	1	0	0	0	0	0
"K05308"	1	1	1	1	1	0	0	0	0	0
"K05884"	1	1	1	1	1	0	0	0	0	0
"K06606"	1	1	1	1	1	0	0	0	0	0
"K06720"	1	1	1	1	1	0	0	0	0	0
"K07046"	1	1	1	1	1	0	0	0	0	0
"K07250"	1	1	1	1	1	0	0	0	0	0
"K07535"	1	1	1	1	1	0	0	0	0	0
"K07823"	1	1	1	1	1	0	0	0	0	0
"K08352"	1	1	1	1	1	0	0	0	0	0
"K08726"	1	1	1	1	1	0	0	0	0	0
"K10218"	1	1	1	1	1	0	0	0	0	0
"K11472"	1	1	1	1	1	0	0	0	0	0
"K11529"	1	1	1	1	1	0	0	0	0	0
"K11645"	1	1	1	1	1	0	0	0	0	0
"K13481"	1	1	1	1	1	0	0	0	0	0
"K13482"	1	1	1	1	1	0	0	0	0	0
"K13979"	1	1	1	1	1	0	0	0	0	0
"K14085"	1	1	1	1	1	0	0	0	0	0
"K14422"	1	1	1	1	1	0	0	0	0	0
"K14451"	1	1	1	1	1	0	0	0	0	0
"K14584"	1	1	1	1	1	0	0	0	0	0
"K14727"	1	1	1	1	1	0	0	0	0	0
"K14731"	1	1	1	1	1	0	0	0	0	0
"K14733"	1	1	1	1	1	0	0	0	0	0
"K14977"	1	1	1	1	1	0	0	0	0	0
"K15371"	1	1	1	1	1	0	0	0	0	0
"K15784"	1	1	1	1	1	0	0	0	0	0
"K15919"	1	1	1	1	1	0	0	0	0	0
"K16043"	1	1	1	1	1	0	0	0	0	0
"K16047"	1	1	1	1	1	0	0	0	0	0
"K16165"	1	1	1	1	1	0	0	0	0	0
"K16171"	1	1	1	1	1	0	0	0	0	0
"K16306"	1	1	1	1	1	0	0	0	0	0
"K16841"	1	1	1	1	1	0	0	0	0	0
"K16842"	1	1	1	1	1	0	0	0	0	0
"K17468"	1	1	1	1	1	0	0	0	0	0
"K17865"	1	1	1	1	1	0	0	0	0	0
"K18030"	1	1	1	1	1	0	0	0	0	0
"K18277"	1	1	1	1	1	0	0	0	0	0
"K18334"	1	1	1	1	1	0	0	0	0	0
"K18335"	1	1	1	1	1	0	0	0	0	0
"K18608"	1	1	1	1	1	0	0	0	0	0
"K18881"	1	1	1	1	1	0	0	0	0	0
"K20712"	1	1	1	1	1	0	0	0	0	0
"K20807"	1	1	1	1	1	0	0	0	0	0
"K20866"	1	1	1	1	1	0	0	0	0	0
"K20941"	1	1	1	1	1	0	0	0	0	0
"K20942"	1	1	1	1	1	0	0	0	0	0
"K21724"	1	1	1	1	1	0	0	0	0	0
"K21802"	1	1	1	1	1	0	0	0	0	0
"K22081"	1	1	1	1	1	0	0	0	0	0
"K22082"	1	1	1	1	1	0	0	0	0	0
"K22084"	1	1	1	1	1	0	0	0	0	0
"K22086"	1	1	1	1	1	0	0	0	0	0
"K22087"	1	1	1	1	1	0	0	0	0	0
"K22270"	1	1	1	1	1	0	0	0	0	0
"K22879"	1	1	1	1	1	0	0	0	0	0
"K24012"	1	1	1	1	1	0	0	0	0	0
"K00124"	0	0	0	0	0	1	1	0	0	1
"K08265"	0	0	0	0	0	1	1	0	0	1
"K15634"	0	0	0	0	1	1	1	1	1	0
"K00030"	0	1	0	0	0	1	1	1	1	1
"K00131"	0	0	0	0	1	1	1	1	1	1
"K00926"	0	0	0	0	1	1	1	1	1	1
"K02492"	0	0	0	0	1	1	1	1	1	1
"K00016"	0	0	0	0	0	1	1	1	1	1
"K00116"	0	0	0	0	0	1	1	1	1	1
"K00240"	0	0	0	0	0	1	1	1	1	1
"K00241"	0	0	0	0	0	1	1	1	1	1
"K00264"	0	0	0	0	0	1	1	1	1	1
"K00656"	0	0	0	0	0	1	1	1	1	1
"K00850"	0	0	0	0	0	1	1	1	1	1
"K00865"	0	0	0	0	0	1	1	1	1	1
"K01902"	0	0	0	0	0	1	1	1	1	1
"K02446"	0	0	0	0	0	1	1	1	1	1
"K02770"	0	0	0	0	0	1	1	1	1	1
"K03339"	0	0	0	0	0	1	1	1	1	1
"K04072"	0	0	0	0	0	1	1	1	1	1
"K06881"	0	0	0	0	0	1	1	1	1	1
"K07516"	0	0	0	0	0	1	1	1	1	1
