ID	GIC31_complete	JQGI01_HUD	RW2_complete	S17	SH31	gsA_SM152B	gsB_3841	gsC_SM41	gsD_SM51	gsE_BIHB1217
K00001	0	0	0	0	0	1	1	1	1	1
K00002	0	0	0	0	0	1	0	0	0	0
K00003	0	0	0	0	0	1	1	1	1	1
K00004	0	0	0	0	1	0	0	1	1	1
K00005	1	1	1	1	1	0	0	0	0	0
K00008	0	0	1	0	0	1	1	1	1	1
K00009	1	1	1	0	1	0	0	0	0	0
K00010	0	1	0	0	0	1	1	1	1	1
K00012	1	1	1	1	1	1	1	1	1	1
K00013	1	1	1	1	1	1	1	1	1	1
K00014	1	1	1	1	1	1	1	1	1	1
K00015	0	1	1	1	1	1	1	1	1	1
K00016	1	1	1	1	1	0	0	0	0	0
K00019	0	0	0	0	0	1	1	1	1	1
K00020	1	1	1	1	1	1	1	1	1	1
K00023	0	0	0	0	0	1	1	1	1	1
K00024	1	1	1	1	1	1	1	1	1	1
K00027	1	1	1	1	1	1	1	1	1	1
K00029	0	1	0	0	0	0	0	0	0	0
K00030	1	1	1	1	1	0	1	0	0	0
K00031	0	0	0	0	0	1	1	1	1	1
K00033	1	1	1	1	1	1	1	1	1	1
K00034	1	1	1	1	1	1	1	1	1	1
K00035	0	0	0	0	0	1	1	1	1	1
K00036	0	1	0	0	0	1	1	1	1	1
K00038	1	1	1	1	1	0	1	1	1	1
K00039	0	0	0	0	0	1	1	1	1	1
K00040	0	0	0	0	0	1	1	1	1	1
K00042	0	0	0	0	0	1	1	1	1	1
K00043	0	0	0	0	0	1	1	1	1	1
K00045	0	0	0	0	0	1	1	1	1	1
K00046	0	0	0	0	0	1	1	1	1	1
K00052	0	0	0	0	0	1	1	1	1	1
K00053	0	0	0	0	0	1	1	1	1	1
K00055	0	0	0	0	0	1	1	1	1	1
K00057	1	1	1	1	1	1	1	1	1	1
K00058	1	1	1	1	1	1	1	1	1	1
K00059	1	1	1	1	1	1	1	1	1	1
K00060	1	1	1	1	1	1	1	1	1	1
K00064	0	0	0	0	0	1	1	1	1	1
K00065	0	0	0	0	0	1	1	1	1	1
K00067	1	1	1	1	1	1	1	1	1	1
K00073	0	0	0	0	0	0	0	0	0	1
K00074	0	0	0	0	0	1	1	1	1	1
K00075	1	1	1	1	1	1	1	1	1	1
K00077	1	1	1	1	1	1	1	1	1	1
K00087	0	1	0	0	0	0	1	0	0	1
K00088	1	1	1	1	1	1	1	1	1	1
K00090	1	0	0	0	0	0	0	0	0	0
K00091	0	0	0	0	0	1	1	0	0	0
