ID		FUN	EC	FUNCTION
AA0	AA	Auxiliary activities		
AA10		Auxiliary activities	1.14.99.54	AA10 (formerly CBM33) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); some proteins have been shown to act on chitin, others on cellulose; lytic cellulose monooxygenase (C1-hydroxylating)
AA11		Auxiliary activities		
AA12		Auxiliary activities		
AA13		Auxiliary activities	1.14.99.55	AA13 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of starch with oxidation of C-1 at the site of cleavage has been demonstrated for the LPMO encoded by gene NCU08746 from Neurospora crassa; lytic starch monooxygenase / starch oxidase (glycosidic bond-cleaving)
AA14		Auxiliary activities	1.14.99.-	AA14 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of xylan with oxidation of C-1 has been demonstrated for two AA14 LPMOs from Trametes coccinea (Pycnoporus coccineus); lytic xylan monooxygenase / xylan oxidase (glycosidic bond-cleaving)
AA15	AA	Auxiliary activities	1.14.99.54	lytic cellulose monooxygenase (C1-hydroxylating)
AA16		Auxiliary activities	1.14.99.54	Lytic cellulose monooxygenase (C1-hydroxylating)
AA17		Auxiliary activities	1.14.99.-	Lytic polygalacturonic acid monooxygenase (C4-hydroxylating)
AA1		Auxiliary activities	1.10.3.2	Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase
AA2		Auxiliary activities	1.11.1.13	manganese peroxidase
AA3		Auxiliary activities	1.1.99.18	cellobiose dehydrogenase
AA4		Auxiliary activities	1.1.3.38	vanillyl-alcohol oxidase
AA5		Auxiliary activities	1.1.3.-	Oxidase with oxygen as acceptor
AA6		Auxiliary activities	1.6.5.6	1,4-benzoquinone reductase
AA7		Auxiliary activities	1.1.3.-	glucooligosaccharide oxidase
AA8		Auxiliary activities		
AA9		Auxiliary activities	1.14.99.54	AA9 (formerly GH61) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of cellulose chains with oxidation of carbons C1 and/or C4 and C-6); lytic cellulose monooxygenase (C1-hydroxylating)
CBM0		Carb binding modules		
CBM10	CBM	Carb binding modules		
CBM11		Carb binding modules		
CBM12		Carb binding modules		
CBM13		Carb binding modules		
CBM14		Carb binding modules		
CBM15		Carb binding modules		
CBM16		Carb binding modules		
CBM17		Carb binding modules		
CBM18		Carb binding modules		
CBM19		Carb binding modules		
CBM1		Carb binding modules		
CBM20		Carb binding modules		
CBM21		Carb binding modules		
CBM22		Carb binding modules		
CBM23		Carb binding modules		
CBM24		Carb binding modules		
CBM25		Carb binding modules		
CBM26		Carb binding modules		
CBM27		Carb binding modules		
CBM28		Carb binding modules		
CBM29		Carb binding modules		
CBM2		Carb binding modules		
CBM30		Carb binding modules		
CBM31		Carb binding modules		
CBM32		Carb binding modules		
CBM33		Carb binding modules		
CBM34		Carb binding modules		
CBM35		Carb binding modules		
CBM36		Carb binding modules		
CBM37		Carb binding modules		
CBM38		Carb binding modules		
CBM39		Carb binding modules		
CBM3		Carb binding modules		
CBM40		Carb binding modules		
CBM41		Carb binding modules		
CBM42		Carb binding modules		
CBM43		Carb binding modules		
CBM44		Carb binding modules		
CBM45		Carb binding modules		
CBM46		Carb binding modules		
CBM47		Carb binding modules		
CBM48		Carb binding modules		
CBM49		Carb binding modules		
CBM4		Carb binding modules		
CBM50		Carb binding modules		
CBM51		Carb binding modules		
CBM52		Carb binding modules		
CBM53		Carb binding modules		
CBM54		Carb binding modules		
CBM55		Carb binding modules		
CBM56		Carb binding modules		
CBM57		Carb binding modules		
CBM58		Carb binding modules		
CBM59		Carb binding modules		
CBM5		Carb binding modules		
CBM60		Carb binding modules		
CBM61		Carb binding modules		
CBM62		Carb binding modules		
CBM63		Carb binding modules		
CBM64		Carb binding modules		
CBM65		Carb binding modules		
CBM66		Carb binding modules		
CBM67		Carb binding modules		
CBM68		Carb binding modules		
CBM69		Carb binding modules		
CBM6		Carb binding modules		
CBM70		Carb binding modules		
CBM71		Carb binding modules		
CBM72		Carb binding modules		
CBM73		Carb binding modules		
CBM74		Carb binding modules		
CBM75		Carb binding modules		
CBM76		Carb binding modules		
CBM77		Carb binding modules		
CBM78		Carb binding modules		
