ID	Function
VOG0001	single strand DNA binding protein
VOG0002	major coat protein
VOG0005	assembly (protein IV of M13)
VOG0006	minor head protein; receptor binding protein
VOG0007	minor head protein Ace-like protein
VOG0008	hypothetical protein
VOG0009	tail assembly protein
VOG0010	transcriptional regulator
VOG0011	hypothetical protein
VOG0012	hypothetical protein
VOG0013	replication initiation protein
VOG0014	single strand DNA binding protein
VOG0015	major coat protein
VOG0016	SAM-dependent methyltransferase
VOG0017	hypothetical protein
VOG0018	ATP-dependent DNA ligase
VOG0019	RNA polymerase
VOG0020	deoxynucleoside monophosphate kinase
VOG0021	Gp2.5-like ssDNA binding protein and ssDNA annealing protein
VOG0024	hypothetical protein
VOG0025	Replicative DNA helicase
VOG0026	DNA polymerase
VOG0028	RNaseH
VOG0029	host range and adsorption protein
VOG0030	head-tail adaptor
VOG0031	head assembly
VOG0034	tail protein
VOG0035	internal virion protein
VOG0037	internal virion protein
VOG0038	internal virion protein with endolysin domain protein
VOG0040	holin
VOG0041	terminase small subunit
VOG0043	unannotated protein
VOG0044	unannotated protein
VOG0045	hypothetical protein
VOG0046	superinfection exclusion
VOG0047	hypothetical protein
VOG0048	tail spike protein
VOG0049	RNA-splicing ligase RtcB
VOG0050	dCMP deaminase
VOG0051	terminase large subunit
VOG0052	RNA polymerase sigma factor
VOG0054	holin
VOG0058	PhoH-like phosphate starvation-inducible
VOG0061	major head protein
VOG0064	tail fiber protein
VOG0065	unannotated protein
VOG0066	hypothetical protein
VOG0067	tail sheath
VOG0068	unannotated protein
VOG0069	tail assembly chaperone
VOG0079	unannotated protein
VOG0080	hypothetical protein
VOG0083	SbcC-like subunit of palindrome specific endonuclease
VOG0085	Deoxyuridine 5'-triphosphate nucleotidohydrolase
VOG0086	RusA-like Holliday junction resolvase
VOG0088	Ribonucleoside-diphosphate reductase 1 subunit alpha
VOG0090	terminase small subunit
VOG0092	Thymidylate synthase
VOG0094	DNA binding protein
VOG0095	hypothetical protein
VOG0098	RNA polymerase sigma factor
VOG0100	hypothetical protein
VOG0101	hypothetical protein
VOG0102	hypothetical protein
VOG0103	hypothetical protein
VOG0104	hypothetical protein
VOG0105	terminase small subunit
VOG0106	terminase large subunit
VOG0107	hypothetical protein
VOG0108	hypothetical protein
VOG0109	hypothetical protein
VOG0113	unannotated protein
VOG0114	unannotated protein
VOG0115	hypothetical protein
VOG0116	hypothetical protein
VOG0117	hypothetical protein
VOG0118	tail assembly chaperone
VOG0122	hypothetical protein
VOG0125	HTH DNA binding protein
VOG0126	unannotated protein
VOG0127	dUTPase
VOG0128	hypothetical protein
VOG0129	hypothetical protein
VOG0131	hypothetical protein
VOG0133	single strand DNA binding protein
VOG0134	hypothetical protein
VOG0136	unannotated protein
VOG0139	exopolyphosphatase
VOG0141	hypothetical protein
VOG0142	hypothetical protein
VOG0143	hypothetical protein
VOG0144	hypothetical protein
VOG0145	hypothetical protein
VOG0149	hypothetical protein
VOG0151	unannotated protein
VOG0152	hypothetical protein
VOG0154	hypothetical protein
VOG0156	Serine/threonine-protein phosphatase 1
VOG0157	phosphoesterase
VOG0158	hypothetical protein
VOG0159	hypothetical protein
VOG0162	hypothetical protein
VOG0163	ATPase
VOG0166	head maturation protease
VOG0167	RNA replicase beta subunit
VOG0168	DNA replication initiation
VOG0169	DNA replication initiation
VOG0170	hypothetical protein
VOG0171	hypothetical protein
VOG0172	terminase
VOG0173	head morphogenesis
VOG0174	hypothetical protein
VOG0175	DNA condensation
VOG0176	major head protein
VOG0177	major spike protein
VOG0178	minor spike protein
VOG0179	minor head protein; receptor binding protein
VOG0181	hypothetical protein
VOG0182	hypothetical protein
VOG0183	transcriptional regulator
VOG0186	exonuclease
VOG0189	DnaC-like helicase loader
VOG0190	hypothetical protein
VOG0192	hypothetical protein
VOG0193	hypothetical protein
VOG0194	hypothetical protein
VOG0195	DNA methyltransferase
VOG0196	hypothetical protein
VOG0197	hypothetical protein
VOG0198	transcriptional activator
VOG0202	hypothetical protein
VOG0204	unannotated protein
VOG0205	head closure Hc1
VOG0207	tail protein
VOG0209	tail protein
VOG0217	hypothetical protein
VOG0221	integrase
VOG0223	hypothetical protein
VOG0226	Single-stranded DNA-binding protein
VOG0227	tail fiber assembly
VOG0233	hypothetical protein
VOG0234	Protein SopB
VOG0236	hypothetical protein
VOG0237	Rz-like spanin
VOG0238	PAAR motif of membran proteins
VOG0239	unannotated protein
VOG0242	alpha-2;3-sialyltransferase
VOG0243	polynucleotide kinase
VOG0244	hypothetical protein
VOG0245	hypothetical protein
VOG0248	UmuD-like protein
VOG0249	Doc-like toxin
VOG0251	HNH endonuclease
VOG0253	terminase small subunit
VOG0254	portal protein
VOG0258	head-tail adaptor Ad3
VOG0259	head closure Hc3
VOG0260	hypothetical protein
VOG0261	head morphogenesis
VOG0263	DNA ejection
VOG0264	released from the phage upon host infection
VOG0265	hypothetical protein
VOG0267	Arc-like DNA binding domain protein
VOG0273	GtrC-like O-antigen conversion translocase
VOG0274	Prophage bactoprenol glucosyl transferase 
VOG0275	integrase
VOG0278	hypothetical protein
VOG0280	hypothetical protein
VOG0281	unannotated protein
VOG0283	Erf-like ssDNA annealing protein
VOG0284	Erf recombination cofactor Arf
VOG0285	Kil protein for bacterial septation inhibition
VOG0286	CIII anti-termination
VOG0287	superinfection exclusion; inhibits SieB
VOG0288	anti-termination protein N-like protein
VOG0291	hypothetical protein
VOG0292	unannotated protein
VOG0293	hypothetical protein
VOG0294	hypothetical protein
VOG0295	hypothetical protein
VOG0296	NinG/ Rap DNA junction specific endonuclease
VOG0297	hypothetical protein
VOG0298	anti-termination protein Q-like protein
VOG0299	Rz-like spanin
VOG0300	hypothetical protein
VOG0302	hypothetical protein
VOG0303	hypothetical protein
VOG0311	tail protein
VOG0312	hypothetical protein
VOG0315	hypothetical protein
VOG0316	hypothetical protein
VOG0319	hypothetical protein
VOG0320	hypothetical protein
VOG0321	Mu Gam-like end protection
VOG0322	Sak4-like ssDNA annealing protein
VOG0327	unannotated protein
VOG0329	hypothetical protein
VOG0334	DNA polymerase
VOG0335	virion structural protein
VOG0336	hypothetical protein
VOG0337	terminase large subunit
VOG0338	hypothetical protein
VOG0339	minor head protein
VOG0340	hypothetical protein
VOG0341	hypothetical protein
VOG0342	hypothetical protein
VOG0344	pentameric base spike protein
VOG0345	hypothetical protein
VOG0346	hypothetical protein
VOG0347	hypothetical protein
VOG0348	SbcC-like subunit of palindrome specific endonuclease
VOG0350	nicotinamide phosphoribosyl transferase
VOG0351	head maturation protease
VOG0352	peptidase
VOG0354	RNA polymerase beta subunit
VOG0355	P-like helicase loader
VOG0356	tail sheath
VOG0362	RNA polymerase beta subunit
VOG0364	RNA polymerase beta subunit
VOG0367	unannotated protein
VOG0368	unannotated protein
VOG0369	unannotated protein
VOG0370	hypothetical protein
VOG0371	membrane protein
VOG0372	DNA ligase
VOG0373	RNA polymerase beta subunit
VOG0374	hypothetical protein
VOG0375	DNA binding protein
VOG0376	toxin-antitoxin system HicB-like protein
VOG0377	unannotated protein
VOG0382	DNA topoisomerase II large subunit
VOG0384	DNA gyrase subunit A
VOG0388	hypothetical protein
VOG0389	unknown function
VOG0390	transcriptional regulator
VOG0393	RNA polymerase ADP-ribosylase
VOG0394	hypothetical protein
VOG0395	Mrh transcription modulator under heat shock
VOG0396	hypothetical protein
VOG0397	nucleoside triphosphate pyrophosphohydrolase
VOG0398	hypothetical protein
VOG0400	spackle periplasmic
VOG0401	hypothetical protein
VOG0402	unannotated protein
VOG0403	beta-glucosyl-HMC-alpha-glucosyltransferase
VOG0404	hypothetical protein
VOG0405	hypothetical protein
VOG0407	hypothetical protein
VOG0408	clamp loader of DNA polymerase
VOG0409	DNA polymerase processivity factor
VOG0410	unannotated protein
VOG0411	hypothetical protein
VOG0412	alpha-glucosyltransferase
VOG0413	unannotated protein
VOG0414	hypothetical protein
VOG0415	hypothetical protein
VOG0416	hypothetical protein
VOG0417	hypothetical protein
VOG0418	hypothetical protein
VOG0419	Anaerobic ribonucleoside-triphosphate reductase-activating protein
VOG0420	Anaerobic ribonucleoside-triphosphate reductase
VOG0421	inhibitor of host Lon protease
VOG0422	unannotated protein
VOG0424	unknown function
VOG0425	unknown function
VOG0426	unknown function
VOG0427	hypothetical protein
VOG0428	hypothetical protein
VOG0429	unannotated protein
VOG0433	lysis inhibition
VOG0434	hypothetical protein
VOG0435	hypothetical protein
VOG0436	endoribonuclease
VOG0437	hypothetical protein
VOG0438	hypothetical protein
VOG0439	hypothetical protein
VOG0440	Autonomous glycyl radical cofactor
VOG0441	unknown function
VOG0443	nudix hydrolase
VOG0444	membrane protein
VOG0445	unknown function
VOG0447	unannotated protein
VOG0448	hypothetical protein
VOG0449	hypothetical protein
VOG0450	RNA ligase
VOG0451	head closure
VOG0452	unannotated protein
VOG0454	baseplate wedge subunit
VOG0456	baseplate wedge subunit
VOG0457	baseplate wedge subunit
VOG0459	unannotated protein
VOG0460	head-tail adaptor Ad2
VOG0461	head closure Hc2
VOG0462	tail sheath stabilizer
VOG0463	prohead
VOG0464	head scaffolding protein
VOG0465	head scaffolding protein
VOG0466	major head protein
VOG0468	hypothetical protein
VOG0469	hypothetical protein
VOG0471	unannotated protein
VOG0473	unannotated protein
VOG0474	baseplate hub
VOG0475	baseplate hub distal subunit
VOG0476	baseplate hub subunit and tail length
VOG0477	baseplate tail tube cap
VOG0479	hypothetical protein
VOG0480	Alt-like RNA polymerase ADP-ribosyltransferase
VOG0481	unknown function
VOG0482	hypothetical protein
VOG0483	hypothetical protein
VOG0484	hypothetical protein
VOG0485	lysis inhibition; accessory protein
VOG0486	unknown function
VOG0487	hypothetical protein
VOG0488	hypothetical protein
VOG0489	hypothetical protein
VOG0493	endonuclease
VOG0494	ribonucleotide reductase NrdA-like protein
VOG0495	hypothetical protein
VOG0496	dihydrofolate reductase
VOG0497	hypothetical protein
VOG0498	unannotated protein
VOG0499	single strand DNA binding protein
VOG0505	holin
VOG0506	unknown function
VOG0507	hypothetical protein
VOG0509	unannotated protein
VOG0510	Ndd-like nucleoid disruption protein
VOG0511	unknown function
VOG0513	anti-repressor Ant
VOG0514	unannotated protein
VOG0518	hypothetical protein
VOG0519	hypothetical protein
VOG0521	hypothetical protein
VOG0523	transcriptional regulator
VOG0524	hypothetical protein
VOG0525	hypothetical protein
VOG0526	virulence associated
VOG0527	hypothetical protein
VOG0528	hypothetical protein
VOG0529	Na/K ATPase
VOG0531	hypothetical protein
VOG0532	DNA binding protein
VOG0533	hypothetical protein
VOG0534	unannotated protein
VOG0535	Mu Gam-like end protection
VOG0536	Holliday junction resolvase
VOG0537	hypothetical protein
VOG0539	tail completion or Neck1 protein
VOG0541	head-tail adaptor
VOG0542	hypothetical protein
VOG0543	hypothetical protein
VOG0544	Panton-Valentine leukocicin
VOG0545	Panton-Valentine leukocicin
VOG0546	hypothetical protein
VOG0547	unannotated protein
VOG0548	hypothetical protein
VOG0549	unannotated protein
VOG0550	hypothetical protein
VOG0551	hypothetical protein
VOG0553	hypothetical protein
VOG0554	hypothetical protein
VOG0555	hypothetical protein
VOG0556	hypothetical protein
VOG0557	transcriptional regulator
VOG0558	hypothetical protein
VOG0559	RinB-like transcriptional activator
VOG0560	hypothetical protein
VOG0562	hypothetical protein
VOG0564	hypothetical protein
VOG0565	hypothetical protein
VOG0566	head scaffolding protein
VOG0567	terminase small subunit
VOG0568	head-tail adaptor Ad1
VOG0569	tail protein
VOG0571	tail terminator
VOG0572	hypothetical protein
VOG0573	hypothetical protein
VOG0574	tail protein
VOG0577	head closure
VOG0582	tail protein
VOG0583	transcriptional regulator
VOG0584	hypothetical protein
VOG0585	putative protein YbiI
VOG0586	replication initiation protein
VOG0588	hypothetical protein
VOG0590	beta-glucosyl-HMC-alpha-glucosyltransferase
VOG0595	hypothetical protein
VOG0598	hypothetical protein
VOG0600	hypothetical protein
VOG0601	hypothetical protein
VOG0602	holin
VOG0603	hypothetical protein
VOG0608	hypothetical protein
VOG0609	head scaffolding protein
VOG0611	terminase small subunit
VOG0612	terminase small subunit
VOG0614	hypothetical protein
VOG0615	holin/anti-holin
VOG0618	hypothetical protein
VOG0621	hypothetical protein
VOG0622	hypothetical protein
VOG0623	hypothetical protein
VOG0625	recombinase
VOG0628	hypothetical protein
VOG0629	hypothetical protein
VOG0630	unannotated protein
VOG0631	unannotated protein
VOG0632	hypothetical protein
VOG0634	hypothetical protein
VOG0635	hypothetical protein
VOG0637	hypothetical protein
VOG0638	hypothetical protein
VOG0639	terminase
VOG0641	holin
VOG0642	adaptor Ad4
VOG0643	major head protein
VOG0644	upper collar connector
VOG0645	tail protein
VOG0647	tail protein
VOG0648	hypothetical protein
VOG0650	HTH DNA binding protein
VOG0651	hypothetical protein
VOG0655	hypothetical protein
VOG0656	hypothetical protein
VOG0657	hypothetical protein
VOG0658	hypothetical protein
VOG0660	hypothetical protein
VOG0661	membrane protein
VOG0668	DNA polymerase
VOG0672	hypothetical protein
VOG0673	hypothetical protein
VOG0674	unannotated protein
VOG0676	RNA ligase
VOG0677	metal-dependent phosphohydrolase
VOG0678	RNA-binding protein
VOG0679	hypothetical protein
VOG0681	hypothetical protein
VOG0682	hypothetical protein
VOG0685	hypothetical protein
VOG0686	unannotated protein
VOG0689	nuclease
VOG0691	portal protein
VOG0692	head morphogenesis
VOG0694	major head protein
VOG0695	head-tail adaptor
VOG0696	head-tail adaptor
VOG0697	minor head protein
VOG0698	minor head protein
VOG0700	hypothetical protein
VOG0701	hypothetical protein
VOG0703	holin
VOG0704	tail terminator
VOG0705	FtsK/SpoIIIE-like protein
VOG0706	replication initiation protein
VOG0707	hypothetical protein
VOG0709	internal head protein
VOG0712	hypothetical protein
VOG0713	hypothetical protein
VOG0714	hypothetical protein
VOG0717	hypothetical protein
VOG0719	hypothetical protein
VOG0720	portal protein
VOG0723	minor head protein
VOG0724	tail terminator
VOG0725	tail chaperone protein
VOG0727	minor tail protein
VOG0731	holin
VOG0733	hypothetical protein
VOG0734	hypothetical protein
VOG0735	metallo-protease
VOG0736	hypothetical protein
VOG0737	hypothetical protein
VOG0739	hypothetical protein
