ID	Function	Gene
TIGR00001	ribosomal protein bL35	rpmI
TIGR00002	ribosomal protein bS16	rpsP
TIGR00003	copper ion binding protein	
TIGR00004	reactive intermediate/imine deaminase	
TIGR00005	pseudouridine synthase, RluA family	
TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	rsmH
TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	hisA
TIGR00008	translation initiation factor IF-1	infA
TIGR00009	ribosomal protein bL28	rpmB
TIGR00010	hydrolase, TatD family	
TIGR00011	Cys-tRNA(Pro) deacylase	ybaK
TIGR00012	ribosomal protein uL29	rpmC
TIGR00013	4-oxalocrotonate tautomerase family enzyme	dmpI
TIGR00014	arsenate reductase (glutaredoxin)	arsC
TIGR00016	acetate kinase	ackA
TIGR00017	cytidylate kinase	cmk
TIGR00018	pantoate--beta-alanine ligase	panC
TIGR00019	peptide chain release factor 1	prfA
TIGR00020	peptide chain release factor 2	prfB
TIGR00021	ribose 5-phosphate isomerase A	rpiA
TIGR00022	YhcH/YjgK/YiaL family protein	
TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase	plsY
TIGR00024	putative phosphoesterase	
TIGR00025	ABC transporter efflux protein, DrrB family	
TIGR00026	deazaflavin-dependent oxidoreductase, nitroreductase family	
TIGR00027	methyltransferase, TIGR00027 family	
TIGR00028	toxin-antitoxin system PIN domain toxin	
TIGR00029	ribosomal protein bS20	rpsT
TIGR00030	ribosomal protein bS21	rpsU
TIGR00031	UDP-galactopyranose mutase	glf
TIGR00032	argininosuccinate synthase	argG
TIGR00033	chorismate synthase	aroC
TIGR00034	3-deoxy-7-phosphoheptulonate synthase	
TIGR00035	aspartate racemase	
TIGR00036	4-hydroxy-tetrahydrodipicolinate reductase	dapB
TIGR00037	translation elongation factor IF5A	eif5A
TIGR00038	translation elongation factor P	efp
TIGR00039	6-pyruvoyl tetrahydropterin synthase/QueD family protein	
TIGR00040	phosphodiesterase, MJ0936 family	
TIGR00041	dTMP kinase	tmk
TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	rdgB
TIGR00043	rRNA maturation RNase YbeY	ybeY
TIGR00044	pyridoxal phosphate enzyme, YggS family	
TIGR00045	glycerate kinase	
TIGR00046	RNA methyltransferase, RsmE family	
TIGR00048	23S rRNA (adenine(2503)-C(2))-methyltransferase	rlmN
TIGR00049	iron-sulfur cluster assembly accessory protein	
TIGR00050	RNA methyltransferase, TrmH family, group 1	
TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family	
TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family	
TIGR00053	addiction module toxin component, YafQ family	
TIGR00054	RIP metalloprotease RseP	rseP
TIGR00055	di-trans,poly-cis-decaprenylcistransferase	uppS
TIGR00056	ABC transport permease subunit	
TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family	
TIGR00058	hemerythrin family non-heme iron protein	
TIGR00059	ribosomal protein bL17	rplQ
TIGR00060	ribosomal protein uL18	rplR
TIGR00061	ribosomal protein bL21	rplU
TIGR00062	ribosomal protein bL27	rpmA
TIGR00063	GTP cyclohydrolase I	folE
TIGR00064	signal recognition particle-docking protein FtsY	ftsY
TIGR00065	cell division protein FtsZ	ftsZ
TIGR00066	gamma-glutamyltransferase	ggt
TIGR00067	glutamate racemase	murI
TIGR00068	lactoylglutathione lyase	gloA
TIGR00069	histidinol dehydrogenase	hisD
TIGR00070	ATP phosphoribosyltransferase	hisG
TIGR00071	tRNA pseudouridine(38-40) synthase	truA
TIGR00072	hydrogenase maturation protease	
TIGR00073	hydrogenase accessory protein HypB	hypB
TIGR00074	hydrogenase assembly chaperone HypC/HupF	hypC
TIGR00075	hydrogenase expression/formation protein HypD	hypD
TIGR00077	signal peptidase II	lspA
TIGR00078	nicotinate-nucleotide diphosphorylase (carboxylating)	nadC
TIGR00079	peptide deformylase	def
TIGR00080	protein-L-isoaspartate O-methyltransferase	pcm
TIGR00081	phosphoribosylaminoimidazolesuccinocarboxamide synthase	purC
TIGR00082	ribosome-binding factor A	rbfA
TIGR00083	riboflavin biosynthesis protein RibF	ribF
TIGR00084	Holliday junction DNA helicase RuvA	ruvA
TIGR00086	SsrA-binding protein	smpB
TIGR00087	5'/3'-nucleotidase SurE	surE
TIGR00088	tRNA (guanine(37)-N(1))-methyltransferase	trmD
TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family	
TIGR00090	ribosome silencing factor	rsfS
TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	trmB
TIGR00092	GTP-binding protein YchF	ychF
TIGR00093	pseudouridine synthase	
TIGR00094	tRNA pseudouridine synthase, TruD family	
TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	rsmD
TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI
TIGR00097	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	thiD
TIGR00099	Cof-like hydrolase	
TIGR00100	hydrogenase nickel insertion protein HypA	hypA
TIGR00101	urease accessory protein UreG	ureG
TIGR00103	DNA-binding protein, YbaB/EbfC family	
TIGR00104	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA	tsaA
TIGR00105	ribosomal protein bL31	rpmE
TIGR00106	uncharacterized protein, MTH1187 family	
TIGR00107	purine nucleoside phosphorylase	deoD
TIGR00109	ferrochelatase	hemH
TIGR00110	dihydroxy-acid dehydratase	ilvD
TIGR00111	mRNA surveillance protein pelota	
TIGR00112	pyrroline-5-carboxylate reductase	proC
TIGR00113	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	queA
TIGR00114	6,7-dimethyl-8-ribityllumazine synthase	ribH
TIGR00115	trigger factor	tig
TIGR00116	translation elongation factor Ts	tsf
TIGR00117	aconitate hydratase 2	acnB
TIGR00118	acetolactate synthase, large subunit, biosynthetic type	ilvB
TIGR00119	acetolactate synthase, small subunit	ilvN
TIGR00120	glutamate N-acetyltransferase/amino-acid acetyltransferase	argJ
TIGR00121	biotin--[acetyl-CoA-carboxylase] ligase	
TIGR00122	biotin operon repressor	
TIGR00123	cobalamin biosynthesis protein CbiM	cbiM
TIGR00124	[citrate (pro-3S)-lyase] ligase	citC
TIGR00125	cytidyltransferase-like domain	
TIGR00126	deoxyribose-phosphate aldolase	deoC
TIGR00127	isocitrate dehydrogenase, NADP-dependent	
TIGR00128	malonyl CoA-acyl carrier protein transacylase	fabD
TIGR00129	formate dehydrogenase family accessory protein FdhD	
TIGR00130	coenzyme F420-reducing hydrogenase, FrhD protein	frhD
TIGR00131	galactokinase	galK
TIGR00132	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit	gatA
TIGR00133	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	gatB
TIGR00134	glutamyl-tRNA(Gln) amidotransferase, subunit E	gatE
TIGR00135	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C subunit	gatC
TIGR00136	tRNA uridine 5-carboxymethylaminomethyl modification enzyme GidA	gidA
TIGR00137	tRNA:m(5)U-54 methyltransferase	trmFO
TIGR00138	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	rsmG
TIGR00139	homoaconitase	lysF
TIGR00140	hydrogenase expression/formation protein	hybD
TIGR00142	hydrogenase maturation peptidase HycI	hycI
TIGR00143	carbamoyltransferase HypF	hypF
TIGR00144	beta-ribofuranosylaminobenzene 5'-phosphate synthase family	
TIGR00145	FTR1 family protein	
TIGR00147	lipid kinase, YegS/Rv2252/BmrU family	
TIGR00148	decarboxylase, UbiD family	
TIGR00149	secondary thiamine-phosphate synthase enzyme	
TIGR00150	tRNA threonylcarbamoyl adenosine modification protein YjeE	
TIGR00151	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF
TIGR00152	dephospho-CoA kinase	coaE
TIGR00153	TIGR00153 family protein	
TIGR00154	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	ispE
TIGR00155	integral membrane protein, PqiA family	
TIGR00156	TIGR00156 family protein	
TIGR00157	ribosome small subunit-dependent GTPase A	rsgA
TIGR00158	ribosomal protein bL9	rplI
TIGR00159	TIGR00159 family protein	
TIGR00160	methylglyoxal synthase	mgsA
TIGR00161	TIGR00161 family protein	
TIGR00162	TIGR00162 family protein	
TIGR00163	phosphatidylserine decarboxylase	psd
TIGR00164	phosphatidylserine decarboxylase homolog	
TIGR00165	ribosomal protein bS18	rpsR
TIGR00166	ribosomal protein bS6	rpsF
TIGR00167	ketose-bisphosphate aldolase	
TIGR00168	translation initiation factor IF-3	infC
TIGR00169	3-isopropylmalate dehydrogenase	leuB
TIGR00170	3-isopropylmalate dehydratase, large subunit	leuC
TIGR00171	3-isopropylmalate dehydratase, small subunit	leuD
TIGR00172	septum formation protein Maf	maf
TIGR00173	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase	menD
TIGR00174	tRNA dimethylallyltransferase	miaA
TIGR00175	isocitrate dehydrogenase, NAD-dependent	
TIGR00176	molybdopterin-guanine dinucleotide biosynthesis protein B	mobB
TIGR00177	molybdenum cofactor synthesis domain	
TIGR00178	isocitrate dehydrogenase, NADP-dependent	
TIGR00179	UDP-N-acetylenolpyruvoylglucosamine reductase	murB
TIGR00180	ParB/RepB/Spo0J family partition protein	
TIGR00181	oligoendopeptidase F	pepF
TIGR00182	fatty acid/phospholipid synthesis protein PlsX	plsX
TIGR00183	isocitrate dehydrogenase, NADP-dependent	icd
TIGR00184	adenylosuccinate synthase	purA
TIGR00185	tRNA (cytidine(34)-2'-O)-methyltransferase	trmL
TIGR00186	RNA methyltransferase, TrmH family, group 3	
TIGR00187	riboflavin synthase, alpha subunit	ribE
TIGR00188	ribonuclease P protein component	rnpA
TIGR00189	acyl-CoA thioesterase II	tesB
TIGR00190	phosphomethylpyrimidine synthase	thiC
TIGR00191	homoserine kinase	thrB
TIGR00192	urease, beta subunit	ureB
TIGR00193	urease, gamma subunit	ureA
TIGR00194	excinuclease ABC subunit C	uvrC
TIGR00195	exodeoxyribonuclease III	xth
TIGR00196	YjeF family C-terminal domain	
TIGR00197	YjeF family N-terminal domain	
TIGR00198	catalase/peroxidase HPI	katG
TIGR00199	amidohydrolase, PncC family	
TIGR00200	competence/damage-inducible protein CinA N-terminal domain	
TIGR00201	comF family protein	
TIGR00202	carbon storage regulator	csrA
