L1	L2	L3	L4	ID	Function	EC	Gene
01_Fermentation	Bifidobacterium shunt			K00016	L-lactate dehydrogenase	1.1.1.27	LDH, ldh
01_Fermentation	Bifidobacterium shunt			K00134	glyceraldehyde 3-phosphate dehydrogenase	1.2.1.12	GAPDH, gapA
01_Fermentation	Bifidobacterium shunt			K00603	glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase	2.1.2.5 6.3.3.2	fctD
01_Fermentation	Bifidobacterium shunt			K13990	glutamate formiminotransferase / formiminotetrahydrofolate cyclodeaminase	2.1.2.5 4.3.1.4	FTCD
01_Fermentation	Bifidobacterium shunt			K00918	ADP-dependent phosphofructokinase/glucokinase	2.7.1.146 2.7.1.147	pfkC
01_Fermentation	Bifidobacterium shunt			K00872	homoserine kinase	2.7.1.39	thrB
01_Fermentation	Bifidobacterium shunt			K10705	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	1.2.1.12	GAPDHS
01_Fermentation	Bifidobacterium shunt			K06040			
01_Fermentation	Bifidobacterium shunt			K03416	methylmalonyl-CoA carboxyltransferase 5S subunit	2.1.3.1	
01_Fermentation	Bifidobacterium shunt			K08074	ADP-dependent glucokinase	2.7.1.147	ADPGK
01_Fermentation	Bifidobacterium shunt			K02203	phosphoserine / homoserine phosphotransferase	3.1.3.3 2.7.1.39	thrH
01_Fermentation	Bifidobacterium shunt			K01807	ribose 5-phosphate isomerase A	5.3.1.6	rpiA
01_Fermentation	Bifidobacterium shunt			K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	ntrY
01_Fermentation	Bifidobacterium shunt			K05715	2-phosphoglycerate kinase	2.7.2.16	2PGK
01_Fermentation	Bifidobacterium shunt			K01624	fructose-bisphosphate aldolase, class II	4.1.2.13	FBA, fbaA
01_Fermentation	Bifidobacterium shunt			K08302	tagatose 1,6-diphosphate aldolase GatY/KbaY	4.1.2.40	gatY-kbaY
01_Fermentation	Bifidobacterium shunt			K13830	pentafunctional AROM polypeptide	4.2.3.4 4.2.1.10 1.1.1.25 2.7.1.71 2.5.1.19	ARO1
01_Fermentation	Bifidobacterium shunt			K01776	glutamate racemase	5.1.1.3	murI
01_Fermentation	Bifidobacterium shunt			K13831	3-hexulose-6-phosphate synthase / 6-phospho-3-hexuloisomerase	4.1.2.43 5.3.1.27	hps-phi
01_Fermentation	Bifidobacterium shunt			K01808	ribose 5-phosphate isomerase B	5.3.1.6	rpiB
01_Fermentation	Bifidobacterium shunt			K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase	4.2.1.17 1.1.1.35 5.3.3.8	EHHADH
01_Fermentation	Bifidobacterium shunt			K01805	xylose isomerase	5.3.1.5	xylA
01_Fermentation	Bifidobacterium shunt			K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase	1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8	fadB
01_Fermentation	Acetylene degradation			K00001	alcohol dehydrogenase	1.1.1.1	adh
01_Fermentation	Acetylene degradation			K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	frmA, ADH5, adhC
01_Fermentation	Acetylene degradation			K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1	adhE
01_Fermentation	Acetylene degradation			K11440	choline dehydrogenase	1.1.1.1	gbsB
01_Fermentation	Acetylene degradation			K13951	alcohol dehydrogenase 1/7	1.1.1.1	ADH1_7
01_Fermentation	Acetylene degradation			K13952	alcohol dehydrogenase 6	1.1.1.1	ADH6
01_Fermentation	Acetylene degradation			K13953	alcohol dehydrogenase, propanol-preferring	1.1.1.1	adhP
01_Fermentation	Acetylene degradation			K13954	alcohol dehydrogenase	1.1.1.1	yiaY
01_Fermentation	Acetylene degradation			K13980	alcohol dehydrogenase 4	1.1.1.1	ADH4
01_Fermentation	Acetylene degradation			K04073	acetaldehyde dehydrogenase	1.2.1.10	mhpF
01_Fermentation	Acetylene degradation			K00132	acetaldehyde dehydrogenase (acetylating)	1.2.1.10	
01_Fermentation	Acetylene degradation			K00640	serine O-acetyltransferase	2.3.1.30	cysE
01_Fermentation	Acetylene degradation			K13598	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY	2.7.13.3	ntrY
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00109	2-hydroxyglutarate dehydrogenase	1.1.99.2	L2HGDH
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00232	acyl-CoA oxidase	1.3.3.6	ACOX1, ACOX3
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K03340	diaminopimelate dehydrogenase	1.4.1.16	dapdh
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01039	glutaconate CoA-transferase, subunit A	2.8.3.12	gctA
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K14472	succinyl-CoA:(S)-malate CoA-transferase subunit B	2.8.3.22	smtB
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01040	glutaconate CoA-transferase, subunit B	2.8.3.12	gctB
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K01026	propionate CoA-transferase	2.8.3.1	pct
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13497	anthranilate synthase/phosphoribosyltransferase	4.1.3.27 2.4.2.18	trpGD
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13501	anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase	4.1.3.27 4.1.1.48 5.3.1.24	TRP1
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13503	anthranilate synthase	4.1.3.27	trpEG
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02372	3-hydroxyacyl-[acyl-carrier-protein] dehydratase	4.2.1.59	fabZ
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K02509	2-oxo-hept-3-ene-1,7-dioate hydratase	4.2.1.-	hpaH
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K05554	aromatase	4.2.1.-	actVII
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K07534	cyclohex-1-ene-1-carboxyl-CoA hydratase	4.2.1.-	badK
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K07546	E-phenylitaconyl-CoA hydratase	4.2.1.-	bbsH
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K08299	crotonobetainyl-CoA hydratase	4.2.1.149	caiD
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K09483	3-dehydroshikimate dehydratase	4.2.1.118	quiC
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K10703	very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase	4.2.1.134	HACD, PHS1, PAS2
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K11336	3-vinyl bacteriochlorophyllide hydratase	4.2.1.165	bchF
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K00121	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase	1.1.1.284 1.1.1.1	frmA, ADH5, adhC
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K04072	acetaldehyde dehydrogenase / alcohol dehydrogenase	1.2.1.10 1.1.1.1	adhE
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K11440	choline dehydrogenase	1.1.1.1	gbsB
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13951	alcohol dehydrogenase 1/7	1.1.1.1	ADH1_7
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13952	alcohol dehydrogenase 6	1.1.1.1	ADH6
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13953	alcohol dehydrogenase, propanol-preferring	1.1.1.1	adhP
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13954	alcohol dehydrogenase	1.1.1.1	yiaY
01_Fermentation	Glutamate degradation V (via hydroxyglutarate)			K13980	alcohol dehydrogenase 4	1.1.1.1	ADH4
