locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NZ_AUWQ01000001.1_1_597_+	K00134	K00134	COG0057		phrog_21942		COG:COG0057	198	1.1e-116	389.4		GapA; Glycolysis
NZ_AUWQ01000001.1_608_2083_-		K00343	COG1007				KEGG:K00343	491	7.8e-158	525.0	7.1.1.2	nuoN; NADH-quinone oxidoreductase subunit N
NZ_AUWQ01000001.1_2125_3630_-		K00342	COG1008				KEGG:K00342	498	1.2e-177	590.5	7.1.1.2	nuoM; NADH-quinone oxidoreductase subunit M
NZ_AUWQ01000001.1_3627_5507_-		K00341	COG1009				COG:COG1009	626	2.3e-221	736.0		NuoL; NADH dehydrogenase
NZ_AUWQ01000001.1_5518_5817_-		K00340	COG0713				COG:COG0713	87	3.1e-41	138.5		NuoK; NADH dehydrogenase
NZ_AUWQ01000001.1_5814_6617_-		K00339	COG0839				COG:COG0839	254	1.3e-58	196.9		NuoJ; NADH dehydrogenase
NZ_AUWQ01000001.1_6614_7042_-		K00338	COG1143		phrog_29963	VOG28199	KEGG:K00338	125	7.2e-64	214.2	7.1.1.2	nuoI; NADH-quinone oxidoreductase subunit I
NZ_AUWQ01000001.1_7035_8252_-		K00337	COG1005				KEGG:K00337	385	7.3e-161	534.6	7.1.1.2	nuoH; NADH-quinone oxidoreductase subunit H
NZ_AUWQ01000001.1_8249_10549_-		K00336	COG1034		phrog_7800		KEGG:K00336	756	1.3e-268	892.5	7.1.1.2	nuoG; NADH-quinone oxidoreductase subunit G
NZ_AUWQ01000001.1_10546_11862_-		K00335	COG1894				COG:COG1894	438	1.3e-238	793.3		NuoF; NADH dehydrogenase
NZ_AUWQ01000001.1_11864_12586_-		K00334	COG1905				KEGG:K00334	238	2.7e-79	265.1	7.1.1.2	nuoE; NADH-quinone oxidoreductase subunit E
NZ_AUWQ01000001.1_12583_13875_-	K00333	K00333	COG0649				COG:COG0649	414	9.2e-185	612.8		NuoD; NADH dehydrogenase
NZ_AUWQ01000001.1_13875_14528_-	K00332	K00332	COG0852				FOAM:K00332	208	6.1e-72	241.5	7.1.1.2	nuoC; NADH-quinone oxidoreductase subunit C
NZ_AUWQ01000001.1_14525_15079_-	K00331	K00331	COG0377				COG:COG0377	184	6.9e-91	302.8		NuoB; NADH dehydrogenase
NZ_AUWQ01000001.1_15088_15465_-	K00330	K00330	COG0838				FOAM:K00330	125	1.4e-55	187.0	7.1.1.2	nuoA; NADH-quinone oxidoreductase subunit A
NZ_AUWQ01000001.1_15729_16130_-		K07657					KEGG:K07657	133	1.9e-06	25.4		phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB
NZ_AUWQ01000001.1_16160_16696_-			COG2353				COG:COG2353	178	2.8e-47	160.5		YceI; 
NZ_AUWQ01000001.1_16731_17132_-		K06893	COG3631				COG:COG3631	133	1.3e-16	59.4		YesE; 
NZ_AUWQ01000001.1_17201_17542_-												Hypothetical
NZ_AUWQ01000001.1_17539_18498_-		K00897	COG3173				COG:COG3173	319	7.2e-63	211.6		YcbJ; 
NZ_AUWQ01000001.1_18534_19772_-	K00249	K00249			phrog_15032		FOAM:K00249	401	4.5e-95	317.6	1.3.8.7	ACADM, acd; acyl-CoA dehydrogenase
NZ_AUWQ01000001.1_19775_20392_-		K21961	COG3226		phrog_25642		KEGG:K21961	200	4.9e-29	100.5		ethR, etaR; TetR/AcrR family transcriptional regulator, ethionamide resistance regulator
NZ_AUWQ01000001.1_20392_21288_-	K01640	K01640	COG0119				FOAM:K01640	289	1.5e-93	312.5	4.1.3.4	E4.1.3.4, HMGCL, hmgL; hydroxymethylglutaryl-CoA lyase
NZ_AUWQ01000001.1_21285_22484_-		K07749	COG1804				KEGG:K07749	390	2.8e-161	536.1	2.8.3.16	frc; formyl-CoA transferase
NZ_AUWQ01000001.1_22481_23656_-		K06889	COG1073		phrog_789		COG:COG1073	372	1.1e-16	56.9		FrsA; 
NZ_AUWQ01000001.1_23656_24747_-	K00451	K00451	COG3508				COG:COG3508	363	7e-106	352.8		HmgA; 
NZ_AUWQ01000001.1_25012_26031_-		K00344	COG1064		phrog_2640	VOG09811	KEGG:K00344	339	3.2e-95	317.8	1.6.5.5	qor, CRYZ; NADPH:quinone reductase
NZ_AUWQ01000001.1_26048_26500_-												Hypothetical
NZ_AUWQ01000001.1_26634_27839_-		K18244					KEGG:K18244	401	2.9e-78	261.7	1.3.99.-	mmgC; acyl-CoA dehydrogenase
NZ_AUWQ01000001.1_27872_29281_-		K18244					KEGG:K18244	469	9e-79	263.4	1.3.99.-	mmgC; acyl-CoA dehydrogenase
