NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	PANTHER	PTHR18934	ATP-DEPENDENT RNA HELICASE	2358	2621	4.5E-12	T	24-06-2023	-	-
NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	MobiDBLite	mobidb-lite	consensus disorder prediction	1	22	-	T	24-06-2023	-	-
NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	Gene3D	G3DSA:3.40.50.300	-	2492	2629	2.1E-19	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	Gene3D	G3DSA:3.40.50.300	-	2354	2484	4.0E-13	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	SUPERFAMILY	SSF56672	DNA/RNA polymerases	1583	1982	2.31E-29	T	24-06-2023	IPR043502	DNA/RNA polymerase superfamily
NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	MobiDBLite	mobidb-lite	consensus disorder prediction	1	57	-	T	24-06-2023	-	-
NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	2363	2627	1.84E-29	T	24-06-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase
NC_032616.1_orf105	50247a6588364e41078f53182b17d768	2785	ProSiteProfiles	PS51192	Superfamilies 1 and 2 helicase ATP-binding type-1 domain profile.	2360	2500	14.50787	T	24-06-2023	IPR014001	Helicase superfamily 1/2, ATP-binding domain
NC_032616.1_orf215	223e819e76719163932de44a758f4ee4	152	MobiDBLite	mobidb-lite	consensus disorder prediction	123	152	-	T	24-06-2023	-	-
NC_032616.1_orf215	223e819e76719163932de44a758f4ee4	152	MobiDBLite	mobidb-lite	consensus disorder prediction	115	152	-	T	24-06-2023	-	-
NC_032616.1_orf215	223e819e76719163932de44a758f4ee4	152	MobiDBLite	mobidb-lite	consensus disorder prediction	1	25	-	T	24-06-2023	-	-
NC_032616.1_orf238	de2a94a4cfe6839b3edebdd54305f011	146	MobiDBLite	mobidb-lite	consensus disorder prediction	1	28	-	T	24-06-2023	-	-
