Target Name	ID	EC value	E-Value (sequence)	Score (domain)
strain_RW2_final_assembly_1788459_1789565_-	K00005		2.3e-156	517.6
strain_RW2_final_assembly_338506_339444_-	K00008		1.7e-29	91.2
strain_RW2_final_assembly_2077341_2078486_+	K00009		9e-141	467.2
strain_RW2_final_assembly_1035624_1036865_-	K00012		3.2e-128	426.0
strain_RW2_final_assembly_19474_20691_+	K00013		7.3e-168	557.6
strain_RW2_final_assembly_2407751_2408536_+	K00014		8.7e-96	318.0
strain_RW2_final_assembly_1777017_1777979_+	K00015		2.6e-124	413.0
strain_RW2_final_assembly_460097_461053_-	K00016		4e-120	399.0
strain_RW2_final_assembly_710271_711254_-	K00016		2.5e-101	337.1
strain_RW2_final_assembly_301828_302700_+	K00020		2.3e-105	350.5
strain_RW2_final_assembly_580221_581156_-	K00024		7e-127	421.5
strain_RW2_final_assembly_2236176_2237402_-	K00027		1.6e-198	659.6
strain_RW2_final_assembly_581187_582458_-	K00030		9e-83	275.5
strain_RW2_final_assembly_1162034_1162918_+	K00033		2.4e-107	357.2
strain_RW2_final_assembly_1143323_1144204_+	K00033		2.6e-102	340.4
strain_RW2_final_assembly_1878323_1879120_+	K00034		4.4e-116	384.5
strain_RW2_final_assembly_1739297_1740046_+	K00038		4.1e-99	329.1
strain_RW2_final_assembly_1180240_1180989_+	K00038		8.4e-81	268.9
strain_RW2_final_assembly_2875506_2876549_+	K00057		1.3e-154	513.3
strain_RW2_final_assembly_538587_539750_-	K00058		5.6e-87	289.7
strain_RW2_final_assembly_2773377_2774117_+	K00059		7e-108	358.4
strain_RW2_final_assembly_186449_187273_+	K00059		1.5e-79	265.3
strain_RW2_final_assembly_730460_731362_+	K00059		3.6e-77	257.3
strain_RW2_final_assembly_408936_409700_+	K00059		1.5e-70	235.5
strain_RW2_final_assembly_279189_279899_-	K00059		6.4e-62	207.1
strain_RW2_final_assembly_346860_347936_-	K00060		1.1e-146	485.5
strain_RW2_final_assembly_2183396_2184148_-	K00067		6.5e-38	128.3
strain_RW2_final_assembly_1941602_1942522_+	K00075		7.2e-113	375.5
strain_RW2_final_assembly_2712329_2713168_+	K00077		8e-51	170.8
strain_RW2_final_assembly_1651063_1652526_-	K00088		2.4e-201	668.1
strain_RW2_final_assembly_1191270_1192439_-	K00096		1.1e-103	342.5
strain_RW2_final_assembly_2826995_2828140_+	K00099		2e-172	571.5
strain_RW2_final_assembly_1279574_1280983_+	K00104		4.1e-202	670.8
strain_RW2_final_assembly_1313357_1315012_-	K00111		7e-166	550.5
strain_RW2_final_assembly_1724016_1725572_+	K00116		7.5e-236	781.0
strain_RW2_final_assembly_1835627_1836169_+	K00124		4.8e-40	135.5
strain_RW2_final_assembly_387147_388580_-	K00131		2.1e-215	713.4
strain_RW2_final_assembly_2143746_2144741_+	K00133		7.2e-133	441.7
strain_RW2_final_assembly_571652_572746_-	K00134		4.8e-151	502.0
strain_RW2_final_assembly_770498_771505_-	K00134		1.3e-150	500.6
strain_RW2_final_assembly_1415972_1417384_+	K00135		6.1e-218	722.9
strain_RW2_final_assembly_2291366_2292886_-	K00138		0	1094.3
strain_RW2_final_assembly_1976398_1977423_+	K00145		3.5e-125	415.6
strain_RW2_final_assembly_2444330_2445469_-	K00148		1.1e-100	333.8
strain_RW2_final_assembly_2425393_2428239_+	K00164		0	1146.9
