	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_bitScore	peptidase_eVal	peptidase_identity	pfam_hits	heme_regulatory_motif_count
MZ334498_MZ334498.1_1	MZ334498	MZ334498.1	1	312	863	-1	D										Halobacterial output domain 1 [PF18545.4]	0
MZ334498_MZ334498.1_2	MZ334498	MZ334498.1	2	1272	2048	1	E											0
MZ334498_MZ334498.1_3	MZ334498	MZ334498.1	3	2193	2300	1	E											0
MZ334498_MZ334498.1_4	MZ334498	MZ334498.1	4	2303	2497	1	E											0
MZ334498_MZ334498.1_5	MZ334498	MZ334498.1	5	2833	4524	1	E											0
MZ334498_MZ334498.1_6	MZ334498	MZ334498.1	6	4539	5978	1	E											0
MZ334498_MZ334498.1_7	MZ334498	MZ334498.1	7	5978	6268	1	E											0
MZ334498_MZ334498.1_8	MZ334498	MZ334498.1	8	6265	7029	1	E											0
MZ334498_MZ334498.1_9	MZ334498	MZ334498.1	9	7036	7461	1	E											0
MZ334498_MZ334498.1_10	MZ334498	MZ334498.1	10	7484	7999	1	E											0
MZ334498_MZ334498.1_11	MZ334498	MZ334498.1	11	8040	8996	1	E											0
MZ334498_MZ334498.1_12	MZ334498	MZ334498.1	12	9042	9485	1	E											0
MZ334498_MZ334498.1_13	MZ334498	MZ334498.1	13	9485	9823	1	E											0
MZ334498_MZ334498.1_14	MZ334498	MZ334498.1	14	9826	12942	1	E											0
MZ334498_MZ334498.1_15	MZ334498	MZ334498.1	15	12944	13165	1	E											0
MZ334498_MZ334498.1_16	MZ334498	MZ334498.1	16	13202	13711	1	E											0
MZ334498_MZ334498.1_17	MZ334498	MZ334498.1	17	13720	15012	1	E											0
MZ334498_MZ334498.1_18	MZ334498	MZ334498.1	18	15041	15586	1	E											0
MZ334498_MZ334498.1_19	MZ334498	MZ334498.1	19	15640	16110	1	E											0
MZ334498_MZ334498.1_20	MZ334498	MZ334498.1	20	16058	16420	1	E											0
MZ334498_MZ334498.1_21	MZ334498	MZ334498.1	21	16423	18240	1	E											0
MZ334498_MZ334498.1_22	MZ334498	MZ334498.1	22	18241	18804	1	E											0
MZ334498_MZ334498.1_23	MZ334498	MZ334498.1	23	18801	20234	1	E											0
MZ334498_MZ334498.1_24	MZ334498	MZ334498.1	24	20237	20674	1	E											0
MZ334498_MZ334498.1_25	MZ334498	MZ334498.1	25	20671	21036	1	E											0
MZ334498_MZ334498.1_26	MZ334498	MZ334498.1	26	21100	21426	1	E											0
MZ334498_MZ334498.1_27	MZ334498	MZ334498.1	27	21423	22658	1	D										Baseplate J-like protein [PF04865.17]	0
MZ334498_MZ334498.1_28	MZ334498	MZ334498.1	28	22663	23316	1	E											0
MZ334498_MZ334498.1_29	MZ334498	MZ334498.1	29	23317	24723	1	E											0
MZ334498_MZ334498.1_30	MZ334498	MZ334498.1	30	24741	25943	1	E											0
MZ334498_MZ334498.1_31	MZ334498	MZ334498.1	31	25945	26316	1	E											0
MZ334498_MZ334498.1_32	MZ334498	MZ334498.1	32	26338	26829	1	E											0
MZ334498_MZ334498.1_33	MZ334498	MZ334498.1	33	26837	27718	-1	D										Family of unknown function (DUF6065) [PF19541.2]	0
MZ334498_MZ334498.1_34	MZ334498	MZ334498.1	34	27785	27910	1	E											0
MZ334498_MZ334498.1_35	MZ334498	MZ334498.1	35	28152	30572	1	C	K00525	ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]								Ribonucleotide reductase, barrel domain [PF02867.18]; Ribonucleotide reductase, all-alpha domain [PF00317.24]	0
MZ334498_MZ334498.1_36	MZ334498	MZ334498.1	36	30639	33566	-1	D										N-6 DNA Methylase [PF02384.19]; Eco57I restriction-modification methylase [PF07669.14]; MmeI, DNA-methyltransferase domain [PF20473.1]	0
MZ334498_MZ334498.1_37	MZ334498	MZ334498.1	37	33651	33926	-1	E											0
MZ334498_MZ334498.1_38	MZ334498	MZ334498.1	38	34295	35491	1	D										Phage integrase family [PF00589.25]	0
MZ334498_MZ334498.1_39	MZ334498	MZ334498.1	39	35492	35959	-1	E											0
MZ334498_MZ334498.1_40	MZ334498	MZ334498.1	40	36060	36233	-1	D										Uncharacterized protein containing a Zn-ribbon (DUF2116) [PF09889.12]	0
MZ334498_MZ334498.1_41	MZ334498	MZ334498.1	41	36230	37594	-1	C	K14415	tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]								tRNA-splicing ligase RtcB [PF01139.20]	0
MZ334498_MZ334498.1_42	MZ334498	MZ334498.1	42	37842	38054	-1	E											0
MZ334498_MZ334498.1_43	MZ334498	MZ334498.1	43	38051	38308	-1	E											0
MZ334498_MZ334498.1_44	MZ334498	MZ334498.1	44	38305	38490	-1	E											0
MZ334498_MZ334498.1_45	MZ334498	MZ334498.1	45	38441	38701	-1	E											0
MZ334498_MZ334498.1_46	MZ334498	MZ334498.1	46	38698	39126	-1	E											0
MZ334498_MZ334498.1_47	MZ334498	MZ334498.1	47	39113	39670	-1	C	K01494	dCTP deaminase [EC:3.5.4.13]								dUTPase [PF00692.22]; 2'-deoxycytidine 5'-triphosphate deaminase (DCD) [PF06559.14]	0
MZ334498_MZ334498.1_48	MZ334498	MZ334498.1	48	39667	40371	-1	C	K03465	thymidylate synthase (FAD) [EC:2.1.1.148]								Thymidylate synthase complementing protein [PF02511.18]	0
MZ334498_MZ334498.1_49	MZ334498	MZ334498.1	49	40368	40535	-1	E											0
MZ334498_MZ334498.1_50	MZ334498	MZ334498.1	50	40625	43189	-1	D										DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]; Predicted 3'-5' exonuclease related to the exonuclease domain of PolB [PF10108.12]	0
MZ334498_MZ334498.1_51	MZ334498	MZ334498.1	51	43307	43780	-1	E											0
MZ334498_MZ334498.1_52	MZ334498	MZ334498.1	52	43962	44876	-1	D										Family of unknown function (DUF6610) [PF20314.1]	0
MZ334498_MZ334498.1_53	MZ334498	MZ334498.1	53	44890	45063	-1	E											0
MZ334498_MZ334498.1_54	MZ334498	MZ334498.1	54	45060	45179	-1	E											0
MZ334498_MZ334498.1_55	MZ334498	MZ334498.1	55	45172	45372	-1	E											0
MZ334498_MZ334498.1_56	MZ334498	MZ334498.1	56	45373	45552	-1	E											0
MZ334498_MZ334498.1_57	MZ334498	MZ334498.1	57	45552	45680	-1	E											0
MZ334498_MZ334498.1_58	MZ334498	MZ334498.1	58	45680	46696	-1	D										PD-(D/E)XK nuclease superfamily [PF12705.10]	0
MZ334498_MZ334498.1_59	MZ334498	MZ334498.1	59	46689	46841	-1	E											0
MZ334498_MZ334498.1_60	MZ334498	MZ334498.1	60	46838	46999	-1	E											0
MZ334498_MZ334498.1_61	MZ334498	MZ334498.1	61	46996	47160	-1	E											0
MZ334498_MZ334498.1_62	MZ334498	MZ334498.1	62	47157	47438	-1	D										Domain of unknown function (DUF6378) [PF19905.2]	0
MZ334498_MZ334498.1_63	MZ334498	MZ334498.1	63	47422	47808	-1	E											0
MZ334498_MZ334498.1_64	MZ334498	MZ334498.1	64	47827	48177	-1	E											0
MZ334498_MZ334498.1_65	MZ334498	MZ334498.1	65	48179	48604	-1	E											0
MZ334498_MZ334498.1_66	MZ334498	MZ334498.1	66	48693	49874	-1	E											0
MZ334498_MZ334498.1_67	MZ334498	MZ334498.1	67	49871	51106	-1	E											0
MZ334498_MZ334498.1_68	MZ334498	MZ334498.1	68	51232	52716	-1	E											0
MZ334498_MZ334498.1_69	MZ334498	MZ334498.1	69	52794	53045	-1	E											0
MZ334498_MZ334498.1_70	MZ334498	MZ334498.1	70	53096	54193	-1	E											0
MZ334498_MZ334498.1_71	MZ334498	MZ334498.1	71	54550	54762	-1	E											0
MZ334498_MZ334498.1_72	MZ334498	MZ334498.1	72	54759	54890	-1	E											0
MZ334498_MZ334498.1_73	MZ334498	MZ334498.1	73	54891	55301	-1	E											0
MZ334498_MZ334498.1_74	MZ334498	MZ334498.1	74	55484	55618	-1	E											0
MZ334498_MZ334498.1_75	MZ334498	MZ334498.1	75	55620	56492	-1	D			MER0807710	I87	MER0807710 - family I87 unassigned peptidase inhibitors () [I87.UPW]#I87#{inhibitor unit: 89-331}~source R4TJL2~	True	428.0	1.818e-134	0.849	SPFH domain / Band 7 family [PF01145.28]	0
MZ334498_MZ334498.1_76	MZ334498	MZ334498.1	76	56810	57361	1	E											0
MZ334498_MZ334498.1_77	MZ334498	MZ334498.1	77	57358	57843	-1	E											0
MZ334498_MZ334498.1_78	MZ334498	MZ334498.1	78	58134	58613	1	E											0
MZ334498_MZ334498.1_79	MZ334498	MZ334498.1	79	58610	59074	1	D										ERCC4 domain [PF02732.18]	0
MZ334498_MZ334498.1_80	MZ334498	MZ334498.1	80	59165	59335	-1	E											0
MZ334498_MZ334498.1_81	MZ334498	MZ334498.1	81	59392	59550	-1	E											0
MZ334498_MZ334498.1_82	MZ334498	MZ334498.1	82	59567	59905	-1	E											0
MZ334498_MZ334498.1_83	MZ334498	MZ334498.1	83	59905	60201	-1	E											0
MZ334498_MZ334498.1_84	MZ334498	MZ334498.1	84	60198	60566	-1	E											0
MZ334498_MZ334498.1_85	MZ334498	MZ334498.1	85	60647	60919	-1	E											0
MZ334498_MZ334498.1_86	MZ334498	MZ334498.1	86	60919	61350	-1	E											0
MZ334498_MZ334498.1_87	MZ334498	MZ334498.1	87	61353	61778	-1	E											0
MZ334498_MZ334498.1_88	MZ334498	MZ334498.1	88	61925	62191	-1	E											0
MZ334498_MZ334498.1_89	MZ334498	MZ334498.1	89	62192	62590	-1	E											0
MZ334498_MZ334498.1_90	MZ334498	MZ334498.1	90	62640	62864	-1	E											0
MZ334498_MZ334498.1_91	MZ334498	MZ334498.1	91	63061	63303	-1	E											0
MZ334498_MZ334498.1_92	MZ334498	MZ334498.1	92	63296	63574	-1	E											0
MZ334498_MZ334498.1_93	MZ334498	MZ334498.1	93	63598	65403	-1	D										Helicase C-terminal domain [PF13307.9]; Type III restriction enzyme, res subunit [PF04851.18]	0
MZ334498_MZ334498.1_94	MZ334498	MZ334498.1	94	65481	65633	-1	E											0
MZ334498_MZ334498.1_95	MZ334498	MZ334498.1	95	65815	66144	-1	E											0
MZ334498_MZ334498.1_96	MZ334498	MZ334498.1	96	66152	66805	-1	E											0
MZ334498_MZ334498.1_97	MZ334498	MZ334498.1	97	66813	67262	-1	E											0
MZ334498_MZ334498.1_98	MZ334498	MZ334498.1	98	67513	68364	-1	E											0
MZ334498_MZ334498.1_99	MZ334498	MZ334498.1	99	68381	68569	-1	E											0
MZ334498_MZ334498.1_100	MZ334498	MZ334498.1	100	68569	68736	-1	E											0
MZ334498_MZ334498.1_101	MZ334498	MZ334498.1	101	69018	69287	-1	E											0
MZ334498_MZ334498.1_102	MZ334498	MZ334498.1	102	69284	69649	-1	E											0
MZ334498_MZ334498.1_103	MZ334498	MZ334498.1	103	69668	70336	-1	E											0
MZ334498_MZ334498.1_104	MZ334498	MZ334498.1	104	70336	70455	-1	E											0
MZ334498_MZ334498.1_105	MZ334498	MZ334498.1	105	70455	70703	-1	E											0
MZ334498_MZ334498.1_106	MZ334498	MZ334498.1	106	70706	70813	-1	E											0
MZ334498_MZ334498.1_107	MZ334498	MZ334498.1	107	70813	71088	-1	E											0
MZ334498_MZ334498.1_108	MZ334498	MZ334498.1	108	71085	71228	-1	E											0
MZ334498_MZ334498.1_109	MZ334498	MZ334498.1	109	71459	71599	-1	E											0
MZ334498_MZ334498.1_110	MZ334498	MZ334498.1	110	71602	71892	-1	E											0
MZ334498_MZ334498.1_111	MZ334498	MZ334498.1	111	71993	72352	-1	E											0
MZ334498_MZ334498.1_112	MZ334498	MZ334498.1	112	72675	73025	-1	E											0
MZ334498_MZ334498.1_113	MZ334498	MZ334498.1	113	73031	73360	-1	E											0
MZ334498_MZ334498.1_114	MZ334498	MZ334498.1	114	73463	74362	-1	E											0
MZ334498_MZ334498.1_115	MZ334498	MZ334498.1	115	75755	76258	-1	E											0
