Target Name	ID	EC value	E-Value (sequence)	Score (domain)
NZ_ASHR01000014.1_250261_251505_+	AA7		3.2e-19	62.8
NZ_ASHR01000014.1_250261_251505_+	AA7		3.2e-19	62.8
NZ_ASHR01000014.1_256790_257644_+	CE14		2.9e-41	133.8
NZ_ASHR01000014.1_29582_30799_+	CE9		6.4e-17	31.6
NZ_ASHR01000014.1_172190_173137_-	GT21		4.2e-09	30.0
NZ_ASHR01000014.1_130801_131988_-	GT4		8.5e-32	99.8
NZ_ASHR01000014.1_130801_131988_-	GT4		8.5e-32	99.8
NZ_ASHR01000014.1_173146_174246_-	GT4		7.6e-11	35.2
NZ_ASHR01000014.1_173146_174246_-	GT4		7.6e-11	35.2
NZ_ASHR01000014.1_56914_59478_-	GT51		1.4e-54	177.6
NZ_ASHR01000014.1_175853_178780_+	GT94		4.6e-26	84.6
NZ_ASHR01000014.1_175853_178780_+	GT94		4.6e-26	84.6
