locus_tag	ftype	length_bp	gene	EC_number	COG	product
LIPMLPBD_00001	CDS	369				hypothetical protein
LIPMLPBD_00002	CDS	987				hypothetical protein
LIPMLPBD_00003	CDS	1776	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
LIPMLPBD_00004	CDS	510			COG0586	putative membrane protein
LIPMLPBD_00005	CDS	636				hypothetical protein
LIPMLPBD_00006	CDS	1011	gatD_1	1.1.1.251	COG1063	Galactitol 1-phosphate 5-dehydrogenase
LIPMLPBD_00007	CDS	1743		4.2.1.162		6-deoxy-6-sulfo-D-gluconate dehydratase
LIPMLPBD_00008	CDS	1296				hypothetical protein
LIPMLPBD_00009	CDS	894	lacF			Lactose transport system permease protein LacF
LIPMLPBD_00010	CDS	810				hypothetical protein
LIPMLPBD_00011	CDS	1380	murG_1	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LIPMLPBD_00012	CDS	1911	acs	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
LIPMLPBD_00013	CDS	762	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
LIPMLPBD_00014	CDS	912				hypothetical protein
LIPMLPBD_00015	CDS	1437	guaB1	1.-.-.-	COG0516	putative oxidoreductase
LIPMLPBD_00016	CDS	1227	pikC	1.14.15.33		Cytochrome P450 monooxygenase PikC
LIPMLPBD_00017	CDS	786		1.1.1.52		3-alpha-hydroxycholanate dehydrogenase (NAD(+))
LIPMLPBD_00018	CDS	297	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
LIPMLPBD_00019	CDS	777				hypothetical protein
LIPMLPBD_00020	CDS	1314	pmt	2.4.1.109	COG1928	putative dolichyl-phosphate-mannose--protein mannosyltransferase
LIPMLPBD_00021	CDS	852	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
LIPMLPBD_00022	CDS	1578	metG	6.1.1.10	COG0143	Methionine--tRNA ligase
