	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	vogdb_categories	vogdb_id	vogdb_description	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000995.1_1	QGNH01000995.1	QGNH01000995.1	1	2	1720	1	E					0	False	F
QGNH01000995.1_2	QGNH01000995.1	QGNH01000995.1	2	1731	2243	1	E					0	False	F
QGNH01000995.1_3	QGNH01000995.1	QGNH01000995.1	3	2245	2784	1	E					0	False	F
QGNH01000995.1_4	QGNH01000995.1	QGNH01000995.1	4	2784	3461	1	E					0	False	F
QGNH01000995.1_5	QGNH01000995.1	QGNH01000995.1	5	3476	3877	1	E					0	False	F
QGNH01000995.1_6	QGNH01000995.1	QGNH01000995.1	6	3976	4209	1	E					0	False	F
QGNH01000995.1_7	QGNH01000995.1	QGNH01000995.1	7	4220	5872	1	E					0	False	F
QGNH01000995.1_8	QGNH01000995.1	QGNH01000995.1	8	5882	6721	1	E					0	False	
QGNH01000995.1_9	QGNH01000995.1	QGNH01000995.1	9	6724	9813	1	E					0	False	F
QGNH01000995.1_10	QGNH01000995.1	QGNH01000995.1	10	9834	10715	1	E					0	False	F
QGNH01000995.1_11	QGNH01000995.1	QGNH01000995.1	11	10723	11301	1	E					0	False	F
QGNH01000995.1_12	QGNH01000995.1	QGNH01000995.1	12	11303	12154	1	E					0	False	F
