	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	pfam_hits	heme_regulatory_motif_count
GCA_030144925.1_OQ473815.1_1	GCA_030144925.1	OQ473815.1	1	57	191	-1	D	Ribbon-helix-helix protein, copG family [PF01402.24]; Family of unknown function (DUF6290) [PF19807.2]	0
GCA_030144925.1_OQ473815.1_2	GCA_030144925.1	OQ473815.1	2	191	463	-1	E		0
GCA_030144925.1_OQ473815.1_3	GCA_030144925.1	OQ473815.1	3	558	1178	1	E		0
GCA_030144925.1_OQ473815.1_4	GCA_030144925.1	OQ473815.1	4	1189	1515	1	E		0
GCA_030144925.1_OQ473815.1_5	GCA_030144925.1	OQ473815.1	5	1520	1750	-1	E		0
GCA_030144925.1_OQ473815.1_6	GCA_030144925.1	OQ473815.1	6	1776	2132	-1	E		0
GCA_030144925.1_OQ473815.1_7	GCA_030144925.1	OQ473815.1	7	2246	4120	1	D	DEAD/DEAH box helicase [PF00270.32]; Type III restriction enzyme, res subunit [PF04851.18]; Helicase conserved C-terminal domain [PF00271.34]	0
GCA_030144925.1_OQ473815.1_8	GCA_030144925.1	OQ473815.1	8	4901	5509	1	E		0
GCA_030144925.1_OQ473815.1_9	GCA_030144925.1	OQ473815.1	9	5660	6187	-1	E		0
GCA_030144925.1_OQ473815.1_10	GCA_030144925.1	OQ473815.1	10	6296	6718	-1	E		0
GCA_030144925.1_OQ473815.1_11	GCA_030144925.1	OQ473815.1	11	6822	7388	1	E		0
GCA_030144925.1_OQ473815.1_12	GCA_030144925.1	OQ473815.1	12	7500	8078	1	E		0
GCA_030144925.1_OQ473815.1_13	GCA_030144925.1	OQ473815.1	13	8096	8458	1	E		0
GCA_030144925.1_OQ473815.1_14	GCA_030144925.1	OQ473815.1	14	8589	8882	1	D	STIV B116-like [PF08960.13]	0
GCA_030144925.1_OQ473815.1_15	GCA_030144925.1	OQ473815.1	15	8889	9071	1	E		0
GCA_030144925.1_OQ473815.1_16	GCA_030144925.1	OQ473815.1	16	9068	9442	1	E		0
GCA_030144925.1_OQ473815.1_17	GCA_030144925.1	OQ473815.1	17	9466	9978	1	E		0
GCA_030144925.1_OQ473815.1_18	GCA_030144925.1	OQ473815.1	18	9930	10715	1	E		0
GCA_030144925.1_OQ473815.1_19	GCA_030144925.1	OQ473815.1	19	10722	10874	1	E		0
GCA_030144925.1_OQ473815.1_20	GCA_030144925.1	OQ473815.1	20	10878	11480	1	E		0
GCA_030144925.1_OQ473815.1_21	GCA_030144925.1	OQ473815.1	21	11532	12188	1	E		0
GCA_030144925.1_OQ473815.1_22	GCA_030144925.1	OQ473815.1	22	12199	12687	1	E		0
GCA_030144925.1_OQ473815.1_23	GCA_030144925.1	OQ473815.1	23	12725	13000	1	E		0
GCA_030144925.1_OQ473815.1_24	GCA_030144925.1	OQ473815.1	24	13000	13992	1	E		0
GCA_030144925.1_OQ473815.1_25	GCA_030144925.1	OQ473815.1	25	13997	14323	-1	E		0
GCA_030144925.1_OQ473815.1_26	GCA_030144925.1	OQ473815.1	26	14369	15160	1	D	Glycosyl transferases group 1 [PF00534.23]	0
GCA_030144925.1_OQ473815.1_27	GCA_030144925.1	OQ473815.1	27	15170	15706	1	E		0
GCA_030144925.1_OQ473815.1_28	GCA_030144925.1	OQ473815.1	28	15757	15972	1	E		0
GCA_030144925.1_OQ473815.1_29	GCA_030144925.1	OQ473815.1	29	16019	16432	1	E		0
GCA_030144925.1_OQ473815.1_30	GCA_030144925.1	OQ473815.1	30	16429	17070	1	D	Nucleotidyl transferase [PF00483.26]; MobA-like NTP transferase domain [PF12804.10]	0
GCA_030144925.1_OQ473815.1_31	GCA_030144925.1	OQ473815.1	31	17057	17707	-1	E		0
GCA_030144925.1_OQ473815.1_32	GCA_030144925.1	OQ473815.1	32	17713	18783	-1	E		0
GCA_030144925.1_OQ473815.1_33	GCA_030144925.1	OQ473815.1	33	18801	19451	-1	E		0
GCA_030144925.1_OQ473815.1_34	GCA_030144925.1	OQ473815.1	34	19483	21072	-1	E		0
GCA_030144925.1_OQ473815.1_35	GCA_030144925.1	OQ473815.1	35	21077	21991	-1	E		0
GCA_030144925.1_OQ473815.1_36	GCA_030144925.1	OQ473815.1	36	21936	22967	-1	E		0
GCA_030144925.1_OQ473815.1_37	GCA_030144925.1	OQ473815.1	37	23003	23716	-1	E		0
GCA_030144925.1_OQ473815.1_38	GCA_030144925.1	OQ473815.1	38	23691	24050	-1	E		0
GCA_030144925.1_OQ473815.1_39	GCA_030144925.1	OQ473815.1	39	24047	24316	-1	E		0
GCA_030144925.1_OQ473815.1_40	GCA_030144925.1	OQ473815.1	40	24399	24605	1	E		0
GCA_030144925.1_OQ473815.1_41	GCA_030144925.1	OQ473815.1	41	24590	24889	-1	E		0
GCA_030144925.1_OQ473815.1_42	GCA_030144925.1	OQ473815.1	42	24862	25161	-1	E		0
GCA_030144925.1_OQ473815.1_43	GCA_030144925.1	OQ473815.1	43	25243	25659	1	E		0
GCA_030144925.1_OQ473815.1_44	GCA_030144925.1	OQ473815.1	44	25659	25973	1	E		0
GCA_030144925.1_OQ473815.1_45	GCA_030144925.1	OQ473815.1	45	25863	26189	-1	E		0
GCA_030144925.1_OQ473815.1_46	GCA_030144925.1	OQ473815.1	46	26195	26566	-1	E		0
GCA_030144925.1_OQ473815.1_47	GCA_030144925.1	OQ473815.1	47	26659	27486	1	E		0
GCA_030144925.1_OQ473815.1_48	GCA_030144925.1	OQ473815.1	48	27490	28392	1	E		0
GCA_030144925.1_OQ473815.1_49	GCA_030144925.1	OQ473815.1	49	28415	28666	1	E		0
GCA_030144925.1_OQ473815.1_50	GCA_030144925.1	OQ473815.1	50	28667	29332	-1	E		0
GCA_030144925.1_OQ473815.1_51	GCA_030144925.1	OQ473815.1	51	29398	30153	1	E		0
