	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	viral_id	viral_hit	viral_RBH	viral_identity	viral_bitScore	viral_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01001035.1_1	QGNH01001035.1	QGNH01001035.1	1	2	310	1	E																		0	False	F
QGNH01001035.1_2	QGNH01001035.1	QGNH01001035.1	2	340	957	1	E	YP_009611842.1	YP_009611842.1 hypothetical protein FDI40_gp177 [Agrobacterium phage Atu_ph07]	False	0.323	106.0	9.248e-25									VOG11604	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001035.1_3	QGNH01001035.1	QGNH01001035.1	3	1118	2830	1	D							MER1153494	S01D	MER1153494 - subfamily S1D non-peptidase homologues (Methanosarcina acetivorans) [S01.UND]#S01D#{peptidase unit: 242-467}~source Q8TI44~	False	0.379	68.0	4.193e-10	PKD domain [PF18911.3]; PKD domain [PF00801.23]				0	False	PF
QGNH01001035.1_4	QGNH01001035.1	QGNH01001035.1	4	2827	3222	1	E																		0	False	F
QGNH01001035.1_5	QGNH01001035.1	QGNH01001035.1	5	3266	3496	1	E																		0	False	F
QGNH01001035.1_6	QGNH01001035.1	QGNH01001035.1	6	3519	5507	1	E	YP_003084218.1	YP_003084218.1 virion structural protein [Cyanophage PSS2]	False	0.417	101.0	2.074e-20												0	False	F
QGNH01001035.1_7	QGNH01001035.1	QGNH01001035.1	7	5459	5665	1	E																		0	False	
QGNH01001035.1_8	QGNH01001035.1	QGNH01001035.1	8	6116	6520	1	E	YP_009794271.1	YP_009794271.1 hypothetical protein HOS33_gp097 [Erwinia phage vB_EamM_Y3]	False	0.389	78.0	3.38e-16									VOG00926	REFSEQ hypothetical protein; Xu	Xu	0	False	F
QGNH01001035.1_9	QGNH01001035.1	QGNH01001035.1	9	6742	6984	1	E																		0	False	F
QGNH01001035.1_10	QGNH01001035.1	QGNH01001035.1	10	7221	7637	1	E																		0	False	F
QGNH01001035.1_11	QGNH01001035.1	QGNH01001035.1	11	7634	7954	1	E																		0	False	F
QGNH01001035.1_12	QGNH01001035.1	QGNH01001035.1	12	7951	9582	1	D	YP_009199099.1	YP_009199099.1 putative peptidase M23 [Brevibacillus phage Jenst]	False	0.33	74.0	3.177e-12	MER0006286	M23B	MER0006286 - subfamily M23B unassigned peptidases (Streptomyces coelicolor) [M23.UPB]#M23B#{peptidase unit: 223-378}~source Q9RK67~	False	0.395	96.0	5.098e-19	Peptidase family M23 [PF01551.25]				0	False	PF
QGNH01001035.1_13	QGNH01001035.1	QGNH01001035.1	13	9579	9839	-1	E																		0	False	F
QGNH01001035.1_14	QGNH01001035.1	QGNH01001035.1	14	10182	11162	1	E																		0	False	F
