target	query	e-value	score	length	start	end
NZ_ASHR01000014.1_198826_199194_+	phrog_472	2.4e-33	108.6	122	49	120
NZ_ASHR01000014.1_262915_263163_-	phrog_14459	7.6e-29	94.9	82	2	80
NZ_ASHR01000014.1_232640_233224_+	phrog_10255	1.2e-07	25.4	194	10	97
NZ_ASHR01000014.1_94512_95177_+	phrog_38247	9.7e-30	97.5	221	7	205
NZ_ASHR01000014.1_33826_35400_+	phrog_857	5.2e-61	200.1	524	298	522
NZ_ASHR01000014.1_12846_14357_+	phrog_857	1.6e-72	238.5	503	23	488
NZ_ASHR01000014.1_290561_291760_-	phrog_857	1.9e-49	162.6	399	147	397
NZ_ASHR01000014.1_261334_262842_+	phrog_10912	1.9e-24	79.0	502	185	494
NZ_ASHR01000014.1_49972_51246_+	phrog_11129	6e-97	283.7	424	67	407
NZ_ASHR01000014.1_49972_51246_+	phrog_11129	6e-97	40.2	424	2	59
NZ_ASHR01000014.1_23087_24196_+	phrog_11145	9.7e-10	31.0	369	94	326
NZ_ASHR01000014.1_278645_280432_+	phrog_11199	2.4e-164	541.8	595	18	577
NZ_ASHR01000014.1_24259_25680_+	phrog_11528	1.2e-85	281.0	473	19	333
NZ_ASHR01000014.1_299804_300754_-	phrog_11528	2.4e-67	221.2	316	12	315
NZ_ASHR01000014.1_254507_255739_+	phrog_11528	4.9e-21	68.8	410	23	296
NZ_ASHR01000014.1_82967_83356_+	phrog_11671	2.3e-21	70.3	129	2	110
NZ_ASHR01000014.1_84257_84700_+	phrog_11671	4.8e-11	36.8	147	2	110
NZ_ASHR01000014.1_218356_219483_+	phrog_11787	2e-78	258.0	375	8	374
NZ_ASHR01000014.1_158266_159528_+	phrog_11787	9e-58	123.5	420	187	420
NZ_ASHR01000014.1_158266_159528_+	phrog_11787	9e-58	64.8	420	7	179
NZ_ASHR01000014.1_256790_257644_+	phrog_11796	3.7e-11	35.3	284	1	160
NZ_ASHR01000014.1_46404_49301_+	phrog_5846	5e-68	223.7	965	222	516
NZ_ASHR01000014.1_212749_213240_-	phrog_11961	1.4e-09	31.9	163	46	123
NZ_ASHR01000014.1_110048_111943_-	phrog_12316	5e-87	118.1	631	425	584
NZ_ASHR01000014.1_110048_111943_-	phrog_12316	5e-87	169.6	631	82	398
NZ_ASHR01000014.1_72567_74270_+	phrog_1271	5.1e-08	26.4	567	372	437
NZ_ASHR01000014.1_38491_42429_-	phrog_8822	4.6e-35	63.4	1304	1106	1227
NZ_ASHR01000014.1_38491_42429_-	phrog_3677	1.4e-36	118.5	1304	88	667
NZ_ASHR01000014.1_38491_42429_-	phrog_7816	4.8e-39	79.8	1304	988	1123
NZ_ASHR01000014.1_174379_175752_-	phrog_16914	4.4e-14	45.8	457	341	451
NZ_ASHR01000014.1_174379_175752_-	phrog_13094	4.1e-19	62.7	457	8	277
NZ_ASHR01000014.1_223027_224469_-	phrog_1319	1.7e-76	217.5	480	5	296
NZ_ASHR01000014.1_223027_224469_-	phrog_1319	1.7e-76	28.4	480	344	454
NZ_ASHR01000014.1_95174_96073_+	phrog_1319	2.6e-30	98.6	299	6	194
NZ_ASHR01000014.1_225586_226488_-	phrog_1319	1.3e-15	46.7	300	14	206
NZ_ASHR01000014.1_65719_68421_+	phrog_13226	8.3e-197	649.2	900	3	887
NZ_ASHR01000014.1_195058_196236_-	phrog_15032	6e-12	37.4	392	74	374
NZ_ASHR01000014.1_265669_266532_-	phrog_15334	1.5e-19	63.9	287	20	282
NZ_ASHR01000014.1_108351_109289_+	phrog_15334	7.5e-10	32.4	312	196	284
NZ_ASHR01000014.1_98538_100010_+	phrog_15577	3.4e-134	441.4	490	33	485
NZ_ASHR01000014.1_87120_87440_-	phrog_151	9e-21	68.4	106	5	100
NZ_ASHR01000014.1_68418_69050_+	phrog_761	7.4e-43	140.8	210	1	202
NZ_ASHR01000014.1_86176_87042_-	phrog_157	3.7e-82	269.7	288	1	278
NZ_ASHR01000014.1_292300_293361_+	phrog_1724	2.4e-24	51.4	353	219	327
NZ_ASHR01000014.1_69070_70230_+	phrog_22983	6.6e-61	199.9	386	75	382
NZ_ASHR01000014.1_102476_103501_-	phrog_17890	4.9e-58	190.4	341	1	335
NZ_ASHR01000014.1_115944_116975_-	phrog_174	2.5e-14	35.8	343	59	140
NZ_ASHR01000014.1_2220_3836_+	phrog_18374	1.3e-82	271.9	538	5	521
NZ_ASHR01000014.1_62015_63592_+	phrog_26606	6e-13	42.0	525	344	473
NZ_ASHR01000014.1_118902_119732_-	phrog_19169	3.8e-43	138.6	276	4	275
NZ_ASHR01000014.1_91546_92118_+	phrog_19305	4.1e-17	55.5	190	3	186
NZ_ASHR01000014.1_143958_145625_-	phrog_20109	2.5e-81	267.4	519	12	490
NZ_ASHR01000014.1_205771_207159_+	phrog_20109	1.3e-52	165.4	462	8	456
NZ_ASHR01000014.1_70848_72419_+	phrog_20134	1.8e-31	33.4	523	91	159
NZ_ASHR01000014.1_70848_72419_+	phrog_20134	1.8e-31	67.6	523	198	514
NZ_ASHR01000014.1_263710_264189_-	phrog_20402	4.5e-22	72.3	159	4	138
NZ_ASHR01000014.1_26953_28320_-	phrog_2034	2e-74	244.2	455	22	450
NZ_ASHR01000014.1_100155_101480_+	phrog_2034	1.8e-73	241.2	441	17	435
NZ_ASHR01000014.1_227494_228900_+	phrog_2034	5.3e-62	203.4	468	19	439
NZ_ASHR01000014.1_30820_32016_+	phrog_2034	3.1e-56	184.5	398	5	392
NZ_ASHR01000014.1_112059_113414_-	phrog_2034	1.2e-53	175.9	451	16	445
NZ_ASHR01000014.1_288308_289759_+	phrog_2034	1.8e-46	151.8	483	7	402
NZ_ASHR01000014.1_37799_38215_-	phrog_731	1e-39	130.0	138	23	137
NZ_ASHR01000014.1_12077_12829_+	phrog_731	4.1e-73	239.2	250	26	247
NZ_ASHR01000014.1_219750_221474_+	phrog_20720	5.7e-46	151.3	574	16	449
NZ_ASHR01000014.1_3945_4949_+	phrog_20966	1.1e-73	124.8	334	3	167
NZ_ASHR01000014.1_3945_4949_+	phrog_20966	1.1e-73	119.9	334	195	332
NZ_ASHR01000014.1_4946_5884_+	phrog_20966	2.6e-35	114.0	312	98	310
NZ_ASHR01000014.1_135770_137329_+	phrog_293	1.4e-90	193.8	519	12	236
NZ_ASHR01000014.1_135770_137329_+	phrog_293	1.4e-90	102.1	519	272	490
NZ_ASHR01000014.1_20246_21781_+	phrog_293	5.6e-83	101.1	511	265	498
NZ_ASHR01000014.1_20246_21781_+	phrog_293	5.6e-83	169.7	511	6	227
NZ_ASHR01000014.1_103515_105302_-	phrog_2392	4.9e-149	491.4	589	16	582
NZ_ASHR01000014.1_105718_106644_+	phrog_293	4.6e-65	213.8	308	4	243
NZ_ASHR01000014.1_214096_215526_+	phrog_5353	1.1e-13	40.2	476	266	406
NZ_ASHR01000014.1_214096_215526_+	phrog_3980	2.1e-15	50.5	476	5	239
NZ_ASHR01000014.1_130801_131988_-	phrog_2170	7.5e-13	42.1	395	156	331
NZ_ASHR01000014.1_89059_90438_-	phrog_1	7.6e-44	144.3	459	17	445
NZ_ASHR01000014.1_161413_162375_-	phrog_23460	6.4e-10	31.7	320	78	299
NZ_ASHR01000014.1_6133_7779_-	phrog_293	1.2e-140	214.3	548	1	261
NZ_ASHR01000014.1_6133_7779_-	phrog_293	1.2e-140	246.1	548	289	538
NZ_ASHR01000014.1_16522_18375_+	phrog_2392	7.8e-160	527.3	617	34	614
NZ_ASHR01000014.1_151942_153666_+	phrog_2392	5.9e-160	527.7	574	3	571
NZ_ASHR01000014.1_153668_155722_+	phrog_2392	1.3e-175	576.6	684	126	663
NZ_ASHR01000014.1_180634_181851_-	phrog_293	5.3e-43	141.1	388	22	215
NZ_ASHR01000014.1_253363_254520_+	phrog_24681	4.1e-28	92.5	385	49	362
NZ_ASHR01000014.1_268626_269198_+	phrog_25642	5.5e-11	35.8	190	2	63
NZ_ASHR01000014.1_286039_287631_+	phrog_26092	7.1e-40	130.7	530	34	291
NZ_ASHR01000014.1_229716_230771_+	phrog_26092	1.6e-19	63.8	351	83	324
NZ_ASHR01000014.1_231576_232643_+	phrog_2640	1.1e-45	149.5	355	13	346
NZ_ASHR01000014.1_7816_8769_-	phrog_2640	6.1e-33	102.2	314	7	312
NZ_ASHR01000014.1_21785_23053_+	phrog_27181	2.2e-27	33.4	422	16	173
NZ_ASHR01000014.1_21785_23053_+	phrog_27181	2.2e-27	60.4	422	258	399
NZ_ASHR01000014.1_51243_52319_+	phrog_27440	8.3e-34	111.0	358	17	350
NZ_ASHR01000014.1_236715_240275_+	phrog_27849	2e-15	36.1	1186	101	207
NZ_ASHR01000014.1_236715_240275_+	phrog_34613	1e-76	251.9	1186	614	990
NZ_ASHR01000014.1_60362_62305_-	phrog_36676	2.1e-43	142.1	647	69	620
NZ_ASHR01000014.1_274296_275972_+	phrog_36676	4.4e-65	213.6	558	54	555
NZ_ASHR01000014.1_148555_151206_-	phrog_29784	2.4e-09	29.1	588	103	323
NZ_ASHR01000014.1_235522_236103_+	phrog_30156	7.7e-47	153.4	193	2	190
NZ_ASHR01000014.1_164804_166405_-	phrog_30623	1.7e-15	42.7	533	83	217
NZ_ASHR01000014.1_14548_15066_+	phrog_31116	9.4e-29	94.2	172	2	148
NZ_ASHR01000014.1_230771_231553_+	phrog_3142	1.1e-62	205.6	260	13	257
NZ_ASHR01000014.1_56914_59478_-	phrog_33002	1.4e-22	65.0	854	96	266
NZ_ASHR01000014.1_127965_129752_-	phrog_33286	9.5e-59	185.8	595	15	551
NZ_ASHR01000014.1_162494_164602_+	phrog_6705	5.3e-81	266.4	702	9	664
NZ_ASHR01000014.1_109289_110044_+	phrog_33738	1.7e-21	67.6	251	1	241
NZ_ASHR01000014.1_248387_248983_+	phrog_34989	7.5e-09	29.6	198	2	66
NZ_ASHR01000014.1_244565_245845_+	phrog_35063	1.6e-185	610.8	426	1	420
NZ_ASHR01000014.1_54702_55586_+	phrog_592	2.9e-60	197.0	294	94	284
NZ_ASHR01000014.1_296312_297802_+	phrog_35649	8.9e-96	315.0	496	13	491
NZ_ASHR01000014.1_117883_118878_-	phrog_37857	7.4e-74	242.3	331	7	330
NZ_ASHR01000014.1_178822_179697_+	phrog_3980	2e-106	349.6	291	1	289
NZ_ASHR01000014.1_10343_10939_-	phrog_434	1.5e-22	74.0	198	26	193
NZ_ASHR01000014.1_207207_208205_+	phrog_540	1.3e-96	317.5	332	1	328
NZ_ASHR01000014.1_208208_209626_+	phrog_8784	2.5e-45	148.1	472	13	186
NZ_ASHR01000014.1_208208_209626_+	phrog_540	2.5e-34	112.8	472	191	430
NZ_ASHR01000014.1_264410_265633_-	phrog_5879	1.6e-97	320.9	407	3	405
NZ_ASHR01000014.1_88252_88461_-	phrog_66	6.9e-13	43.3	69	4	68
NZ_ASHR01000014.1_215538_216515_+	phrog_619	9.3e-52	169.6	325	34	289
NZ_ASHR01000014.1_1_465_+	phrog_6386	4.3e-23	74.0	154	2	154
NZ_ASHR01000014.1_79224_80669_+	phrog_6397	1.9e-39	127.2	481	3	433
NZ_ASHR01000014.1_81465_82814_+	phrog_6397	2e-35	116.1	449	3	313
NZ_ASHR01000014.1_147066_148523_+	phrog_6397	8e-34	36.2	485	9	70
NZ_ASHR01000014.1_147066_148523_+	phrog_6397	8e-34	76.2	485	152	437
NZ_ASHR01000014.1_297802_298719_+	phrog_6397	1.1e-22	73.7	305	5	300
NZ_ASHR01000014.1_259110_259358_-	phrog_66	6.3e-12	40.1	82	1	58
NZ_ASHR01000014.1_88763_89062_-	phrog_66	1.9e-08	28.9	73	7	56
NZ_ASHR01000014.1_105331_105534_-	phrog_686	1.6e-09	31.9	67	19	64
NZ_ASHR01000014.1_32063_33763_+	phrog_7035	1.9e-38	43.2	566	82	166
NZ_ASHR01000014.1_32063_33763_+	phrog_7035	1.9e-38	81.3	566	292	434
NZ_ASHR01000014.1_303555_304385_-	phrog_789	4.5e-23	75.4	276	12	264
NZ_ASHR01000014.1_97292_98527_+	phrog_789	5.8e-22	45.7	411	143	261
NZ_ASHR01000014.1_97292_98527_+	phrog_789	5.8e-22	25.3	411	337	395
NZ_ASHR01000014.1_289814_290539_+	phrog_789	5.4e-12	36.2	241	4	239
NZ_ASHR01000014.1_9583_10326_-	phrog_789	3.1e-10	31.6	247	2	212
NZ_ASHR01000014.1_193148_193864_+	phrog_841	1.3e-22	74.2	238	23	232
NZ_ASHR01000014.1_167778_169091_+	phrog_9148	2e-86	284.2	437	1	393
