locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
NC_054652_3_143_+												Hypothetical
NC_054652_421_1176_+		K07369			phrog_853	VOG04154, VOG04154	PHROG:phrog_853	251	3.6e-82	267.5		major tail protein
NC_054652_1198_1392_-						VOG24075	VOG:VOG24075	64	2.7e-51	164.0		REFSEQ hypothetical protein
NC_054652_1395_1547_-						VOG24074	VOG:VOG24074	50	2.4e-38	122.0		REFSEQ hypothetical protein
NC_054652_1566_1883_-					phrog_6022	VOG00540	VOG:VOG00540	105	2.6e-39	126.7		sp|O64212|VG19_BPMD2 Gene 19 protein
NC_054652_2038_2166_-					phrog_17424	VOG20085	VOG:VOG20085	42	8.8e-32	100.8		REFSEQ hypothetical protein
NC_054652_2263_2970_+					phrog_791	VOG07468	VOG:VOG07468	235	2.3e-86	280.6		REFSEQ hypothetical protein
NC_054652_2970_6251_+			COG5281		phrog_1107	VOG28676	PHROG:phrog_1107	1093	0	1479.5		tail length tape measure protein
NC_054652_6271_6471_+												Hypothetical
NC_054652_6721_7191_+					phrog_396	VOG00951	VOG:VOG00951	156	2.8e-48	155.8		REFSEQ minor tail protein
NC_054652_7305_7547_+												Hypothetical
NC_054652_7560_10040_+			COG4733		phrog_469	VOG02597	VOG:VOG02597	826	3.7e-258	851.0		REFSEQ tail protein
NC_054652_10079_12532_+	K10804	K10804	COG2755		phrog_38670, phrog_9750	VOG02140	VOG:VOG02140	817	0	1198.0		REFSEQ tail fiber protein
NC_054652_12678_13133_-												Hypothetical
NC_054652_13130_16036_-		K19789	COG1061		phrog_16	VOG00542, VOG04421	KEGG:K19789	968	5.2e-129	423.6		radD; DNA repair protein RadD
NC_054652_16091_16612_-					phrog_9002	VOG02415	PHROG:phrog_9002	173	6.1e-73	236.6		single strand DNA binding protein
NC_054652_16629_17108_-					phrog_253	VOG09135	VOG:VOG09135	146	5.2e-42	136.3		REFSEQ Mu Gam-like end protection
NC_054652_17077_17919_-			COG0467		phrog_124	VOG00709	VOG:VOG00709	280	3e-51	167.0		sp|O31907|YORG_BACSU SPbeta prophage-derived uncharacterized protein YorG
NC_054652_18054_18296_+		K22302	COG4197		phrog_35	VOG00194	VOG:VOG00194	80	2.6e-27	87.5		sp|P18679|RCRO_BPHK0 8.4 kDa cro protein
NC_054652_18343_18738_-												Hypothetical
NC_054652_18735_21065_-					phrog_3022	VOG00911	PHROG:phrog_3022	757	8.4e-181	594.5		DNA primase
NC_054652_21065_21478_-												Hypothetical
NC_054652_21478_21726_-						VOG02669	VOG:VOG02669	82	4.4e-14	44.5		REFSEQ hypothetical protein
NC_054652_22378_22524_+												Hypothetical
NC_054652_22705_22890_+					phrog_16924	VOG20088	VOG:VOG20088	61	1.3e-41	132.6		REFSEQ hypothetical protein
NC_054652_22906_23184_+					phrog_22725	VOG12657	VOG:VOG12657	92	2.3e-35	112.7		REFSEQ hypothetical protein
NC_054652_23191_23592_+					phrog_492	VOG00759	VOG:VOG00759	133	3.7e-26	83.9		REFSEQ hypothetical protein
NC_054652_23753_23911_+						VOG02332	VOG:VOG02332	52	4.7e-22	69.8		REFSEQ hypothetical protein
NC_054652_23944_24105_+					phrog_18384	VOG20089	VOG:VOG20089	53	6.1e-30	94.8		REFSEQ hypothetical protein
NC_054652_24206_24622_+												Hypothetical
NC_054652_24726_25238_+					phrog_99	VOG00011	PHROG:phrog_99	170	1.7e-66	216.3		HNH endonuclease
NC_054652_25231_26655_+		K06909	COG1783		phrog_3717, phrog_6672	VOG07294	COG:COG1783	474	6.4e-109	356.5		XtmB; 
NC_054652_26676_26966_-					phrog_415		PHROG:phrog_415	96	3.1e-13	35.3		polynucleotide kinase
NC_054652_27056_27295_+					phrog_13301	VOG20071	VOG:VOG20071	79	8.2e-51	162.0		REFSEQ hypothetical protein
NC_054652_27327_27815_+					phrog_1040	VOG00301	VOG:VOG00301	162	1.8e-44	144.8		REFSEQ peptidase HslV family
NC_054652_27948_28130_+					phrog_26819	VOG22969	VOG:VOG22969	60	1.9e-49	157.5		REFSEQ hypothetical protein
NC_054652_28130_28327_+					phrog_36357	VOG21916	VOG:VOG21916	65	3.5e-44	140.9		REFSEQ hypothetical protein
NC_054652_28387_29781_+		K09961	COG3567		phrog_146	VOG00562	PHROG:phrog_146	464	1.2e-84	276.9		portal protein
NC_054652_29876_30052_+					phrog_4605	VOG00116	VOG:VOG00116	58	1.1e-14	46.2		sp|Q5UQ10|YL192_MIMIV Uncharacterized protein L192
NC_054652_30089_30781_+					phrog_681	VOG00116	VOG:VOG00116	230	2.1e-40	130.9		sp|Q5UQ10|YL192_MIMIV Uncharacterized protein L192
NC_054652_30778_31725_+			COG2369		phrog_758	VOG03625	VOG:VOG03625	315	1.8e-122	400.6		sp|P45918|YQBB_BACSU Uncharacterized protein YqbB
NC_054652_31739_31933_-					phrog_20630	VOG03859	VOG:VOG03859	64	4.3e-43	137.7		REFSEQ hypothetical protein
NC_054652_31935_32729_-					phrog_7798	VOG01280	VOG:VOG01280	258	1.9e-74	242.5		REFSEQ hypothetical protein
NC_054652_32857_33147_-					phrog_2315	VOG00554	VOG:VOG00554	96	2.1e-23	74.7		REFSEQ hypothetical protein
NC_054652_33247_33681_+	K01185	K01185	COG3772	GH24	phrog_7	VOG00595	COG:COG3772	144	1.4e-64	210.2		RrrD; 
NC_054652_33898_34392_+					phrog_312	VOG01260	VOG:VOG01260	164	5.4e-52	168.5		sp|O64363|VG55_BPN15 Protein gp55
NC_054652_34416_34631_-						VOG20076	VOG:VOG20076	47	3e-23	73.9		REFSEQ hypothetical protein
NC_054652_34628_34849_-					phrog_34266	VOG00900	VOG:VOG00900	67	3.8e-25	80.9		REFSEQ hypothetical protein
NC_054652_34849_35319_-												Hypothetical
NC_054652_35319_35519_-					phrog_14963	VOG20079	VOG:VOG20079	66	1.7e-42	136.3		REFSEQ hypothetical protein
NC_054652_35614_35829_+						VOG22970	VOG:VOG22970	71	1.7e-56	180.2		REFSEQ hypothetical protein
NC_054652_35913_36104_+												Hypothetical
NC_054652_36101_36328_+					phrog_1785	VOG10969	VOG:VOG10969	75	3.8e-40	128.3		REFSEQ hypothetical protein
NC_054652_36325_36561_+					phrog_599	VOG00044	VOG:VOG00044	78	6.9e-19	60.0		REFSEQ Lar-like restriction alleviation protein
NC_054652_36551_37021_+					phrog_1687	VOG20539	VOG:VOG20539	156	7.7e-80	258.4		REFSEQ MarR family transcrition regulator
NC_054652_37039_37284_+						VOG22971	VOG:VOG22971	81	1.6e-46	148.8		REFSEQ hypothetical protein
NC_054652_37281_37625_+					phrog_14549	VOG20080	VOG:VOG20080	114	1.2e-71	230.3		REFSEQ hypothetical protein
NC_054652_37636_37776_+												Hypothetical
NC_054652_37808_39211_+												Hypothetical
NC_054652_39211_39684_+					phrog_766	VOG07472	VOG:VOG07472	157	3.8e-65	210.5		REFSEQ head decoration
NC_054652_39684_40757_+			COG4834		phrog_771	VOG04467	PHROG:phrog_771	357	6.2e-136	444.9		virion structural protein
NC_054652_40799_40996_+					phrog_2138	VOG20082	VOG:VOG20082	65	1.8e-43	138.6		REFSEQ hypothetical protein
NC_054652_41083_41661_-	K02338	K02338			phrog_3007	VOG02467	VOG:VOG02467	192	7.2e-75	243.6		REFSEQ RusA-like Holliday junction resolvase
NC_054652_41803_43146_-		K18960			phrog_2914	VOG00650	PHROG:phrog_2914	75	8.9e-27	85.5		endonuclease VII
NC_054652_42245_43240_-	K00558	K00558	COG0270		phrog_363	VOG00281	VOG:VOG00281	267	2.8e-45	146.6		sp|P34877|MTSA_LACLC Type II methyltransferase M1.ScrFI
NC_054652_43240_44055_-		K03497	COG1475		phrog_1033	VOG01350	VOG:VOG01350	271	3.6e-91	297.9		REFSEQ ParB-like partition protein
NC_054652_44176_44466_-					phrog_1273	VOG00040	VOG:VOG00040	96	9.2e-27	86.1		sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region
NC_054652_44697_44984_+					phrog_13738	VOG20084	PHROG:phrog_13738	95	8.7e-60	191.2		membrane protein
NC_054652_44962_45354_+					phrog_786	VOG04502	VOG:VOG04502	130	6.3e-47	151.0		REFSEQ hypothetical protein
NC_054652_45473_45817_+												Hypothetical
NC_054652_45821_46237_+					phrog_5	VOG00130	PHROG:phrog_5	138	6.1e-18	57.4		tail completion or Neck1 protein
NC_054652_46234_46617_+					phrog_782	VOG01644	VOG:VOG01644	127	2.2e-52	168.8		REFSEQ hypothetical protein
NC_054652_46641_46904_-					phrog_35112	VOG20540	VOG:VOG20540	88	1e-41	132.6		REFSEQ hypothetical protein
