	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
GCF_000688235.1_NZ_JHYO01000001.1_1	GCF_000688235.1	NZ_JHYO01000001.1	1	3	227	-1	D										Transposase domain (DUF772) [PF05598.14]					0
GCF_000688235.1_NZ_JHYO01000001.1_2	GCF_000688235.1	NZ_JHYO01000001.1	2	377	1132	-1	D										Domain of unknown function (DUF4167) [PF13763.9]					0
GCF_000688235.1_NZ_JHYO01000001.1_3	GCF_000688235.1	NZ_JHYO01000001.1	3	1371	2222	-1	C	K02493	release factor glutamine methyltransferase [EC:2.1.1.297]								Methyltransferase small domain [PF05175.17]; PrmC N-terminal domain [PF17827.4]; Methyltransferase domain [PF13847.9]; N-6 DNA Methylase [PF02384.19]; Methyltransferase domain [PF13649.9]; Putative RNA methylase family UPF0020 [PF01170.21]; Conserved hypothetical protein 95 [PF03602.18]; Mycolic acid cyclopropane synthetase [PF02353.23]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.16]; Methyltransferase domain [PF08241.15]; RNA cap guanine-N2 methyltransferase [PF09445.13]					0
GCF_000688235.1_NZ_JHYO01000001.1_4	GCF_000688235.1	NZ_JHYO01000001.1	4	2227	3300	-1	C	K02835	peptide chain release factor 1								PCRF domain [PF03462.21]; RF-1 domain [PF00472.23]					0
GCF_000688235.1_NZ_JHYO01000001.1_5	GCF_000688235.1	NZ_JHYO01000001.1	5	3303	4565	-1	C	K02492	glutamyl-tRNA reductase [EC:1.2.1.70]								Glutamyl-tRNAGlu reductase, N-terminal domain [PF05201.18]; Shikimate / quinate 5-dehydrogenase [PF01488.23]; Glutamyl-tRNAGlu reductase, dimerisation domain [PF00745.23]					0
GCF_000688235.1_NZ_JHYO01000001.1_6	GCF_000688235.1	NZ_JHYO01000001.1	6	4585	5832	-1	C	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]								Histidyl-tRNA synthetase [PF13393.9]; Anticodon binding domain [PF03129.23]					0
GCF_000688235.1_NZ_JHYO01000001.1_7	GCF_000688235.1	NZ_JHYO01000001.1	7	5829	6944	-1	C	K03526	(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]								GcpE protein [PF04551.17]					0
GCF_000688235.1_NZ_JHYO01000001.1_8	GCF_000688235.1	NZ_JHYO01000001.1	8	7072	8322	-1	C	K15539	cytoskeleton protein RodZ								Helix-turn-helix domain [PF13413.9]; Domain of unknown function (DUF4115) [PF13464.9]					0
GCF_000688235.1_NZ_JHYO01000001.1_9	GCF_000688235.1	NZ_JHYO01000001.1	9	8398	10632	-1	C	K08484	phosphotransferase system, enzyme I, PtsP [EC:2.7.3.9]								PEP-utilising enzyme, PEP-binding domain [PF02896.21]; PEP-utilising enzyme, N-terminal [PF05524.16]; GAF domain [PF13185.9]; PEP-utilising enzyme, mobile domain [PF00391.26]; GAF domain [PF01590.29]; GAF domain [PF13492.9]					0
GCF_000688235.1_NZ_JHYO01000001.1_10	GCF_000688235.1	NZ_JHYO01000001.1	10	10675	11697	-1	C	K02371	enoyl-[acyl-carrier protein] reductase II [EC:1.3.1.9]								Nitronate monooxygenase [PF03060.18]					0
GCF_000688235.1_NZ_JHYO01000001.1_11	GCF_000688235.1	NZ_JHYO01000001.1	11	11708	12934	-1	C	K00928	aspartate kinase [EC:2.7.2.4]								Amino acid kinase family [PF00696.31]; ACT domain [PF13840.9]; ACT domain [PF01842.28]					0
GCF_000688235.1_NZ_JHYO01000001.1_12	GCF_000688235.1	NZ_JHYO01000001.1	12	13160	13927	1	E															0
GCF_000688235.1_NZ_JHYO01000001.1_13	GCF_000688235.1	NZ_JHYO01000001.1	13	14025	14759	1	C	K00568	2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.222 2.1.1.64]								Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08242.15]; Mycolic acid cyclopropane synthetase [PF02353.23]; Tellurite resistance protein TehB [PF03848.17]; Protein of unknown function (DUF1698) [PF08003.14]; ubiE/COQ5 methyltransferase family [PF01209.21]; Ribosomal protein L11 methyltransferase (PrmA) [PF06325.16]					0
GCF_000688235.1_NZ_JHYO01000001.1_14	GCF_000688235.1	NZ_JHYO01000001.1	14	14760	15935	-1	E															0
GCF_000688235.1_NZ_JHYO01000001.1_15	GCF_000688235.1	NZ_JHYO01000001.1	15	16068	17975	1	C	K05366	penicillin-binding protein 1A [EC:2.4.1.129 3.4.16.4]	MER0000458	SPE	MER0000458 - penicillin-binding protein 2 (Bacillus subtilis) [X52.001]#SPE#{peptidase unit: 185-559}~source PBPD_BACSU~	False	0.237	115.0	1.913e-24	Transglycosylase [PF00912.25]; Penicillin binding protein transpeptidase domain [PF00905.25]	GT51	GT51 murein polymerase (EC 2.4.1.129).	2.4.1.129	GT51.hmm	0
GCF_000688235.1_NZ_JHYO01000001.1_16	GCF_000688235.1	NZ_JHYO01000001.1	16	18019	18669	1	D			MER0283342	C56	MER0283342 - ES1 protein homolog, mitochondrial (Azospirillum lipoferum) [C56.975]#C56#{peptidase unit: 79-153}~source YP_005039789~	False	0.7	102.0	3.998e-23	DJ-1/PfpI family [PF01965.27]					0
GCF_000688235.1_NZ_JHYO01000001.1_17	GCF_000688235.1	NZ_JHYO01000001.1	17	18747	19682	-1	C	K00930	acetylglutamate kinase [EC:2.7.2.8]								Amino acid kinase family [PF00696.31]					0
GCF_000688235.1_NZ_JHYO01000001.1_18	GCF_000688235.1	NZ_JHYO01000001.1	18	19679	20332	-1	C	K03978	GTP-binding protein								Ethanolamine utilisation - propanediol utilisation [PF10662.12]; 50S ribosome-binding GTPase [PF01926.26]; RsgA GTPase [PF03193.19]; MnmE helical domain [PF12631.10]					0
GCF_000688235.1_NZ_JHYO01000001.1_19	GCF_000688235.1	NZ_JHYO01000001.1	19	20428	22146	-1	C	K03217	YidC/Oxa1 family membrane protein insertase								YidC periplasmic domain [PF14849.9]; 60Kd inner membrane protein [PF02096.23]					0
