target	query	e-value	score	length	start	end
NZ_ATCL01000021.1_5	COG0001	6.9e-217	717.8	433	5	432
NZ_ATCL01000022.1_338	COG0001	1.8e-67	223.2	382	12	374
NZ_ATCL01000021.1_56	COG0001	2.9e-08	27.5	457	6	182
NZ_ATCL01000022.1_335	COG0002	6.5e-124	408.9	342	1	339
NZ_ATCL01000020.1_888	COG0005	4.1e-109	359.9	270	4	268
NZ_ATCL01000020.1_964	COG0006	9.9e-141	465.1	357	3	354
NZ_ATCL01000021.1_58	COG0006	2.6e-40	133.6	250	6	246
NZ_ATCL01000022.1_22	COG0012	5.6e-178	586.8	367	1	365
NZ_ATCL01000020.1_849	COG0012	2.2e-08	27.5	415	195	244
NZ_ATCL01000020.1_908	COG0014	4.2e-18	38.5	478	161	437
NZ_ATCL01000021.1_89	COG0014	6.2e-09	28.1	462	9	273
NZ_ATCL01000020.1_805	COG0015	6.9e-28	92.4	461	45	407
NZ_ATCL01000023.1_14	COG0017	3.9e-60	198.7	497	52	494
NZ_ATCL01000022.1_307	COG0018	1.8e-181	599.9	561	6	560
NZ_ATCL01000020.1_839	COG0021	0	1073.8	675	15	674
NZ_ATCL01000020.1_955	COG0021	1.2e-48	33.3	634	18	185
NZ_ATCL01000020.1_955	COG0021	1.2e-48	106.9	634	354	630
NZ_ATCL01000020.1_944	COG0021	8.9e-18	58.6	336	109	248
NZ_ATCL01000020.1_943	COG0021	7.5e-17	54.9	326	131	244
NZ_ATCL01000020.1_943	COG0022	3.4e-174	576.5	326	3	324
NZ_ATCL01000020.1_944	COG0022	2.7e-96	318.8	336	11	326
NZ_ATCL01000020.1_955	COG0022	2.4e-33	83.7	634	358	581
NZ_ATCL01000020.1_839	COG0022	1.6e-12	33.3	675	124	263
NZ_ATCL01000021.1_58	COG0024	1.4e-95	315.1	250	5	245
NZ_ATCL01000020.1_964	COG0024	1.2e-35	116.7	357	109	338
NZ_ATCL01000020.1_799	COG0025	1.6e-08	28.4	392	4	352
NZ_ATCL01000022.1_340	COG0026	5.8e-45	61.9	1007	115	302
NZ_ATCL01000022.1_340	COG0026	5.8e-45	84.6	1007	573	825
