	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
NC_028957.1_NC_028957.1_1	NC_028957.1	NC_028957.1	1	1	2235	-1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF13589.9]					0
NC_028957.1_NC_028957.1_2	NC_028957.1	NC_028957.1	2	2243	2446	-1	E															0
NC_028957.1_NC_028957.1_3	NC_028957.1	NC_028957.1	3	2412	2711	-1	E															0
NC_028957.1_NC_028957.1_4	NC_028957.1	NC_028957.1	4	2787	2939	-1	E															0
NC_028957.1_NC_028957.1_5	NC_028957.1	NC_028957.1	5	2982	4814	-1	C	K26040	Escherichia phage DNA topoisomerase large subunit [EC:5.6.2.2]								DNA gyrase B [PF00204.28]; C-terminal associated domain of TOPRIM [PF16898.8]					0
NC_028957.1_NC_028957.1_6	NC_028957.1	NC_028957.1	6	4821	5579	-1	D										Recombination endonuclease VII [PF02945.18]					0
NC_028957.1_NC_028957.1_7	NC_028957.1	NC_028957.1	7	5576	5836	-1	E															0
NC_028957.1_NC_028957.1_8	NC_028957.1	NC_028957.1	8	5843	6016	-1	D										Zinc ribbon domain [PF09723.13]					1
NC_028957.1_NC_028957.1_9	NC_028957.1	NC_028957.1	9	6024	6383	-1	E															0
NC_028957.1_NC_028957.1_10	NC_028957.1	NC_028957.1	10	6376	6600	-1	E															0
NC_028957.1_NC_028957.1_11	NC_028957.1	NC_028957.1	11	6651	7142	-1	D										Modifier of transcription [PF17613.5]					0
NC_028957.1_NC_028957.1_12	NC_028957.1	NC_028957.1	12	7220	7972	-1	D										Modifier of transcription [PF17613.5]					0
NC_028957.1_NC_028957.1_13	NC_028957.1	NC_028957.1	13	7972	8229	-1	E															0
NC_028957.1_NC_028957.1_14	NC_028957.1	NC_028957.1	14	8297	8980	-1	C	K26049	Escherichia phage exodeoxyribonuclease [EC:3.1.11.1]								3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]					0
NC_028957.1_NC_028957.1_15	NC_028957.1	NC_028957.1	15	8973	9212	-1	E															0
NC_028957.1_NC_028957.1_16	NC_028957.1	NC_028957.1	16	9205	10533	-1	C	K21499	Escherichia phage ATP-dependent DNA helicase [EC:5.6.2.3]								Dda helicase SH3 domain [PF18343.4]; AAA domain [PF13604.9]; PIF1-like helicase [PF05970.17]; AAA domain [PF13245.9]					0
NC_028957.1_NC_028957.1_17	NC_028957.1	NC_028957.1	17	10530	10826	-1	E															0
NC_028957.1_NC_028957.1_18	NC_028957.1	NC_028957.1	18	10831	11577	-1	E															0
NC_028957.1_NC_028957.1_19	NC_028957.1	NC_028957.1	19	11713	12327	-1	E															0
NC_028957.1_NC_028957.1_20	NC_028957.1	NC_028957.1	20	12375	12932	-1	E															0
NC_028957.1_NC_028957.1_21	NC_028957.1	NC_028957.1	21	12989	13225	-1	E															0
NC_028957.1_NC_028957.1_22	NC_028957.1	NC_028957.1	22	13222	13398	-1	E															0
NC_028957.1_NC_028957.1_23	NC_028957.1	NC_028957.1	23	13398	13886	-1	E															0
NC_028957.1_NC_028957.1_24	NC_028957.1	NC_028957.1	24	13883	14032	-1	E															0
NC_028957.1_NC_028957.1_25	NC_028957.1	NC_028957.1	25	14029	14223	-1	E															0
NC_028957.1_NC_028957.1_26	NC_028957.1	NC_028957.1	26	14224	14562	-1	E															0
NC_028957.1_NC_028957.1_27	NC_028957.1	NC_028957.1	27	14559	14756	-1	E															0
NC_028957.1_NC_028957.1_28	NC_028957.1	NC_028957.1	28	14834	15067	-1	D										Small outer capsid protein [PF16855.8]					0
NC_028957.1_NC_028957.1_29	NC_028957.1	NC_028957.1	29	15132	15803	-1	E															0
NC_028957.1_NC_028957.1_30	NC_028957.1	NC_028957.1	30	15793	16311	-1	C	K21503	Escherichia phage dCTP pyrophosphatase [EC:3.6.1.12]								dUTPase [PF08761.14]					0
NC_028957.1_NC_028957.1_31	NC_028957.1	NC_028957.1	31	16394	16591	1	E															0
NC_028957.1_NC_028957.1_32	NC_028957.1	NC_028957.1	32	16600	16800	1	E															0
NC_028957.1_NC_028957.1_33	NC_028957.1	NC_028957.1	33	16797	17825	-1	C	K18948	Escherichia phage DNA primase [EC:2.7.7.-]													0
NC_028957.1_NC_028957.1_34	NC_028957.1	NC_028957.1	34	17858	18025	-1	E															0
NC_028957.1_NC_028957.1_35	NC_028957.1	NC_028957.1	35	18045	18236	-1	E															0
NC_028957.1_NC_028957.1_36	NC_028957.1	NC_028957.1	36	18211	18432	-1	E															0
NC_028957.1_NC_028957.1_37	NC_028957.1	NC_028957.1	37	18434	18871	-1	E															0
NC_028957.1_NC_028957.1_38	NC_028957.1	NC_028957.1	38	18873	19166	-1	E															0
NC_028957.1_NC_028957.1_39	NC_028957.1	NC_028957.1	39	19225	19791	-1	E															0
NC_028957.1_NC_028957.1_40	NC_028957.1	NC_028957.1	40	19792	20082	-1	E															0
NC_028957.1_NC_028957.1_41	NC_028957.1	NC_028957.1	41	20151	20453	-1	E															0
NC_028957.1_NC_028957.1_42	NC_028957.1	NC_028957.1	42	20570	22000	-1	C	K18947	Escherichia phage DNA replication helicase [EC:5.6.2.3]								DnaB-like helicase C terminal domain [PF03796.18]					0
NC_028957.1_NC_028957.1_43	NC_028957.1	NC_028957.1	43	21994	22335	-1	D										Head assembly gene product [PF11113.11]					0
NC_028957.1_NC_028957.1_44	NC_028957.1	NC_028957.1	44	22328	23506	-1	D										recA bacterial DNA recombination protein [PF00154.24]					0
NC_028957.1_NC_028957.1_45	NC_028957.1	NC_028957.1	45	23586	23714	-1	E															0
NC_028957.1_NC_028957.1_46	NC_028957.1	NC_028957.1	46	23748	24251	-1	E															0
NC_028957.1_NC_028957.1_47	NC_028957.1	NC_028957.1	47	24260	24403	-1	E															0
NC_028957.1_NC_028957.1_48	NC_028957.1	NC_028957.1	48	24400	24642	-1	D										Superinfection immunity protein [PF14373.9]					0
NC_028957.1_NC_028957.1_49	NC_028957.1	NC_028957.1	49	24720	27434	-1	C	K18942	Escherichia phage DNA polymerase [EC:2.7.7.7]								DNA polymerase family B [PF00136.24]; DNA polymerase family B, exonuclease domain [PF03104.22]					0
NC_028957.1_NC_028957.1_50	NC_028957.1	NC_028957.1	50	27521	27889	-1	D										Bacteriophage translational regulator [PF01818.20]					0
NC_028957.1_NC_028957.1_51	NC_028957.1	NC_028957.1	51	27891	28469	-1	C	K18945	Escherichia phage sliding clamp loader								Bacteriophage clamp loader A subunit [PF16790.8]					0
NC_028957.1_NC_028957.1_52	NC_028957.1	NC_028957.1	52	28460	29419	-1	C	K18944	Escherichia phage sliding clamp loader								DNA polymerase III, delta subunit [PF13177.9]; ATPase family associated with various cellular activities (AAA) [PF00004.32]					0
NC_028957.1_NC_028957.1_53	NC_028957.1	NC_028957.1	53	29474	30169	-1	C	K18943	Escherichia phage DNA polymerase processivity component								gp45 sliding clamp, C terminal [PF09116.13]; DNA polymerase processivity factor [PF02916.18]					0
NC_028957.1_NC_028957.1_54	NC_028957.1	NC_028957.1	54	30166	31053	-1	E															0
