locus_tag	FOAM	KEGG	COG	CAZy	PHROG	VOG	Best hit	length_bp	e-value	score	EC_number	product
MK310226.1_40_678_-												Hypothetical
MK310226.1_656_2302_+						VOG07294	VOG:VOG07294	548	3.7e-20	64.2		sp|Q05219|VG13_BPML5 Gene 13 protein
MK310226.1_2316_3944_+					phrog_9232	VOG26458	VOG:VOG26458	542	0	1030.6		REFSEQ portal protein
MK310226.1_4086_5273_+			COG2369		phrog_758	VOG03625	VOG:VOG03625	395	9.5e-75	243.7		sp|P45918|YQBB_BACSU Uncharacterized protein YqbB
MK310226.1_5384_7300_+		K17890	COG1340		phrog_2658	VOG26457, VOG26457, VOG26457, VOG26457, VOG26457	VOG:VOG26457	638	4.5e-288	470.0		REFSEQ prohead protease
MK310226.1_7303_7755_+												Hypothetical
MK310226.1_7801_8928_+					phrog_1005	VOG26462	VOG:VOG26462	375	2.1e-226	743.2		REFSEQ major capsid protein
MK310226.1_9004_9363_+					phrog_17946	VOG06394	VOG:VOG06394	119	1.3e-41	134.5		REFSEQ hypothetical protein
MK310226.1_9398_9784_+												Hypothetical
MK310226.1_9886_10191_+												Hypothetical
MK310226.1_10414_10701_+					phrog_22690	VOG11945	VOG:VOG11945	95	5.8e-53	169.4		REFSEQ hypothetical protein
MK310226.1_10703_11149_+			COG5005		phrog_26	VOG00556	VOG:VOG00556	148	2e-21	68.9		sp|P36934|VPS_BPP2 Tail completion protein S
MK310226.1_11156_11746_+					phrog_27147	VOG11947	VOG:VOG11947	196	4.1e-113	367.8		REFSEQ tail completion protein, type 1
MK310226.1_11767_13071_+					phrog_20601	VOG11946	VOG:VOG11946	434	5.1e-240	788.8		REFSEQ head protein
MK310226.1_13082_13480_+					phrog_25283	VOG06285	VOG:VOG06285	132	1.3e-63	204.7		REFSEQ head protein
MK310226.1_13492_13932_+					phrog_27001	VOG11948	VOG:VOG11948	146	3.4e-56	180.4		REFSEQ hypothetical protein
MK310226.1_13935_14144_+												Hypothetical
MK310226.1_14147_16891_+												Hypothetical
MK310226.1_16895_17422_+					phrog_26818	VOG11949	VOG:VOG11949	175	6e-97	315.0		REFSEQ hypothetical protein
