	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	viral_id	viral_hit	viral_RBH	viral_bitScore	viral_eVal	viral_identity	pfam_hits	vogdb_id	vogdb_hits	vogdb_categories	heme_regulatory_motif_count	is_transposon	amg_flags
QGNH01000338.1_1	QGNH01000338.1	QGNH01000338.1	1	3	221	1	E													0	False	F
QGNH01000338.1_2	QGNH01000338.1	QGNH01000338.1	2	203	1174	1	D									Mitochondrial genome maintenance MGM101 [PF06420.15]				0	False	F
QGNH01000338.1_3	QGNH01000338.1	QGNH01000338.1	3	1167	1445	1	C	K03552	holliday junction resolvase Hjr [EC:3.1.21.10]							Archaeal holliday junction resolvase (hjc) [PF01870.21]				0	False	F
QGNH01000338.1_4	QGNH01000338.1	QGNH01000338.1	4	1702	2064	1	E													1	False	F
QGNH01000338.1_5	QGNH01000338.1	QGNH01000338.1	5	2064	2315	1	E													0	False	F
QGNH01000338.1_6	QGNH01000338.1	QGNH01000338.1	6	2312	2629	1	E													1	False	F
QGNH01000338.1_7	QGNH01000338.1	QGNH01000338.1	7	2701	2949	1	E													0	False	F
QGNH01000338.1_8	QGNH01000338.1	QGNH01000338.1	8	2946	3347	1	E													0	False	F
QGNH01000338.1_9	QGNH01000338.1	QGNH01000338.1	9	3344	3610	1	E													0	False	F
QGNH01000338.1_10	QGNH01000338.1	QGNH01000338.1	10	3607	3750	1	E													0	False	F
QGNH01000338.1_11	QGNH01000338.1	QGNH01000338.1	11	3760	3999	1	E													0	False	F
QGNH01000338.1_12	QGNH01000338.1	QGNH01000338.1	12	3996	4232	1	E													0	False	F
QGNH01000338.1_13	QGNH01000338.1	QGNH01000338.1	13	4174	4551	1	D									Prokaryotic dksA/traR C4-type zinc finger [PF01258.20]				1	False	F
QGNH01000338.1_14	QGNH01000338.1	QGNH01000338.1	14	4619	5416	1	E													0	False	F
QGNH01000338.1_15	QGNH01000338.1	QGNH01000338.1	15	5413	5688	1	E													0	False	
QGNH01000338.1_16	QGNH01000338.1	QGNH01000338.1	16	5685	6344	1	E													0	False	
QGNH01000338.1_17	QGNH01000338.1	QGNH01000338.1	17	6341	6556	1	E													0	False	
QGNH01000338.1_18	QGNH01000338.1	QGNH01000338.1	18	6566	6964	1	E													0	False	
QGNH01000338.1_19	QGNH01000338.1	QGNH01000338.1	19	6964	7284	1	D			YP_001426868.1	YP_001426868.1 hypothetical protein ATCV1_Z387R [Acanthocystis turfacea chlorella virus 1]	False	73.0	6.742e-15	0.455	NUMOD3 motif [PF07460.14]				0	False	F
QGNH01000338.1_20	QGNH01000338.1	QGNH01000338.1	20	7536	7745	1	E													0	False	F
QGNH01000338.1_21	QGNH01000338.1	QGNH01000338.1	21	7723	8067	1	E													0	False	F
QGNH01000338.1_22	QGNH01000338.1	QGNH01000338.1	22	8199	10328	1	D									Pretoxin HINT domain [PF07591.14]; Hint domain [PF13403.9]	VOG00331	sp|P10310|TERL_BPT3 Terminase, large subunit; XhXr	Xr;Xh	0	False	VF
QGNH01000338.1_23	QGNH01000338.1	QGNH01000338.1	23	10460	11173	1	E													0	False	F
QGNH01000338.1_24	QGNH01000338.1	QGNH01000338.1	24	11175	11612	1	E													0	False	F
QGNH01000338.1_25	QGNH01000338.1	QGNH01000338.1	25	11618	11815	-1	E													0	False	F
QGNH01000338.1_26	QGNH01000338.1	QGNH01000338.1	26	11846	12022	-1	E													0	False	F
